Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,Todas_Las_Cuotas
Bologna vs Sassuolo,2025-12-28 12:00:00,Serie A,Doble Chance,1X,1.2333,smarkets,37,16.3871,0.0518,2.05,0.31,1.1815,0.0003991240022734121,37,0.01713295698319157,0.014123552137993035,,,,,smarkets:1.2333; betfair_ex_au:1.2321; betfair_ex_eu:1.2321; betfair_ex_uk:1.2321; unibet_se:1.2055; unibet_nl:1.2055; betsson:1.2032; nordicbet:1.2032; marathonbet:1.1999; codere_it:1.1955; fanduel:1.1887; betmgm:1.1885; coolbet:1.1885; pinnacle:1.1877; betway:1.1866; coral:1.1839; ladbrokes_uk:1.1839; winamax_de:1.1835; unibet_uk:1.1799; tab:1.1769; tabtouch:1.1677; casumo:1.1677; grosvenor:1.1677; leovegas_se:1.1677; unibet:1.1677; skybet:1.1667; tipico_de:1.1667; bovada:1.1645; pointsbetau:1.1622; draftkings:1.1566; paddypower:1.1553; sport888:1.1553; williamhill:1.1553; betclic_fr:1.1533; leovegas:1.1533; winamax_fr:1.1495; virginbet:1.1478
Melbourne City vs Perth Glory,2025-12-28 03:00:00,A-League,Doble Chance,X2,2.6075,betfair_ex_eu,32,13.087,0.3027,5.01,0.46,2.3048,0.00031052434546089894,32,0.02048535111366229,0.01493292026233519,,,,,betfair_ex_eu:2.6075; betfair_ex_uk:2.6075; betfair_ex_au:2.5714; smarkets:2.4873; tab:2.3974; pinnacle:2.377; nordicbet:2.3466; betsson:2.3466; paddypower:2.3158; pointsbetau:2.3158; coolbet:2.3078; marathonbet:2.2989; codere_it:2.2925; bovada:2.2881; leovegas_se:2.2703; leovegas:2.2703; coral:2.2703; ladbrokes_uk:2.2703; unibet:2.2609; winamax_de:2.2527; draftkings:2.2527; tabtouch:2.2448; grosvenor:2.2448; unibet_se:2.2448; casumo:2.2448; unibet_nl:2.2448; betmgm:2.2377; unibet_uk:2.2222; williamhill:2.191; virginbet:2.1751; sport888:2.1591; winamax_fr:2.1364
Cremonese vs Napoli,2025-12-28 09:00:00,Serie A,Doble Chance,1X,2.6124,betfair_ex_eu,37,12.641,0.1908,3.49,0.39,2.4216,0.00015045354349914428,37,0.014203962364171171,0.010666465786586532,,,,,betfair_ex_eu:2.6124; betfair_ex_au:2.6124; betfair_ex_uk:2.6124; smarkets:2.5714; coolbet:2.5185; unibet_se:2.4918; unibet_nl:2.4918; fanduel:2.4762; tipico_de:2.4762; pinnacle:2.4544; betsson:2.4425; nordicbet:2.4425; winamax_fr:2.439; marathonbet:2.4387; bovada:2.4179; betclic_fr:2.4158; codere_it:2.4128; winamax_de:2.4; skybet:2.4; pointsbetau:2.4; paddypower:2.3981; unibet:2.3981; casumo:2.3981; tabtouch:2.3981; grosvenor:2.3981; leovegas_se:2.3981; leovegas:2.3645; unibet_uk:2.3636; betmgm:2.3636; coral:2.3636; ladbrokes_uk:2.3636; betway:2.359; virginbet:2.3446; tab:2.3265; draftkings:2.3238; williamhill:2.2589; sport888:2.2513
Cremonese vs Napoli,2025-12-28 09:00:00,Serie A,Doble Chance,X2,1.156,betfair_ex_eu,37,12.641,0.0385,1.79,0.39,1.1175,0.0004935720840828682,37,0.0159783549367833,0.013729527454916405,,,,,betfair_ex_eu:1.156; betfair_ex_au:1.156; betfair_ex_uk:1.156; smarkets:1.1429; pinnacle:1.1418; unibet_se:1.1387; unibet_nl:1.1387; marathonbet:1.1328; coolbet:1.1326; codere_it:1.1286; betsson:1.1286; nordicbet:1.1286; betway:1.1275; bovada:1.1262; unibet_uk:1.1245; winamax_de:1.1223; fanduel:1.1223; pointsbetau:1.1223; betmgm:1.1194; coral:1.1194; ladbrokes_uk:1.1194; skybet:1.1067; sport888:1.1023; williamhill:1.1023; betclic_fr:1.1014; tipico_de:1.1014; unibet:1.1009; casumo:1.1009; tabtouch:1.1009; grosvenor:1.1009; leovegas_se:1.1009; tab:1.1009; draftkings:1.0989; winamax_fr:1.0909; paddypower:1.0908; leovegas:1.0866; virginbet:1.0774
Crystal Palace vs Tottenham Hotspur,2025-12-28 11:30:00,EPL,Doble Chance,1X,1.3879,betfair_ex_au,37,6.9032,0.0555,1.99,0.62,1.3324,0.0002073066423378684,37,0.014751484014793306,0.011909225801742024,,,,,betfair_ex_au:1.3879; betfair_ex_uk:1.3879; betfair_ex_eu:1.3879; smarkets:1.3879; coolbet:1.3696; unibet_se:1.3618; unibet_nl:1.3618; marathonbet:1.3576; leovegas:1.3467; betsson:1.3431; nordicbet:1.3431; pinnacle:1.3431; leovegas_se:1.3357; codere_it:1.3352; coral:1.3319; betmgm:1.3319; unibet_uk:1.3279; williamhill:1.3211; grosvenor:1.3206; unibet:1.3206; tabtouch:1.3206; casumo:1.3206; winamax_de:1.32; fanduel:1.32; betway:1.32; draftkings:1.32; tipico_de:1.3171; ladbrokes_uk:1.3171; bovada:1.3128; paddypower:1.3119; sport888:1.3119; tab:1.3119; mybookieag:1.3035; skybet:1.3018; pointsbetau:1.3018; virginbet:1.2982; winamax_fr:1.286
Crystal Palace vs Tottenham Hotspur,2025-12-28 11:30:00,EPL,Doble Chance,X2,1.75,betfair_ex_au,37,6.9032,0.0708,2.34,0.62,1.6792,0.0001449724225751608,37,0.013910527604113576,0.010784403842452045,,,,,betfair_ex_au:1.75; betfair_ex_uk:1.75; betfair_ex_eu:1.75; smarkets:1.75; unibet_nl:1.7374; unibet_se:1.725; coolbet:1.72; pinnacle:1.7149; leovegas:1.7124; marathonbet:1.7; leovegas_se:1.7; betsson:1.6874; nordicbet:1.6874; coral:1.6852; betmgm:1.6852; grosvenor:1.675; unibet:1.675; tabtouch:1.675; casumo:1.675; fanduel:1.6746; tipico_de:1.6746; pointsbetau:1.6746; bovada:1.6746; unibet_uk:1.6624; codere_it:1.6624; winamax_de:1.6624; draftkings:1.6624; ladbrokes_uk:1.6617; skybet:1.65; betway:1.65; virginbet:1.65; paddypower:1.6374; mybookieag:1.6298; tab:1.625; winamax_fr:1.6124; sport888:1.6124; williamhill:1.6
Sunderland vs Leeds United,2025-12-28 09:00:00,EPL,Doble Chance,1X,1.5269,betfair_ex_eu,37,6.2571,0.0742,2.16,0.7,1.4527,0.00017724816693392802,37,0.01458706250145745,0.011782463283520535,,,,,betfair_ex_eu:1.5269; betfair_ex_uk:1.5213; betfair_ex_au:1.5213; smarkets:1.5102; coolbet:1.497; unibet_se:1.4824; unibet_nl:1.4824; pinnacle:1.4811; marathonbet:1.4773; winamax_de:1.4644; betsson:1.4596; nordicbet:1.4596; leovegas:1.4573; leovegas_se:1.4573; unibet_uk:1.4538; codere_it:1.4538; draftkings:1.4538; bovada:1.4516; skybet:1.4431; betway:1.4431; tab:1.4431; fanduel:1.4348; grosvenor:1.4322; casumo:1.4322; unibet:1.4322; tabtouch:1.4322; mybookieag:1.43; pointsbetau:1.4287; betmgm:1.4287; paddypower:1.4211; tipico_de:1.4211; virginbet:1.4211; sport888:1.4199; williamhill:1.4199; coral:1.4199; ladbrokes_uk:1.4199; winamax_fr:1.414
Sunderland vs Leeds United,2025-12-28 09:00:00,EPL,Doble Chance,X2,1.5156,betfair_ex_eu,37,6.2571,0.0515,1.89,0.7,1.4641,0.00013763255465446269,37,0.01285551375760903,0.01055558804338634,,,,,betfair_ex_eu:1.5156; betfair_ex_uk:1.5156; betfair_ex_au:1.5156; coolbet:1.5112; smarkets:1.5046; unibet_nl:1.4963; marathonbet:1.4857; pinnacle:1.4839; betsson:1.4824; nordicbet:1.4824; unibet_se:1.4824; leovegas:1.4712; leovegas_se:1.4712; coral:1.4712; betmgm:1.4712; ladbrokes_uk:1.4712; unibet_uk:1.4682; codere_it:1.4682; draftkings:1.4682; winamax_de:1.4644; williamhill:1.4573; pointsbetau:1.4573; bovada:1.4545; tipico_de:1.4483; grosvenor:1.4461; casumo:1.4461; unibet:1.4461; tabtouch:1.4461; skybet:1.4431; betway:1.4431; tab:1.4431; fanduel:1.4348; mybookieag:1.43; paddypower:1.4211; virginbet:1.4211; sport888:1.4199; winamax_fr:1.414
Atalanta BC vs Inter Milan,2025-12-28 14:45:00,Serie A,Doble Chance,1X,1.897,betfair_ex_eu,37,6.0253,0.1038,3.11,0.79,1.7932,0.00021843320556844267,37,0.017279348699183013,0.013635627858356,,,,,betfair_ex_eu:1.897; betfair_ex_au:1.897; betfair_ex_uk:1.897; smarkets:1.8854; unibet_se:1.872; unibet_nl:1.872; marathonbet:1.8543; coolbet:1.83; pinnacle:1.8295; fanduel:1.8219; tipico_de:1.8219; winamax_de:1.8124; skybet:1.8103; grosvenor:1.7969; leovegas_se:1.7969; unibet:1.7969; leovegas:1.7969; tabtouch:1.7969; casumo:1.7969; bovada:1.7874; codere_it:1.7867; paddypower:1.7832; unibet_uk:1.7746; betway:1.7746; pointsbetau:1.7746; virginbet:1.7718; betclic_fr:1.7669; winamax_fr:1.75; betsson:1.7496; nordicbet:1.7496; draftkings:1.725; sport888:1.7246; betmgm:1.7246; coral:1.7246; williamhill:1.7; tab:1.7; ladbrokes_uk:1.6985
Atalanta BC vs Inter Milan,2025-12-28 14:45:00,Serie A,Doble Chance,X2,1.325,betfair_ex_eu,37,6.0253,0.0455,2.34,0.79,1.2795,0.0003580144217499989,37,0.018336162337669194,0.015800302200343702,,,,,betfair_ex_eu:1.325; betfair_ex_au:1.325; betfair_ex_uk:1.325; coolbet:1.3209; smarkets:1.3168; betmgm:1.3125; coral:1.3125; ladbrokes_uk:1.3125; betsson:1.3115; nordicbet:1.3115; pinnacle:1.3062; marathonbet:1.3032; unibet_se:1.294; unibet_nl:1.294; codere_it:1.2888; winamax_de:1.2857; bovada:1.2834; unibet_uk:1.2808; tab:1.2789; fanduel:1.2727; tipico_de:1.2727; betway:1.2727; pointsbetau:1.2727; draftkings:1.2661; betclic_fr:1.2607; sport888:1.2593; williamhill:1.2593; winamax_fr:1.2564; skybet:1.2523; unibet:1.2458; grosvenor:1.2417; leovegas_se:1.2417; tabtouch:1.2417; casumo:1.2417; paddypower:1.2393; leovegas:1.2376; virginbet:1.2189
