Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
FC Juárez vs Toluca,2025-11-26 20:00:00,Liga MX,Doble Chance,1X,1.86,pinnacle,3,0.7887,0.08,3.21,3.55,1.78,pinnacle:1.86; betsson:1.75; marathonbet:1.73
Monterrey vs América,2025-11-26 22:05:00,Liga MX,Goles (Over/Under),Under 2.5,1.83,pinnacle,2,0.9044,0.055,3.1,2.72,1.775,pinnacle:1.83; betsson:1.72
Liverpool vs PSV Eindhoven,2025-11-26 15:00:00,Champions League,Doble Chance,X2,4.24,betsson,4,0.0335,0.18,3.0,3.58,4.06,betsson:4.24; marathonbet:4.09; pinnacle:4.0; codere_it:3.91
Sheffield United vs Portsmouth,2025-11-26 14:45:00,Championship,Doble Chance,X2,2.24,pinnacle,4,0.4381,0.09,2.85,3.88,2.15,pinnacle:2.24; betsson:2.17; codere_it:2.11; marathonbet:2.08
Lanus vs CA Tigre BA,2025-11-26 19:30:00,Primera División,Doble Chance,X2,1.83,pinnacle,3,0.5612,0.0667,2.83,3.35,1.7633,pinnacle:1.83; betsson:1.75; marathonbet:1.71
Bragantino-SP vs Fortaleza,2025-11-26 17:00:00,Brasileirão,Doble Chance,X2,2.03,pinnacle,4,0.6988,0.075,2.54,3.42,1.955,pinnacle:2.03; codere_it:1.97; betsson:1.91; marathonbet:1.91
FC Juárez vs Toluca,2025-11-26 20:00:00,Liga MX,Goles (Over/Under),Under 2.5,1.94,pinnacle,2,0.6731,0.045,2.37,3.09,1.895,pinnacle:1.94; betsson:1.85
West Bromwich Albion vs Birmingham City,2025-11-26 15:00:00,Championship,Doble Chance,1X,1.54,pinnacle,4,0.6951,0.0575,2.26,3.28,1.4825,pinnacle:1.54; codere_it:1.47; marathonbet:1.46; betsson:1.46
FC Copenhagen vs FC Kairat,2025-11-26 12:45:00,Champions League,Doble Chance,X2,3.89,betsson,4,-0.0911,0.06,2.13,3.84,3.83,betsson:3.89; codere_it:3.88; marathonbet:3.86; pinnacle:3.69
Monterrey vs América,2025-11-26 22:05:00,Liga MX,Doble Chance,1X,1.5,pinnacle,3,0.8314,0.04,2.02,3.38,1.46,pinnacle:1.5; betsson:1.45; marathonbet:1.43
Wrexham AFC vs Bristol City,2025-11-26 14:45:00,Championship,Doble Chance,1X,1.49,pinnacle,4,0.6739,0.045,1.99,3.22,1.445,pinnacle:1.49; codere_it:1.44; betsson:1.44; marathonbet:1.41
Atlético Madrid vs Inter Milan,2025-11-26 15:00:00,Champions League,Goles (Over/Under),Under 2.5,2.01,pinnacle,3,0.6218,0.05,1.91,2.38,1.96,pinnacle:2.01; codere_it:1.95; betsson:1.92
Bragantino-SP vs Fortaleza,2025-11-26 17:00:00,Brasileirão,Goles (Over/Under),Under 2.5,2.01,pinnacle,3,0.325,0.04,1.9,4.4,1.97,pinnacle:2.01; codere_it:1.98; betsson:1.92
Monterrey vs América,2025-11-26 22:05:00,Liga MX,Doble Chance,X2,1.48,pinnacle,3,0.8314,0.0367,1.82,3.38,1.4433,pinnacle:1.48; betsson:1.43; marathonbet:1.42
Blackburn Rovers vs Queens Park Rangers,2025-11-26 14:45:00,Championship,Doble Chance,1X,1.45,pinnacle,4,0.63,0.04,1.81,3.27,1.41,pinnacle:1.45; betsson:1.41; codere_it:1.4; marathonbet:1.38
Sheffield United vs Portsmouth,2025-11-26 14:45:00,Championship,Goles (Over/Under),Over 2.5,1.89,pinnacle,3,0.7595,0.0467,1.79,2.91,1.8433,pinnacle:1.89; codere_it:1.82; betsson:1.82
Blackburn Rovers vs Queens Park Rangers,2025-11-26 14:45:00,Championship,Goles (Over/Under),Over 2.5,2.05,pinnacle,3,0.8304,0.05,1.78,2.83,2.0,pinnacle:2.05; betsson:1.98; codere_it:1.97
FC Lugano vs FC St Gallen,2025-11-26 13:00:00,Swiss Superleague,Doble Chance,X2,1.85,pinnacle,4,0.8129,0.0475,1.77,3.42,1.8025,pinnacle:1.85; codere_it:1.8; marathonbet:1.8; betsson:1.76
FC Lugano vs FC St Gallen,2025-11-26 13:00:00,Swiss Superleague,Goles (Over/Under),Under 2.5,2.3,codere_it,2,0.1973,0.04,1.77,5.98,2.26,codere_it:2.3; betsson:2.22
Millwall vs Sheffield Wednesday,2025-11-26 14:45:00,Championship,Doble Chance,X2,2.26,pinnacle,3,0.487,0.0533,1.71,3.86,2.2067,pinnacle:2.26; marathonbet:2.18; codere_it:2.18
Millwall vs Sheffield Wednesday,2025-11-26 14:45:00,Championship,Goles (Over/Under),Under 2.5,1.83,pinnacle,2,0.5186,0.03,1.67,2.95,1.8,pinnacle:1.83; codere_it:1.77
FC Lugano vs FC St Gallen,2025-11-26 13:00:00,Swiss Superleague,Doble Chance,1X,1.31,pinnacle,4,0.8129,0.03,1.66,3.42,1.28,pinnacle:1.31; codere_it:1.29; betsson:1.26; marathonbet:1.26
Blackburn Rovers vs Queens Park Rangers,2025-11-26 14:45:00,Championship,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,0.8304,0.0367,1.58,2.83,1.8133,pinnacle:1.85; codere_it:1.81; betsson:1.78
FC Juárez vs Toluca,2025-11-26 20:00:00,Liga MX,Goles (Over/Under),Over 2.5,1.94,pinnacle,2,0.6731,0.03,1.57,3.09,1.91,pinnacle:1.94; betsson:1.88
Monterrey vs América,2025-11-26 22:05:00,Liga MX,Goles (Over/Under),Over 2.5,2.08,pinnacle,2,0.9044,0.03,1.46,2.72,2.05,pinnacle:2.08; betsson:2.02
Arsenal vs Bayern Munich,2025-11-26 15:00:00,Champions League,Goles (Over/Under),Under 2.5,2.11,codere_it,2,0.2622,0.03,1.44,3.89,2.08,codere_it:2.11; betsson:2.05
Millwall vs Sheffield Wednesday,2025-11-26 14:45:00,Championship,Doble Chance,1X,1.17,pinnacle,3,0.487,0.02,1.42,3.86,1.15,pinnacle:1.17; codere_it:1.15; marathonbet:1.13
West Bromwich Albion vs Birmingham City,2025-11-26 15:00:00,Championship,Doble Chance,X2,1.44,pinnacle,4,0.6951,0.03,1.33,3.28,1.41,pinnacle:1.44; codere_it:1.41; betsson:1.4; marathonbet:1.39
Millwall vs Sheffield Wednesday,2025-11-26 14:45:00,Championship,Goles (Over/Under),Over 2.5,2.07,pinnacle,2,0.5186,0.025,1.22,2.95,2.045,pinnacle:2.07; codere_it:2.02
Bragantino-SP vs Fortaleza,2025-11-26 17:00:00,Brasileirão,Doble Chance,1X,1.24,pinnacle,4,0.6988,0.0225,1.21,3.42,1.2175,pinnacle:1.24; codere_it:1.22; marathonbet:1.21; betsson:1.2
Blackburn Rovers vs Queens Park Rangers,2025-11-26 14:45:00,Championship,Doble Chance,X2,1.59,pinnacle,4,0.63,0.03,1.2,3.27,1.56,pinnacle:1.59; betsson:1.56; codere_it:1.55; marathonbet:1.54
Sheffield United vs Portsmouth,2025-11-26 14:45:00,Championship,Goles (Over/Under),Under 2.5,2.0,pinnacle,3,0.7595,0.0333,1.2,2.91,1.9667,pinnacle:2.0; codere_it:1.95; betsson:1.95
Olympiakos Piraeus vs Real Madrid,2025-11-26 15:00:00,Champions League,Goles (Over/Under),Over 3.5,2.17,codere_it,2,0.1303,0.025,1.17,4.22,2.145,codere_it:2.17; betsson:2.12
Pafos FC vs AS Monaco,2025-11-26 12:45:00,Champions League,Doble Chance,1X,2.68,pinnacle,4,0.0113,0.04,1.17,3.53,2.64,pinnacle:2.68; betsson:2.66; marathonbet:2.61; codere_it:2.61
FC Juárez vs Toluca,2025-11-26 20:00:00,Liga MX,Doble Chance,X2,1.29,pinnacle,3,0.7887,0.02,1.11,3.55,1.27,pinnacle:1.29; marathonbet:1.26; betsson:1.26
Olympiakos Piraeus vs Real Madrid,2025-11-26 15:00:00,Champions League,Doble Chance,1X,2.44,marathonbet,4,0.1429,0.0275,1.11,3.08,2.4125,marathonbet:2.44; betsson:2.43; pinnacle:2.41; codere_it:2.37
Wrexham AFC vs Bristol City,2025-11-26 14:45:00,Championship,Doble Chance,X2,1.51,betsson,4,0.0228,0.0125,1.09,5.27,1.4975,betsson:1.51; pinnacle:1.51; codere_it:1.5; marathonbet:1.47
Arsenal vs Bayern Munich,2025-11-26 15:00:00,Champions League,Doble Chance,X2,1.81,pinnacle,4,0.1986,0.0275,1.08,2.87,1.7825,pinnacle:1.81; marathonbet:1.79; betsson:1.77; codere_it:1.76
FC Copenhagen vs FC Kairat,2025-11-26 12:45:00,Champions League,Doble Chance,1X,1.07,pinnacle,4,0.0265,0.015,1.06,3.4,1.055,pinnacle:1.07; marathonbet:1.06; codere_it:1.05; betsson:1.04
West Bromwich Albion vs Birmingham City,2025-11-26 15:00:00,Championship,Goles (Over/Under),Under 2.5,1.61,codere_it,2,0.0536,0.015,0.94,5.78,1.595,codere_it:1.61; betsson:1.58
Atlético Madrid vs Inter Milan,2025-11-26 15:00:00,Champions League,Doble Chance,X2,1.61,pinnacle,4,0.1709,0.02,0.89,2.75,1.59,pinnacle:1.61; marathonbet:1.59; betsson:1.59; codere_it:1.57
Lanus vs CA Tigre BA,2025-11-26 19:30:00,Primera División,Doble Chance,1X,1.22,betsson,3,0.0136,0.0067,0.78,5.16,1.2133,betsson:1.22; pinnacle:1.22; marathonbet:1.2
Paris Saint Germain vs Tottenham Hotspur,2025-11-26 15:00:00,Champions League,Doble Chance,1X,1.12,marathonbet,4,0.2457,0.0125,0.75,2.89,1.1075,marathonbet:1.12; codere_it:1.11; pinnacle:1.1; betsson:1.1
Sheffield United vs Portsmouth,2025-11-26 14:45:00,Championship,Doble Chance,1X,1.18,betsson,4,0.0568,0.0075,0.71,5.28,1.1725,betsson:1.18; pinnacle:1.18; codere_it:1.17; marathonbet:1.16
Eintracht Frankfurt vs Atalanta BC,2025-11-26 15:00:00,Champions League,Doble Chance,1X,1.56,betsson,4,0.0625,0.0125,0.7,3.36,1.5475,betsson:1.56; marathonbet:1.55; pinnacle:1.55; codere_it:1.53
Bragantino-SP vs Fortaleza,2025-11-26 17:00:00,Brasileirão,Goles (Over/Under),Over 2.5,1.83,pinnacle,3,0.325,0.0133,0.69,4.4,1.8167,pinnacle:1.83; betsson:1.82; codere_it:1.8
Eintracht Frankfurt vs Atalanta BC,2025-11-26 15:00:00,Champions League,Doble Chance,X2,1.51,marathonbet,4,0.1406,0.01,0.67,3.13,1.5,marathonbet:1.51; codere_it:1.51; pinnacle:1.49; betsson:1.49
