Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
San Diego FC vs Minnesota United FC,2025-11-24 22:00:00,MLS,Doble Chance,1X,1.19,pinnacle,7,1.2297,0.0358,2.65,3.7,1.1542,pinnacle:1.19; betsson:1.18; bwin:1.1691; marathonbet:1.16; codere_it:1.15; winamax_de:1.14; winamax_fr:1.09
San Diego FC vs Minnesota United FC,2025-11-24 22:00:00,MLS,Doble Chance,X2,2.32,pinnacle,7,1.2297,0.1349,4.15,3.7,2.1851,pinnacle:2.32; betsson:2.26; marathonbet:2.21; bwin:2.1955; winamax_de:2.15; codere_it:2.15; winamax_fr:2.01
Eintracht Frankfurt vs VfL Wolfsburg,2025-11-30 11:30:00,Bundesliga,Doble Chance,1X,1.22,marathonbet,6,1.1735,0.035,3.33,2.94,1.185,marathonbet:1.22; betsson:1.22; pinnacle:1.21; codere_it:1.19; winamax_de:1.16; winamax_fr:1.11
Eintracht Frankfurt vs VfL Wolfsburg,2025-11-30 11:30:00,Bundesliga,Doble Chance,X2,2.32,marathonbet,6,1.1735,0.0833,3.01,2.94,2.2367,marathonbet:2.32; pinnacle:2.27; winamax_de:2.25; codere_it:2.25; betsson:2.23; winamax_fr:2.1
AS Monaco vs Paris Saint Germain,2025-11-29 11:00:00,Ligue 1,Doble Chance,X2,1.18,marathonbet,6,1.1262,0.0317,2.68,3.09,1.1483,marathonbet:1.18; pinnacle:1.17; codere_it:1.17; betsson:1.15; winamax_de:1.13; winamax_fr:1.09
Lorient vs Nice,2025-11-30 11:15:00,Ligue 1,Doble Chance,1X,1.48,marathonbet,6,1.1061,0.06,3.02,3.11,1.42,marathonbet:1.48; codere_it:1.44; betsson:1.43; pinnacle:1.43; winamax_de:1.4; winamax_fr:1.34
Le Havre vs Lille,2025-11-30 11:15:00,Ligue 1,Doble Chance,1X,1.97,marathonbet,6,1.1013,0.11,4.16,3.06,1.86,marathonbet:1.97; pinnacle:1.91; betsson:1.87; codere_it:1.87; winamax_de:1.82; winamax_fr:1.72
Le Havre vs Lille,2025-11-30 11:15:00,Ligue 1,Doble Chance,X2,1.26,marathonbet,6,1.1013,0.0217,2.74,3.06,1.2383,marathonbet:1.26; betsson:1.26; pinnacle:1.26; codere_it:1.26; winamax_de:1.22; winamax_fr:1.17
Paris FC vs Auxerre,2025-11-29 13:00:00,Ligue 1,Doble Chance,1X,1.24,marathonbet,7,1.0984,0.0286,2.73,3.05,1.2114,marathonbet:1.24; pinnacle:1.24; codere_it:1.23; betsson:1.22; bwin:1.2199; winamax_de:1.19; winamax_fr:1.14
Paris FC vs Auxerre,2025-11-29 13:00:00,Ligue 1,Doble Chance,X2,2.07,marathonbet,7,1.0984,0.0976,3.61,3.05,1.9724,marathonbet:2.07; pinnacle:2.04; betsson:1.98; codere_it:1.98; bwin:1.9671; winamax_de:1.94; winamax_fr:1.83
Union Berlin vs 1. FC Heidenheim,2025-11-29 09:30:00,Bundesliga,Doble Chance,1X,1.18,marathonbet,7,1.0744,0.0307,2.68,3.09,1.1493,marathonbet:1.18; pinnacle:1.17; bwin:1.165; codere_it:1.16; betsson:1.15; winamax_de:1.14; winamax_fr:1.08
Marseille vs Toulouse,2025-11-29 15:05:00,Ligue 1,Doble Chance,X2,2.35,marathonbet,6,1.073,0.1133,4.36,3.15,2.2367,marathonbet:2.35; pinnacle:2.31; betsson:2.28; codere_it:2.24; winamax_de:2.19; winamax_fr:2.05
Mallorca vs CA Osasuna,2025-11-29 08:00:00,La Liga,Doble Chance,1X,1.38,marathonbet,6,1.0717,0.04,2.89,3.07,1.34,marathonbet:1.38; pinnacle:1.36; codere_it:1.36; betsson:1.35; winamax_de:1.33; winamax_fr:1.26
Lyon vs Nantes,2025-11-30 14:45:00,Ligue 1,Doble Chance,1X,1.13,marathonbet,6,1.0714,0.0317,2.75,3.22,1.0983,marathonbet:1.13; pinnacle:1.12; betsson:1.11; codere_it:1.11; winamax_de:1.08; winamax_fr:1.04
Lyon vs Nantes,2025-11-30 14:45:00,Ligue 1,Doble Chance,X2,2.77,marathonbet,6,1.0714,0.0933,4.22,3.22,2.6767,marathonbet:2.77; betsson:2.76; pinnacle:2.75; codere_it:2.71; winamax_de:2.62; winamax_fr:2.45
Strasbourg vs Brest,2025-11-30 09:00:00,Ligue 1,Doble Chance,1X,1.29,marathonbet,6,1.05,0.0267,2.49,3.2,1.2633,marathonbet:1.29; codere_it:1.29; pinnacle:1.28; betsson:1.27; winamax_de:1.25; winamax_fr:1.2
Strasbourg vs Brest,2025-11-30 09:00:00,Ligue 1,Doble Chance,X2,1.89,marathonbet,6,1.05,0.085,3.81,3.2,1.805,marathonbet:1.89; pinnacle:1.87; betsson:1.81; codere_it:1.81; winamax_de:1.77; winamax_fr:1.68
SC Freiburg vs FSV Mainz 05,2025-11-30 13:30:00,Bundesliga,Doble Chance,1X,1.31,marathonbet,7,1.0449,0.0368,2.25,3.12,1.2732,marathonbet:1.31; codere_it:1.29; betsson:1.28; pinnacle:1.28; bwin:1.2727; winamax_de:1.27; winamax_fr:1.21
