Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Basaksehir vs Trabzonspor,2025-11-24 12:00:00,Super League,Goles (Over/Under),Over 2.5,1.84,pinnacle,3,0.9862,0.0333,1.3,2.89,1.8067,pinnacle:1.84; betsson:1.79; codere_it:1.79
Basaksehir vs Trabzonspor,2025-11-24 12:00:00,Super League,Goles (Over/Under),Under 2.5,2.06,pinnacle,3,0.9862,0.0733,2.89,2.89,1.9867,pinnacle:2.06; betsson:1.98; codere_it:1.92
Basaksehir vs Trabzonspor,2025-11-24 12:00:00,Super League,Doble Chance,1X,1.45,pinnacle,4,0.9639,0.0375,1.76,3.32,1.4125,pinnacle:1.45; betsson:1.41; marathonbet:1.41; codere_it:1.38
Basaksehir vs Trabzonspor,2025-11-24 12:00:00,Super League,Doble Chance,X2,1.56,pinnacle,4,0.9639,0.04,1.8,3.32,1.52,pinnacle:1.56; betsson:1.53; codere_it:1.5; marathonbet:1.49
Torku Konyaspor vs Antalyaspor,2025-11-24 12:00:00,Super League,Doble Chance,1X,1.23,pinnacle,4,0.9355,0.04,2.45,3.41,1.19,pinnacle:1.23; betsson:1.2; marathonbet:1.18; codere_it:1.15
Torku Konyaspor vs Antalyaspor,2025-11-24 12:00:00,Super League,Doble Chance,X2,2.03,pinnacle,4,0.9355,0.0475,1.72,3.41,1.9825,pinnacle:2.03; marathonbet:2.0; betsson:1.95; codere_it:1.95
Torku Konyaspor vs Antalyaspor,2025-11-24 12:00:00,Super League,Goles (Over/Under),Over 2.5,1.99,pinnacle,3,0.8449,0.05,1.93,3.16,1.94,pinnacle:1.99; betsson:1.93; codere_it:1.9
Torku Konyaspor vs Antalyaspor,2025-11-24 12:00:00,Super League,Goles (Over/Under),Under 2.5,1.89,pinnacle,3,0.8449,0.0467,1.84,3.16,1.8433,pinnacle:1.89; betsson:1.83; codere_it:1.81
Real Sociedad B vs Real Valladolid CF,2025-11-24 14:30:00,La Liga 2,Doble Chance,1X,1.75,pinnacle,4,0.8396,0.0525,2.1,3.99,1.6975,pinnacle:1.75; marathonbet:1.7; betsson:1.69; codere_it:1.65
Real Sociedad B vs Real Valladolid CF,2025-11-24 14:30:00,La Liga 2,Doble Chance,X2,1.29,pinnacle,4,0.8396,0.0425,2.15,3.99,1.2475,pinnacle:1.29; marathonbet:1.25; betsson:1.23; codere_it:1.22
Sampdoria vs Juve Stabia,2025-11-24 14:30:00,Serie B,Doble Chance,1X,1.45,pinnacle,5,0.7415,0.0343,1.64,3.83,1.4157,pinnacle:1.45; bwin:1.4287; marathonbet:1.41; codere_it:1.41; betsson:1.38
San Diego FC vs Minnesota United FC,2025-11-24 22:00:00,MLS,Doble Chance,1X,1.2,pinnacle,5,0.729,0.0262,1.58,3.69,1.1738,pinnacle:1.2; betsson:1.19; bwin:1.1691; marathonbet:1.16; codere_it:1.15
San Diego FC vs Minnesota United FC,2025-11-24 22:00:00,MLS,Doble Chance,X2,2.32,pinnacle,5,0.729,0.0889,2.85,3.69,2.2311,pinnacle:2.32; betsson:2.29; marathonbet:2.2; bwin:2.1955; codere_it:2.15
Volos FC vs Levadiakos,2025-11-24 11:00:00,Super League,Doble Chance,1X,1.62,pinnacle,3,0.7206,0.0233,1.64,3.83,1.5967,pinnacle:1.62; betsson:1.61; codere_it:1.56
Volos FC vs Levadiakos,2025-11-24 11:00:00,Super League,Doble Chance,X2,1.37,pinnacle,3,0.7206,0.04,2.46,3.83,1.33,pinnacle:1.37; betsson:1.33; codere_it:1.29
