Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Score_Ponderado,Rating,Nivel_Confianza,Accion_Recomendada,Resultado
Swansea City vs Derby County,2025-11-25 14:45:00,Championship,Doble Chance,X2,1.72,pinnacle,0.5727,0.035,1.48,3.44,66.14,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Stoke City vs Charlton Athletic,2025-11-25 14:45:00,Championship,Goles (Over/Under),Under 2.5,1.84,pinnacle,0.654,0.03,1.63,2.89,65.04,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Fallido
Peterborough United vs Stevenage,2025-11-25 14:45:00,League 1,Doble Chance,1X,1.41,pinnacle,0.5692,0.03,1.36,3.83,64.89,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Fallido
Peterborough United vs Stevenage,2025-11-25 14:45:00,League 1,Doble Chance,X2,1.57,pinnacle,0.5692,0.04,1.91,3.83,64.64,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Luton vs Huddersfield Town,2025-11-25 14:45:00,League 1,Goles (Over/Under),Under 2.5,1.93,pinnacle,0.5344,0.0467,1.8,3.63,63.45,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Fallido
Luton vs Huddersfield Town,2025-11-25 14:45:00,League 1,Doble Chance,1X,1.37,pinnacle,0.5635,0.0225,1.1,3.94,63.23,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Grêmio vs Palmeiras,2025-11-25 19:30:00,Brasileirão,Doble Chance,1X,1.35,pinnacle,0.5576,0.015,0.84,3.82,62.11,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Southampton vs Leicester City,2025-11-25 15:00:00,Championship,Doble Chance,1X,1.3,pinnacle,0.5698,0.0125,0.64,3.51,62.03,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Atletico Mineiro vs Flamengo,2025-11-25 19:30:00,Brasileirão,Doble Chance,X2,1.25,pinnacle,0.6501,0.0225,1.45,3.83,61.51,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Luton vs Huddersfield Town,2025-11-25 14:45:00,League 1,Goles (Over/Under),Over 2.5,1.93,pinnacle,0.5344,0.0233,1.08,3.63,61.2,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Norwich City vs Oxford United,2025-11-25 14:45:00,Championship,Doble Chance,1X,1.26,pinnacle,0.5417,0.0125,0.66,3.6,59.88,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Watford vs Preston North End,2025-11-25 14:45:00,Championship,Doble Chance,1X,1.23,pinnacle,0.5621,0.0125,0.68,3.54,59.79,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Slavia Praha vs Athletic Bilbao,2025-11-25 15:00:00,Champions League,Goles (Over/Under),Under 2.5,1.92,pinnacle,0.4225,0.0333,1.52,2.84,58.76,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Slavia Praha vs Athletic Bilbao,2025-11-25 15:00:00,Champions League,Goles (Over/Under),Over 2.5,1.97,pinnacle,0.4225,0.01,0.42,2.84,58.43,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Fallido
Hull City vs Ipswich Town,2025-11-25 14:45:00,Championship,Doble Chance,X2,1.23,pinnacle,0.5636,0.015,1.23,3.46,57.81,⭐⭐ BUENO,🟠 BAJA CONFIANZA,CONSIDERAR (0.5-1% bankroll),Acertado
Stoke City vs Charlton Athletic,2025-11-25 14:45:00,Championship,Doble Chance,1X,1.21,pinnacle,0.5095,0.0175,0.91,3.67,57.47,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Galatasaray vs Union Saint-Gilloise,2025-11-25 12:45:00,Champions League,Doble Chance,X2,2.21,marathonbet,0.1729,0.055,1.87,2.95,56.43,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Chelsea vs Barcelona,2025-11-25 15:00:00,Champions League,Doble Chance,1X,1.45,marathonbet,0.2604,0.0225,1.04,2.88,55.5,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Manchester City vs Bayer Leverkusen,2025-11-25 15:00:00,Champions League,Doble Chance,X2,4.16,marathonbet,0.3669,0.0375,0.6,2.78,55.33,⭐⭐ BUENO,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Ajax vs Benfica,2025-11-25 12:45:00,Champions League,Doble Chance,1X,1.8,marathonbet,0.1736,0.015,0.63,2.88,52.79,⭐ REGULAR,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Fallido
Bodø/Glimt vs Juventus,2025-11-25 15:00:00,Champions League,Doble Chance,1X,1.72,marathonbet,0.1802,0.005,0.29,2.83,52.27,⭐ REGULAR,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Fallido
Borussia Dortmund vs Villarreal,2025-11-25 15:00:00,Champions League,Doble Chance,X2,2.0,marathonbet,0.1957,0.01,0.87,3.22,50.65,⭐ REGULAR,🟠 BAJA CONFIANZA,CONSIDERAR (0.5-1% bankroll),Fallido
Manchester City vs Bayer Leverkusen,2025-11-25 15:00:00,Champions League,Doble Chance,1X,1.07,marathonbet,0.3669,0.01,0.67,2.78,49.66,⭐ REGULAR,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Fallido
Borussia Dortmund vs Villarreal,2025-11-25 15:00:00,Champions League,Doble Chance,1X,1.27,marathonbet,0.1957,0.0075,0.34,3.22,49.42,⭐ REGULAR,🟠 BAJA CONFIANZA,CONSIDERAR (0.5-1% bankroll),Acertado
Marseille vs Newcastle United,2025-11-25 15:00:00,Champions League,Goles (Over/Under),Under 2.5,2.07,codere_it,0.2668,0.01,0.49,3.86,49.12,⭐ REGULAR,🟠 BAJA CONFIANZA,CONSIDERAR (0.5-1% bankroll),Fallido
