Partido,Fecha_Hora_COT,Score_Final,Diferencia_Cuota_Promedio,Mercado,Cuota,Casa_Apuestas,Margen_Casa_Pct,Margen_Mercado_Promedio_Pct,Ventaja_Margen_Pct,Cuota_Promedio_Mercado,Bwin_Cuota_1,Bwin_Cuota_X,Bwin_Cuota_2,Bwin_Margen_Pct,Local_Ultimo_1,Local_Ultimo_2,Local_Ultimo_3,Visitante_Ultimo_1,Visitante_Ultimo_2,Visitante_Ultimo_3
"FC St. Pauli vs Union Berlin","2025-11-23 11:30",0.712,0.0428,"X2",1.57,"marathonbet",3.09,5.29,2.2,1.5272,2.55,3.1,2.87,6.32,"","","","","",""
"Nantes vs Lorient","2025-11-23 11:15",0.6985,0.03,"X2",1.49,"marathonbet",3.25,5.52,2.27,1.46,,,,,"","","","","",""
"Hellas Verona vs Parma","2025-11-23 06:30",0.6963,0.0467,"X2",1.67,"pinnacle",3.26,5.53,2.27,1.6233,,,,,"","","","","",""
"Auxerre vs Lyon","2025-11-23 09:00",0.6834,0.045,"1X",1.8,"marathonbet",3.19,5.37,2.18,1.755,,,,,"","","","","",""
"Auxerre vs Lyon","2025-11-23 09:00",0.6834,0.0267,"X2",1.32,"marathonbet",3.19,5.37,2.18,1.2933,,,,,"","","","","",""
"Leeds United vs Aston Villa","2025-11-23 09:00",0.6667,0.04,"1X",1.59,"marathonbet",3.09,5.15,2.06,1.55,,,,,"","","","","",""
"Nantes vs Lorient","2025-11-23 11:15",0.6577,0.0383,"1X",1.54,"pinnacle",3.33,5.52,2.19,1.5017,,,,,"","","","","",""
"Oviedo vs Rayo Vallecano","2025-11-23 08:00",0.5913,0.0383,"1X",1.72,"pinnacle",3.45,5.49,2.04,1.6817,,,,,"","","","","",""
"FC St. Pauli vs Union Berlin","2025-11-23 11:30",0.5886,0.0244,"1X",1.44,"pinnacle",3.33,5.29,1.96,1.4156,2.55,3.1,2.87,6.32,"","","","","",""
"Leeds United vs Aston Villa","2025-11-23 09:00",0.5653,0.0283,"X2",1.44,"pinnacle",3.29,5.15,1.86,1.4117,,,,,"","","","","",""
"Getafe vs Atlético Madrid","2025-11-23 12:30",0.5524,0.0233,"X2",1.18,"pinnacle",3.53,5.48,1.95,1.1567,,,,,"","","","","",""
"Real Betis vs Girona","2025-11-23 10:15",0.5342,0.016,"1X",1.17,"marathonbet",3.22,4.94,1.72,1.154,,,,,"","","","","",""
"Real Betis vs Girona","2025-11-23 10:15",0.5342,0.02,"X2",2.53,"marathonbet",3.22,4.94,1.72,2.51,,,,,"","","","","",""
"Lazio vs Lecce","2025-11-23 12:00",0.5079,0.0217,"1X",1.16,"marathonbet",3.8,5.73,1.93,1.1383,,,,,"","","","","",""
"Lazio vs Lecce","2025-11-23 12:00",0.5079,0.0583,"X2",2.26,"marathonbet",3.8,5.73,1.93,2.2017,,,,,"","","","","",""
"Groningen vs FC Zwolle","2025-11-23 10:45",0.5046,0.0367,"1X",1.15,"betsson",5.39,8.11,2.72,1.1133,,,,,"","","","","",""
"Brest vs Metz","2025-11-23 11:15",0.489,0.0217,"1X",1.23,"pinnacle",3.62,5.39,1.77,1.2083,,,,,"","","","","",""
"Cremonese vs AS Roma","2025-11-23 09:00",0.4877,0.0467,"1X",2.34,"pinnacle",3.65,5.43,1.78,2.2933,,,,,"","","","","",""
"Rosario Central vs Estudiantes","2025-11-23 15:30",0.473,0.0236,"1X",1.29,"pinnacle",3.89,5.73,1.84,1.2664,2.2,2.87,3.7,7.32,"","","","","",""
"Rosario Central vs Estudiantes","2025-11-23 15:30",0.473,0.0159,"X2",1.66,"pinnacle",3.89,5.73,1.84,1.6441,2.2,2.87,3.7,7.32,"","","","","",""
"Sao Paulo vs Juventude","2025-11-23 14:00",0.4496,0.1029,"X2",2.4,"bwin",5.36,7.77,2.41,2.2971,1.57,4.0,6.0,5.36,"","","","","",""
"Hellas Verona vs Parma","2025-11-23 06:30",0.4036,0.03,"1X",1.33,"marathonbet",3.94,5.53,1.59,1.3,,,,,"","","","","",""
"Cruzeiro vs Corinthians","2025-11-23 18:30",0.3685,0.0264,"1X",1.19,"codere_it",5.97,8.17,2.2,1.1636,1.82,3.4,4.6,6.1,"","","","","",""
"Elche CF vs Real Madrid","2025-11-23 15:00",0.3516,0.0225,"X2",1.11,"pinnacle",3.84,5.19,1.35,1.0875,7.25,5.25,1.38,5.3,"","","","","",""
"Boca Juniors vs Talleres","2025-11-23 18:00",0.3441,0.0647,"X2",2.18,"pinnacle",4.33,5.82,1.49,2.1153,1.68,3.4,5.5,7.12,"","","","","",""
"RB Leipzig vs Werder Bremen","2025-11-23 09:30",0.3301,0.1179,"X2",2.89,"codere_it",4.09,5.44,1.35,2.7721,1.46,5.0,5.75,5.88,"","","","","",""
"Bahia vs Vasco da Gama","2025-11-23 14:00",0.3026,0.0323,"1X",1.1793,"bwin",5.85,7.62,1.77,1.147,1.71,3.8,4.75,5.85,"","","","","",""
"Boca Juniors vs Talleres","2025-11-23 18:00",0.2516,0.0264,"1X",1.16,"betsson",4.65,5.82,1.17,1.1336,1.68,3.4,5.5,7.12,"","","","","",""
"Cremonese vs AS Roma","2025-11-23 09:00",0.223,0.02,"X2",1.16,"betsson",4.44,5.43,0.99,1.14,,,,,"","","","","",""
"Toulouse vs Angers","2025-11-23 11:15",0.0514,0.035,"1X",1.18,"betsson",5.25,5.52,0.27,1.145,,,,,"","","","","",""
"Toulouse vs Angers","2025-11-23 11:15",-0.1521,0.055,"X2",2.31,"winamax_de",6.51,5.52,-0.99,2.255,,,,,"","","","","",""
