event_id,match,league,starts_at,bookmaker,bookmaker_id,line,side,odds_american,odds_decimal,source
ZeJPtjBYFF7rZPijPAQp,West Ham vs Forest,Premier League,2026-01-06T20:00:00.000Z,BetPARX,betparx,2.5,over,-106,1.9433962264150944,SportsGameOdds
ZeJPtjBYFF7rZPijPAQp,West Ham vs Forest,Premier League,2026-01-06T20:00:00.000Z,BetRivers,betrivers,2.5,over,-108,1.925925925925926,SportsGameOdds
ZeJPtjBYFF7rZPijPAQp,West Ham vs Forest,Premier League,2026-01-06T20:00:00.000Z,Bovada,bovada,2.5,over,-105,1.9523809523809523,SportsGameOdds
ZeJPtjBYFF7rZPijPAQp,West Ham vs Forest,Premier League,2026-01-06T20:00:00.000Z,BetMGM,betmgm,2.5,over,-115,1.8695652173913042,SportsGameOdds
ZeJPtjBYFF7rZPijPAQp,West Ham vs Forest,Premier League,2026-01-06T20:00:00.000Z,BetPARX,betparx,2.5,under,-115,1.8695652173913042,SportsGameOdds
ZeJPtjBYFF7rZPijPAQp,West Ham vs Forest,Premier League,2026-01-06T20:00:00.000Z,BetRivers,betrivers,2.5,under,-116,1.8620689655172413,SportsGameOdds
ZeJPtjBYFF7rZPijPAQp,West Ham vs Forest,Premier League,2026-01-06T20:00:00.000Z,Bovada,bovada,2.5,under,-115,1.8695652173913042,SportsGameOdds
ZeJPtjBYFF7rZPijPAQp,West Ham vs Forest,Premier League,2026-01-06T20:00:00.000Z,BetMGM,betmgm,2.5,under,-120,1.8333333333333335,SportsGameOdds
kpBvtWBYpaVSBQLRV0Pp,Everton vs Wolves,Premier League,2026-01-07T19:30:00.000Z,BetPARX,betparx,2.5,over,+114,2.1399999999999997,SportsGameOdds
kpBvtWBYpaVSBQLRV0Pp,Everton vs Wolves,Premier League,2026-01-07T19:30:00.000Z,BetRivers,betrivers,2.5,over,+112,2.12,SportsGameOdds
kpBvtWBYpaVSBQLRV0Pp,Everton vs Wolves,Premier League,2026-01-07T19:30:00.000Z,BetPARX,betparx,2.5,under,-141,1.7092198581560285,SportsGameOdds
kpBvtWBYpaVSBQLRV0Pp,Everton vs Wolves,Premier League,2026-01-07T19:30:00.000Z,BetRivers,betrivers,2.5,under,-143,1.6993006993006992,SportsGameOdds
m5LoECMJ2GEqDgA9uWRD,Bournemouth vs Tottenham,Premier League,2026-01-07T19:30:00.000Z,BetPARX,betparx,2.5,over,-143,1.6993006993006992,SportsGameOdds
m5LoECMJ2GEqDgA9uWRD,Bournemouth vs Tottenham,Premier League,2026-01-07T19:30:00.000Z,BetRivers,betrivers,2.5,over,-147,1.6802721088435373,SportsGameOdds
m5LoECMJ2GEqDgA9uWRD,Bournemouth vs Tottenham,Premier League,2026-01-07T19:30:00.000Z,BetMGM,betmgm,2.5,over,-147,1.6802721088435373,SportsGameOdds
m5LoECMJ2GEqDgA9uWRD,Bournemouth vs Tottenham,Premier League,2026-01-07T19:30:00.000Z,BetPARX,betparx,2.5,under,+116,2.16,SportsGameOdds
m5LoECMJ2GEqDgA9uWRD,Bournemouth vs Tottenham,Premier League,2026-01-07T19:30:00.000Z,BetRivers,betrivers,2.5,under,+115,2.15,SportsGameOdds
m5LoECMJ2GEqDgA9uWRD,Bournemouth vs Tottenham,Premier League,2026-01-07T19:30:00.000Z,BetMGM,betmgm,2.5,under,+105,2.05,SportsGameOdds
n3x7OVL5lwWWUZQpaokI,Fulham vs Chelsea,Premier League,2026-01-07T19:30:00.000Z,BetPARX,betparx,2.5,over,-127,1.7874015748031495,SportsGameOdds
n3x7OVL5lwWWUZQpaokI,Fulham vs Chelsea,Premier League,2026-01-07T19:30:00.000Z,BetRivers,betrivers,2.5,over,-128,1.78125,SportsGameOdds
n3x7OVL5lwWWUZQpaokI,Fulham vs Chelsea,Premier League,2026-01-07T19:30:00.000Z,BetMGM,betmgm,2.5,over,-133,1.7518796992481203,SportsGameOdds
n3x7OVL5lwWWUZQpaokI,Fulham vs Chelsea,Premier League,2026-01-07T19:30:00.000Z,BetPARX,betparx,2.5,under,+102,2.02,SportsGameOdds
