Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair
FC Viktoria Köln 1904 vs MSV Duisburg,2025-12-21 13:30:00,3. Liga,Goles (Over/Under),Over 2.5,1.89,unibet,14,-0.1149,0.055,2.97,11.05,1.835,unibet:1.89; unibet_nl:1.88; leovegas_se:1.88; unibet_se:1.88; tabtouch:1.88; grosvenor:1.88; leovegas:1.88; casumo:1.88; bovada:1.8; betsson:1.78; nordicbet:1.78; coolbet:1.77; codere_it:1.76; tipico_de:1.75,0.000196,14,0.016386,0.015866,0.000388,14,0.023180,0.022448
Mantova vs Empoli,2025-12-21 11:15:00,Serie B,Goles (Over/Under),Over 2.5,2.07,unibet_nl,17,-0.1029,0.0559,3.11,8.55,2.0141,unibet_nl:2.07; grosvenor:2.07; unibet_se:2.07; leovegas_se:2.07; casumo:2.07; leovegas:2.07; unibet:2.07; tabtouch:2.07; bovada:2.05; pinnacle:2.01; coolbet:1.98; codere_it:1.97; betsson:1.95; nordicbet:1.95; betmgm:1.95; williamhill:1.95; tipico_de:1.87,0.000180,17,0.015787,0.014157,0.000200,17,0.016585,0.015661
Santa Clara vs Arouca,2025-12-21 15:30:00,Primeira Liga,Goles (Over/Under),Over 2.5,2.38,williamhill,13,0.3308,0.1423,3.5,6.53,2.2377,williamhill:2.38; betmgm:2.35; betsson:2.32; nordicbet:2.32; tipico_de:2.3; unibet:2.18; unibet_nl:2.18; unibet_se:2.18; grosvenor:2.18; casumo:2.18; leovegas_se:2.18; tabtouch:2.18; leovegas:2.16,0.000172,13,0.015325,0.014550,0.000072,13,0.009810,0.008875
Cádiz CF vs CD Castellón,2025-12-21 15:00:00,La Liga 2,Goles (Over/Under),Under 2.5,1.88,pinnacle,16,1.1486,0.1069,2.76,3.7,1.7731,pinnacle:1.88; bovada:1.87; tipico_de:1.83; nordicbet:1.8; betsson:1.8; coolbet:1.8; williamhill:1.75; unibet:1.74; unibet_se:1.74; grosvenor:1.74; unibet_nl:1.74; casumo:1.74; leovegas:1.74; tabtouch:1.74; betmgm:1.74; leovegas_se:1.72,0.000168,16,0.015165,0.013322,0.000049,16,0.008275,0.007246
1. FC Heidenheim vs Bayern Munich,2025-12-21 11:30:00,Bundesliga,Goles (Over/Under),Under 3.5,2.33,leovegas_se,11,0.2823,0.0745,3.23,5.42,2.2555,leovegas_se:2.33; grosvenor:2.32; tabtouch:2.3; unibet_nl:2.3; unibet_se:2.3; casumo:2.3; leovegas:2.28; betsson:2.22; nordicbet:2.22; codere_it:2.14; betmgm:2.1,0.000160,11,0.014827,0.012544,0.000106,11,0.011983,0.011017
1. FC Nürnberg vs Hannover 96,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Under 2.5,2.3,tipico_de,14,0.3846,0.145,3.12,5.98,2.155,tipico_de:2.3; codere_it:2.23; nordicbet:2.22; betsson:2.22; betmgm:2.2; williamhill:2.2; unibet:2.1; leovegas_se:2.1; leovegas:2.1; tabtouch:2.1; unibet_nl:2.1; unibet_se:2.1; casumo:2.1; grosvenor:2.1,0.000147,14,0.014212,0.013383,0.000095,14,0.011367,0.010935
Granada CF vs Albacete,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Over 2.5,2.06,coolbet,15,0.4343,0.1053,2.82,6.01,1.9547,coolbet:2.06; betsson:2.02; nordicbet:2.02; codere_it:2.0; williamhill:2.0; betmgm:2.0; tipico_de:1.97; unibet:1.91; unibet_se:1.91; casumo:1.91; tabtouch:1.91; unibet_nl:1.91; leovegas:1.91; grosvenor:1.91; leovegas_se:1.88,0.000147,15,0.014291,0.013446,0.000085,15,0.010844,0.010465
AVS Futebol SAD vs Nacional,2025-12-21 10:30:00,Primeira Liga,Goles (Over/Under),Over 2.5,2.28,unibet,14,-0.066,0.0571,3.05,8.79,2.2229,unibet:2.28; unibet_se:2.28; grosvenor:2.28; tabtouch:2.28; casumo:2.28; unibet_nl:2.28; leovegas_se:2.28; leovegas:2.28; coolbet:2.19; tipico_de:2.15; betmgm:2.15; williamhill:2.15; nordicbet:2.12; betsson:2.12,0.000141,14,0.013913,0.013370,0.000197,14,0.016306,0.015911
Sint Truiden vs KV Mechelen,2025-12-21 10:00:00,Belgium First Div,Goles (Over/Under),Over 3.0,2.15,bovada,2,0.2084,0.06,2.87,4.99,2.09,bovada:2.15; coolbet:2.03,0.000137,2,0.013747,0.013747,0.000053,2,0.008551,0.008551
Go Ahead Eagles vs Groningen,2025-12-21 08:30:00,Eredivisie,Goles (Over/Under),Over 2.5,1.72,betsson,15,0.0992,0.0633,2.23,6.45,1.6567,betsson:1.72; nordicbet:1.72; coolbet:1.71; betmgm:1.69; williamhill:1.67; tipico_de:1.67; codere_it:1.66; unibet_se:1.63; casumo:1.63; grosvenor:1.63; leovegas:1.63; unibet_nl:1.63; unibet:1.63; tabtouch:1.63; leovegas_se:1.6,0.000134,15,0.013343,0.011749,0.000103,15,0.011835,0.011155
1. FC Heidenheim vs Bayern Munich,2025-12-21 11:30:00,Bundesliga,Goles (Over/Under),Over 3.5,1.65,betmgm,11,-0.1555,0.0509,2.12,8.23,1.5991,betmgm:1.65; betsson:1.65; nordicbet:1.65; codere_it:1.6; grosvenor:1.6; leovegas_se:1.6; tabtouch:1.57; unibet_nl:1.57; unibet_se:1.57; casumo:1.57; leovegas:1.56,0.000132,11,0.013139,0.011023,0.000106,11,0.011983,0.011017
Villarreal vs Barcelona,2025-12-21 10:15:00,La Liga,Goles (Over/Under),Under 3.5,2.25,leovegas_se,13,0.1458,0.0662,2.86,5.42,2.1838,leovegas_se:2.25; casumo:2.23; unibet_se:2.23; unibet:2.23; tabtouch:2.23; grosvenor:2.23; unibet_nl:2.23; leovegas:2.2; codere_it:2.17; betsson:2.12; nordicbet:2.12; tipico_de:2.1; betmgm:2.05,0.000131,13,0.013435,0.011810,0.000096,13,0.011424,0.010931
FC Lugano vs BSC Young Boys,2025-12-21 10:30:00,Swiss Superleague,Goles (Over/Under),Under 2.5,2.25,williamhill,14,0.2464,0.0964,2.93,6.94,2.1536,williamhill:2.25; tipico_de:2.25; nordicbet:2.22; betsson:2.22; codere_it:2.21; betmgm:2.2; unibet:2.1; leovegas_se:2.1; unibet_se:2.1; casumo:2.1; leovegas:2.1; unibet_nl:2.1; tabtouch:2.1; grosvenor:2.1,0.000131,14,0.013457,0.013087,0.000079,14,0.010354,0.010218
Go Ahead Eagles vs Groningen,2025-12-21 08:30:00,Eredivisie,Goles (Over/Under),Under 2.5,2.2,unibet_se,15,0.0426,0.0567,2.82,6.8,2.1433,unibet_se:2.2; casumo:2.2; grosvenor:2.2; leovegas:2.2; unibet_nl:2.2; unibet:2.2; tabtouch:2.2; leovegas_se:2.16; tipico_de:2.15; williamhill:2.1; coolbet:2.1; betsson:2.07; nordicbet:2.07; codere_it:2.05; betmgm:2.05,0.000128,15,0.013312,0.012339,0.000103,15,0.011835,0.011155
PAOK Thessaloniki vs Panathinaikos,2025-12-21 12:30:00,Super League,Goles (Over/Under),Under 2.5,1.76,nordicbet,16,0.4737,0.0575,2.25,5.13,1.7025,nordicbet:1.76; betsson:1.76; coolbet:1.76; bovada:1.75; williamhill:1.75; tipico_de:1.72; codere_it:1.69; betmgm:1.69; leovegas_se:1.67; unibet:1.67; unibet_nl:1.67; leovegas:1.67; unibet_se:1.67; tabtouch:1.67; casumo:1.67; grosvenor:1.67,0.000127,16,0.013064,0.012149,0.000033,16,0.006745,0.006146
AEK Athens vs OFI Crete,2025-12-21 14:00:00,Super League,Goles (Over/Under),Under 3.5,1.7,tipico_de,5,-0.178,0.052,2.12,8.82,1.648,tipico_de:1.7; nordicbet:1.66; betsson:1.66; betmgm:1.62; codere_it:1.6,0.000125,5,0.012837,0.011259,0.000121,5,0.012852,0.010239
Feyenoord vs FC Twente Enschede,2025-12-21 08:30:00,Eredivisie,Goles (Over/Under),Under 3.5,1.6,tipico_de,3,0.0805,0.0433,1.99,7.95,1.5567,tipico_de:1.6; codere_it:1.54; betmgm:1.53,0.000124,3,0.012599,0.011766,0.000064,3,0.009260,0.008540
