Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair
Burgos CF vs Zaragoza,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Under 1.5,2.35,unibet,13,-0.0108,0.0362,2.39,9.22,2.3138,unibet:2.35; casumo:2.35; tabtouch:2.35; unibet_se:2.35; grosvenor:2.35; unibet_nl:2.35; leovegas:2.35; leovegas_se:2.35; tipico_de:2.35; betsson:2.25; nordicbet:2.25; codere_it:2.23; betmgm:2.2,0.000082,13,0.010605,0.009558,0.000075,13,0.010013,0.009022
Leuven vs Cercle Brugge KSV,2025-12-21 13:15:00,Belgium First Div,Goles (Over/Under),Over 2.5,1.86,pinnacle,15,1.0245,0.0667,1.9,3.27,1.7933,pinnacle:1.86; nordicbet:1.83; betsson:1.83; bovada:1.83; unibet:1.8; grosvenor:1.8; unibet_nl:1.8; casumo:1.8; unibet_se:1.8; tabtouch:1.78; tipico_de:1.77; leovegas_se:1.76; leovegas:1.76; coolbet:1.74; betmgm:1.74,0.000082,15,0.010562,0.008751,0.000024,15,0.005811,0.004074
AEL vs Atromitos Athens,2025-12-21 10:30:00,Super League,Goles (Over/Under),Over 2.5,2.3,williamhill,12,0.219,0.1075,2.2,7.17,2.1925,williamhill:2.3; tipico_de:2.25; betmgm:2.25; codere_it:2.23; grosvenor:2.16; unibet:2.16; unibet_se:2.16; unibet_nl:2.16; casumo:2.16; leovegas:2.16; tabtouch:2.16; leovegas_se:2.16,0.000070,12,0.009837,0.008861,0.000053,12,0.008426,0.007845
TSG Hoffenheim II vs Wehen Wiesbaden,2025-12-21 10:30:00,3. Liga,Goles (Over/Under),Over 3.0,1.87,pinnacle,3,0.3929,0.0233,1.79,4.76,1.8467,pinnacle:1.87; bovada:1.87; coolbet:1.8,0.000070,3,0.009803,0.009243,0.000024,3,0.005788,0.005330
Cagliari vs Pisa,2025-12-21 06:30:00,Serie A,Goles (Over/Under),Over 2.0,1.88,coolbet,3,0.1463,0.0367,1.79,2.94,1.8433,coolbet:1.88; pinnacle:1.85; bovada:1.8,0.000069,3,0.009768,0.008590,0.000030,3,0.006452,0.005487
Alanyaspor vs Fatih Karagümrük,2025-12-21 06:30:00,Super League,Goles (Over/Under),Over 2.5,1.92,pinnacle,16,1.6972,0.0906,1.84,2.84,1.8294,pinnacle:1.92; bovada:1.89; coolbet:1.87; tipico_de:1.85; betmgm:1.83; unibet:1.81; unibet_nl:1.81; leovegas:1.81; grosvenor:1.81; casumo:1.81; unibet_se:1.81; leovegas_se:1.81; tabtouch:1.81; betsson:1.81; nordicbet:1.81; codere_it:1.81,0.000069,16,0.009771,0.007799,0.000004,16,0.002443,0.001620
Aston Villa vs Manchester United,2025-12-21 11:30:00,EPL,Goles (Over/Under),Over 2.5,1.66,leovegas_se,14,0.2026,0.03,1.54,4.69,1.63,leovegas_se:1.66; leovegas:1.66; unibet_se:1.65; casumo:1.65; tabtouch:1.65; grosvenor:1.65; unibet_nl:1.65; codere_it:1.64; betmgm:1.61; mybookieag:1.6; williamhill:1.6; tipico_de:1.6; nordicbet:1.6; betsson:1.6,0.000068,14,0.009471,0.009180,0.000039,14,0.007212,0.006408
Real Sociedad B vs AD Ceuta FC,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Under 2.5,1.62,williamhill,13,0.3728,0.0438,1.48,6.17,1.5762,williamhill:1.62; nordicbet:1.6; betsson:1.6; codere_it:1.6; tipico_de:1.6; betmgm:1.57; unibet:1.56; unibet_se:1.56; casumo:1.56; tabtouch:1.56; grosvenor:1.56; leovegas:1.56; leovegas_se:1.54,0.000068,13,0.009361,0.008568,0.000032,13,0.006518,0.006086
FC Utrecht vs PSV Eindhoven,2025-12-21 06:15:00,Eredivisie,Goles (Over/Under),Over 3.5,2.26,betsson,13,0.0881,0.0515,2.09,6.36,2.2085,betsson:2.26; nordicbet:2.26; casumo:2.23; leovegas:2.23; grosvenor:2.23; unibet_nl:2.23; tabtouch:2.23; unibet_se:2.23; unibet:2.23; leovegas_se:2.17; codere_it:2.16; betmgm:2.15; tipico_de:2.1,0.000068,13,0.009659,0.008166,0.000030,13,0.006350,0.003835
Girona vs Atlético Madrid,2025-12-21 08:00:00,La Liga,Goles (Over/Under),Under 2.5,2.12,coolbet,15,1.0263,0.084,2.0,3.04,2.036,coolbet:2.12; codere_it:2.1; betsson:2.08; nordicbet:2.08; tipico_de:2.05; williamhill:2.05; leovegas_se:2.04; grosvenor:2.02; unibet_nl:2.0; unibet_se:2.0; unibet:2.0; tabtouch:2.0; leovegas:2.0; casumo:2.0; betmgm:2.0,0.000068,15,0.009674,0.008564,0.000026,15,0.006024,0.005504
SC Preußen Münster vs Elversberg,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Under 2.5,2.18,bovada,15,0.7,0.1127,2.07,4.7,2.0673,bovada:2.18; tipico_de:2.15; williamhill:2.1; betsson:2.08; nordicbet:2.08; codere_it:2.05; betmgm:2.05; unibet:2.04; leovegas_se:2.04; leovegas:2.04; unibet_nl:2.04; tabtouch:2.04; casumo:2.04; unibet_se:2.04; grosvenor:2.04,0.000068,15,0.009708,0.007736,0.000017,15,0.004817,0.003883
FC Lugano vs BSC Young Boys,2025-12-21 10:30:00,Swiss Superleague,Goles (Over/Under),Over 2.5,1.63,unibet,14,-0.0357,0.0214,1.48,8.97,1.6086,unibet:1.63; unibet_se:1.63; casumo:1.63; leovegas:1.63; unibet_nl:1.63; tabtouch:1.63; grosvenor:1.63; leovegas_se:1.61; williamhill:1.6; tipico_de:1.6; nordicbet:1.58; betsson:1.58; codere_it:1.57; betmgm:1.57,0.000066,14,0.009293,0.008409,0.000079,14,0.010354,0.010218
Feyenoord vs FC Twente Enschede,2025-12-21 08:30:00,Eredivisie,Goles (Over/Under),Over 3.0,1.93,pinnacle,3,0.5795,0.0333,1.79,2.83,1.8967,pinnacle:1.93; bovada:1.91; coolbet:1.85,0.000066,3,0.009544,0.008752,0.000014,3,0.004373,0.003846
AEK Athens vs OFI Crete,2025-12-21 14:00:00,Super League,Goles (Over/Under),Under 2.5,2.5,williamhill,9,-0.0328,0.1511,2.27,9.44,2.3489,williamhill:2.5; unibet_nl:2.33; leovegas_se:2.33; casumo:2.33; unibet_se:2.33; grosvenor:2.33; leovegas:2.33; unibet:2.33; tabtouch:2.33,0.000063,9,0.009172,0.005765,0.000059,9,0.008796,0.005520
Sint Truiden vs KV Mechelen,2025-12-21 10:00:00,Belgium First Div,Goles (Over/Under),Over 2.5,1.68,nordicbet,13,0.0819,0.0423,1.5,6.47,1.6377,nordicbet:1.68; betsson:1.68; williamhill:1.65; tipico_de:1.65; unibet:1.64; unibet_se:1.64; unibet_nl:1.64; grosvenor:1.64; casumo:1.64; tabtouch:1.62; betmgm:1.61; leovegas_se:1.6; leovegas:1.6,0.000063,13,0.009142,0.006984,0.000023,13,0.005567,0.004369
AEL vs Atromitos Athens,2025-12-21 10:30:00,Super League,Goles (Over/Under),Under 2.5,1.6,grosvenor,12,-0.0068,0.015,1.4,8.8,1.585,grosvenor:1.6; unibet:1.6; unibet_se:1.6; unibet_nl:1.6; casumo:1.6; leovegas:1.6; tabtouch:1.6; leovegas_se:1.6; williamhill:1.57; codere_it:1.56; tipico_de:1.55; betmgm:1.54,0.000062,12,0.008949,0.008053,0.000053,12,0.008426,0.007845
Eintracht Braunschweig vs FC Schalke 04,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Under 2.5,1.78,bovada,16,0.8991,0.0594,1.58,4.26,1.7206,bovada:1.78; tipico_de:1.77; coolbet:1.76; williamhill:1.75; nordicbet:1.72; betsson:1.72; codere_it:1.72; betmgm:1.71; unibet:1.7; leovegas_se:1.7; unibet_nl:1.7; leovegas:1.7; tabtouch:1.7; unibet_se:1.7; casumo:1.7; grosvenor:1.7,0.000061,16,0.009061,0.007366,0.000008,16,0.003372,0.003049
Real Betis vs Getafe,2025-12-21 15:00:00,La Liga,Goles (Over/Under),Over 2.0,1.84,pinnacle,3,0.1938,0.03,1.63,2.89,1.81,pinnacle:1.84; bovada:1.82; coolbet:1.77,0.000060,3,0.009059,0.008225,0.000074,3,0.010101,0.009487
TSG Hoffenheim II vs Wehen Wiesbaden,2025-12-21 10:30:00,3. Liga,Goles (Over/Under),Under 3.0,1.95,pinnacle,3,0.3929,0.0433,1.73,4.76,1.9067,pinnacle:1.95; coolbet:1.9; bovada:1.87,0.000059,3,0.009035,0.007874,0.000024,3,0.005788,0.005330
Celtic vs Aberdeen,2025-12-21 10:00:00,Premiership,Goles (Over/Under),Over 3.25,2.0,pinnacle,2,0.4713,0.035,1.78,3.48,1.965,pinnacle:2.0; bovada:1.93,0.000059,2,0.009067,0.009067,0.000001,2,0.001065,0.001065
Aston Villa vs Manchester United,2025-12-21 11:30:00,EPL,Goles (Over/Under),Under 2.5,2.35,nordicbet,14,0.1168,0.0907,2.04,5.05,2.2593,nordicbet:2.35; betsson:2.35; codere_it:2.33; mybookieag:2.25; williamhill:2.25; tipico_de:2.25; leovegas_se:2.25; leovegas:2.25; unibet_se:2.23; casumo:2.23; tabtouch:2.23; grosvenor:2.23; unibet_nl:2.23; betmgm:2.2,0.000057,14,0.008831,0.006878,0.000039,14,0.007212,0.006408
FC Volendam vs Sparta Rotterdam,2025-12-21 10:45:00,Eredivisie,Goles (Over/Under),Over 2.5,1.6,tabtouch,13,0.1054,0.0162,1.35,5.98,1.5838,tabtouch:1.6; grosvenor:1.6; casumo:1.6; unibet_se:1.6; unibet_nl:1.6; leovegas:1.6; unibet:1.6; tipico_de:1.6; williamhill:1.57; nordicbet:1.56; betsson:1.56; leovegas_se:1.56; betmgm:1.54,0.000057,13,0.008587,0.007988,0.000014,13,0.004394,0.003486
Royal Antwerp vs Anderlecht,2025-12-21 12:30:00,Belgium First Div,Goles (Over/Under),Over 2.5,1.99,pinnacle,16,0.9971,0.0456,1.69,3.44,1.9444,pinnacle:1.99; unibet:1.98; unibet_nl:1.97; casumo:1.97; grosvenor:1.97; unibet_se:1.97; tabtouch:1.96; williamhill:1.95; bovada:1.95; nordicbet:1.94; betsson:1.94; leovegas:1.93; leovegas_se:1.93; tipico_de:1.9; coolbet:1.89; betmgm:1.87,0.000056,16,0.008797,0.007026,0.000039,16,0.007340,0.006858
Hearts vs Rangers,2025-12-21 08:30:00,Premiership,Goles (Over/Under),Over 2.5,1.91,pinnacle,17,1.8392,0.0435,1.6,2.86,1.8665,pinnacle:1.91; unibet_se:1.89; tabtouch:1.89; casumo:1.89; unibet_nl:1.89; leovegas:1.89; grosvenor:1.89; unibet:1.89; leovegas_se:1.88; coolbet:1.87; williamhill:1.85; nordicbet:1.85; betsson:1.85; codere_it:1.83; betmgm:1.83; bovada:1.83; tipico_de:1.8,0.000055,17,0.008670,0.007665,0.000084,17,0.010775,0.010290
Cádiz CF vs CD Castellón,2025-12-21 15:00:00,La Liga 2,Goles (Over/Under),Over 2.5,2.0,williamhill,16,0.1134,0.0581,1.66,7.14,1.9419,williamhill:2.0; pinnacle:1.98; coolbet:1.98; unibet:1.95; unibet_se:1.95; grosvenor:1.95; unibet_nl:1.95; casumo:1.95; leovegas:1.95; tabtouch:1.95; bovada:1.95; leovegas_se:1.93; betmgm:1.91; nordicbet:1.9; betsson:1.9; tipico_de:1.87,0.000054,16,0.008626,0.006692,0.000049,16,0.008275,0.007246
Celtic vs Aberdeen,2025-12-21 10:00:00,Premiership,Goles (Over/Under),Under 3.5,1.67,tipico_de,5,-0.0404,0.044,1.38,8.66,1.626,tipico_de:1.67; betsson:1.62; nordicbet:1.62; codere_it:1.61; betmgm:1.61,0.000053,5,0.008338,0.006528,0.000054,5,0.008578,0.006752
Fiorentina vs Udinese,2025-12-21 12:00:00,Serie A,Goles (Over/Under),Under 2.5,1.74,coolbet,14,1.215,0.0629,1.43,2.93,1.6771,coolbet:1.74; tipico_de:1.7; williamhill:1.7; betmgm:1.69; betsson:1.68; nordicbet:1.68; leovegas_se:1.68; grosvenor:1.67; codere_it:1.66; tabtouch:1.66; unibet_se:1.66; unibet_nl:1.66; casumo:1.66; leovegas:1.64,0.000053,14,0.008428,0.006571,0.000039,14,0.007339,0.006621
PAOK Thessaloniki vs Panathinaikos,2025-12-21 12:30:00,Super League,Goles (Over/Under),Over 2.5,2.12,bovada,16,0.7541,0.07,1.74,4.31,2.05,bovada:2.12; coolbet:2.08; nordicbet:2.07; betsson:2.07; leovegas_se:2.06; unibet:2.06; unibet_nl:2.06; leovegas:2.06; unibet_se:2.06; tabtouch:2.06; casumo:2.06; grosvenor:2.06; codere_it:2.01; williamhill:2.0; betmgm:2.0; tipico_de:1.97,0.000053,16,0.008595,0.006664,0.000033,16,0.006745,0.006146
FC Lausanne-Sport vs FC Luzern,2025-12-21 08:00:00,Swiss Superleague,Goles (Over/Under),Over 3.0,1.86,pinnacle,3,0.3709,0.04,1.55,3.02,1.82,pinnacle:1.86; coolbet:1.8; bovada:1.8,0.000052,3,0.008448,0.007965,0.000014,3,0.004402,0.003903
Feyenoord vs FC Twente Enschede,2025-12-21 08:30:00,Eredivisie,Goles (Over/Under),Over 3.5,2.3,betmgm,3,-0.0283,0.0433,1.86,8.84,2.2567,betmgm:2.3; codere_it:2.27; tipico_de:2.2,0.000050,3,0.008300,0.007507,0.000064,3,0.009260,0.008540
Sassuolo vs Torino,2025-12-21 09:00:00,Serie A,Goles (Over/Under),Under 2.5,1.72,coolbet,14,1.1779,0.0714,1.37,2.98,1.6486,coolbet:1.72; leovegas_se:1.66; tipico_de:1.65; betsson:1.65; nordicbet:1.65; williamhill:1.65; grosvenor:1.65; betmgm:1.65; unibet_nl:1.64; tabtouch:1.64; unibet_se:1.64; casumo:1.64; codere_it:1.62; leovegas:1.62,0.000050,14,0.008118,0.004773,0.000012,14,0.004039,0.003404
1. FC Nürnberg vs Hannover 96,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Over 3.0,2.05,pinnacle,3,0.4409,0.0233,1.63,3.13,2.0267,pinnacle:2.05; bovada:2.05; coolbet:1.98,0.000048,3,0.008130,0.007665,0.000009,3,0.003576,0.003141
Celtic vs Aberdeen,2025-12-21 10:00:00,Premiership,Goles (Over/Under),Over 2.5,1.49,unibet_nl,9,-0.0033,0.0078,1.09,9.13,1.4822,unibet_nl:1.49; unibet_se:1.49; leovegas:1.49; grosvenor:1.49; unibet:1.49; tabtouch:1.49; casumo:1.49; leovegas_se:1.47; williamhill:1.44,0.000047,9,0.007524,0.005606,0.000061,9,0.008911,0.005566
Club Brugge vs Gent,2025-12-21 07:30:00,Belgium First Div,Goles (Over/Under),Under 3.5,1.7,tipico_de,13,-0.0618,0.0308,1.3,7.6,1.6692,tipico_de:1.7; unibet:1.68; casumo:1.68; unibet_se:1.68; unibet_nl:1.68; grosvenor:1.68; nordicbet:1.68; betsson:1.68; coolbet:1.68; tabtouch:1.66; leovegas_se:1.64; leovegas:1.64; betmgm:1.62,0.000047,13,0.007874,0.006536,0.000012,13,0.004017,0.002415
Grasshopper Zürich vs FC St Gallen,2025-12-21 10:30:00,Swiss Superleague,Goles (Over/Under),Under 2.5,2.12,coolbet,15,0.6801,0.076,1.67,4.97,2.044,coolbet:2.12; tipico_de:2.1; nordicbet:2.08; betsson:2.08; williamhill:2.05; betmgm:2.05; codere_it:2.04; unibet:2.02; grosvenor:2.02; unibet_se:2.02; casumo:2.02; leovegas:2.02; tabtouch:2.02; unibet_nl:2.02; leovegas_se:2.0,0.000047,15,0.008076,0.006826,0.000007,15,0.003074,0.002927
Sassuolo vs Torino,2025-12-21 09:00:00,Serie A,Goles (Over/Under),Over 2.5,2.23,leovegas_se,14,0.2776,0.0471,1.71,5.08,2.1829,leovegas_se:2.23; coolbet:2.23; tipico_de:2.2; unibet_nl:2.2; tabtouch:2.2; unibet_se:2.2; casumo:2.2; grosvenor:2.2; betsson:2.18; nordicbet:2.18; leovegas:2.18; williamhill:2.15; codere_it:2.11; betmgm:2.1,0.000046,14,0.007977,0.005983,0.000012,14,0.004039,0.003404
Alanyaspor vs Fatih Karagümrük,2025-12-21 06:30:00,Super League,Goles (Over/Under),Under 2.5,1.97,pinnacle,16,1.6972,0.0819,1.54,2.84,1.8881,pinnacle:1.97; bovada:1.93; betsson:1.91; nordicbet:1.91; tipico_de:1.9; coolbet:1.9; unibet:1.87; unibet_nl:1.87; leovegas:1.87; grosvenor:1.87; casumo:1.87; unibet_se:1.87; leovegas_se:1.87; tabtouch:1.87; betmgm:1.87; codere_it:1.86,0.000046,16,0.007957,0.006623,0.000004,16,0.002443,0.001620
Feyenoord vs FC Twente Enschede,2025-12-21 08:30:00,Eredivisie,Goles (Over/Under),Under 2.5,2.45,betsson,11,0.1472,0.0182,1.81,6.18,2.4318,betsson:2.45; nordicbet:2.45; unibet_nl:2.45; grosvenor:2.45; tabtouch:2.45; unibet_se:2.45; casumo:2.45; unibet:2.45; leovegas:2.45; leovegas_se:2.4; williamhill:2.3,0.000045,11,0.007797,0.005225,0.000027,11,0.005967,0.003474
Girona vs Atlético Madrid,2025-12-21 08:00:00,La Liga,Goles (Over/Under),Over 2.5,1.79,coolbet,15,1.0263,0.036,1.36,3.04,1.754,coolbet:1.79; codere_it:1.78; leovegas_se:1.78; grosvenor:1.77; unibet_nl:1.76; unibet_se:1.76; unibet:1.76; tabtouch:1.76; leovegas:1.76; casumo:1.76; tipico_de:1.75; betmgm:1.74; betsson:1.72; nordicbet:1.72; williamhill:1.7,0.000045,15,0.007848,0.006134,0.000026,15,0.006024,0.005504
Santa Clara vs Arouca,2025-12-21 15:30:00,Primeira Liga,Goles (Over/Under),Under 2.0,2.08,pinnacle,3,0.3514,0.0233,1.6,3.33,2.0567,pinnacle:2.08; bovada:2.08; coolbet:2.01,0.000045,3,0.007893,0.007441,0.000009,3,0.003477,0.002862
Leuven vs Cercle Brugge KSV,2025-12-21 13:15:00,Belgium First Div,Goles (Over/Under),Under 2.5,2.02,pinnacle,15,1.0245,0.0527,1.5,3.27,1.9673,pinnacle:2.02; coolbet:2.02; tipico_de:2.0; bovada:2.0; betmgm:1.98; unibet:1.97; grosvenor:1.96; unibet_nl:1.96; casumo:1.96; unibet_se:1.96; tabtouch:1.94; nordicbet:1.94; betsson:1.94; leovegas_se:1.93; leovegas:1.93,0.000041,15,0.007579,0.006364,0.000024,15,0.005811,0.004074
CD Mirandés vs Córdoba,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Over 2.5,2.12,coolbet,15,0.4357,0.0887,1.56,5.99,2.0313,coolbet:2.12; nordicbet:2.05; betsson:2.05; williamhill:2.05; betmgm:2.05; codere_it:2.04; unibet_se:2.02; tabtouch:2.02; grosvenor:2.02; unibet:2.02; unibet_nl:2.02; casumo:2.02; leovegas:2.02; leovegas_se:2.0; tipico_de:1.97,0.000041,15,0.007555,0.005509,0.000013,15,0.004232,0.002549
FC Utrecht vs PSV Eindhoven,2025-12-21 06:15:00,Eredivisie,Goles (Over/Under),Under 3.25,1.85,pinnacle,2,0.2686,0.025,1.37,2.83,1.825,pinnacle:1.85; bovada:1.8,0.000041,2,0.007508,0.007508,0.000008,2,0.003413,0.003413
Fortuna Sittard vs AZ Alkmaar,2025-12-21 10:45:00,Eredivisie,Goles (Over/Under),Under 2.5,2.33,unibet,13,0.0938,0.0223,1.65,6.61,2.3077,unibet:2.33; tabtouch:2.33; grosvenor:2.33; casumo:2.33; unibet_nl:2.33; leovegas:2.33; unibet_se:2.33; betsson:2.32; nordicbet:2.32; williamhill:2.3; leovegas_se:2.3; tipico_de:2.25; betmgm:2.2,0.000040,13,0.007382,0.005344,0.000020,13,0.005239,0.003918
FC Utrecht vs PSV Eindhoven,2025-12-21 06:15:00,Eredivisie,Goles (Over/Under),Under 3.5,1.67,tipico_de,13,-0.0773,0.0469,1.17,7.5,1.6231,tipico_de:1.67; casumo:1.63; leovegas:1.63; grosvenor:1.63; unibet_nl:1.63; tabtouch:1.63; unibet_se:1.63; unibet:1.63; betsson:1.61; nordicbet:1.61; betmgm:1.61; leovegas_se:1.6; codere_it:1.59,0.000039,13,0.007157,0.005584,0.000030,13,0.006350,0.003835
Cagliari vs Pisa,2025-12-21 06:30:00,Serie A,Goles (Over/Under),Under 2.5,1.59,codere_it,13,0.6366,0.0354,1.09,3.88,1.5546,codere_it:1.59; williamhill:1.57; unibet_nl:1.56; unibet_se:1.56; tabtouch:1.56; casumo:1.56; grosvenor:1.56; leovegas_se:1.56; nordicbet:1.55; betsson:1.55; leovegas:1.54; betmgm:1.53; tipico_de:1.52,0.000039,13,0.007019,0.005316,0.000016,13,0.004548,0.002440
Celtic vs Aberdeen,2025-12-21 10:00:00,Premiership,Goles (Over/Under),Under 3.25,1.87,pinnacle,2,0.4713,0.025,1.36,3.48,1.845,pinnacle:1.87; bovada:1.82,0.000039,2,0.007346,0.007346,0.000001,2,0.001065,0.001065
Genoa vs Atalanta BC,2025-12-21 14:45:00,Serie A,Goles (Over/Under),Under 2.5,1.78,coolbet,14,1.2852,0.06,1.24,2.91,1.72,coolbet:1.78; williamhill:1.75; leovegas_se:1.73; tipico_de:1.72; betsson:1.72; nordicbet:1.72; grosvenor:1.72; unibet_nl:1.71; tabtouch:1.71; unibet_se:1.71; casumo:1.71; betmgm:1.71; leovegas:1.7; codere_it:1.69,0.000037,14,0.007100,0.004792,0.000025,14,0.005851,0.004168
Real Sociedad B vs AD Ceuta FC,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Over 2.5,2.25,unibet,13,-0.0094,0.0277,1.54,8.55,2.2223,unibet:2.25; unibet_se:2.25; casumo:2.25; tabtouch:2.25; grosvenor:2.25; leovegas:2.25; williamhill:2.25; leovegas_se:2.23; tipico_de:2.2; betmgm:2.2; nordicbet:2.18; betsson:2.18; codere_it:2.15,0.000036,13,0.007017,0.006336,0.000032,13,0.006518,0.006086
Santa Clara vs Arouca,2025-12-21 15:30:00,Primeira Liga,Goles (Over/Under),Under 2.5,1.6,tipico_de,13,0.4532,0.0362,1.02,5.98,1.5638,tipico_de:1.6; unibet:1.57; unibet_nl:1.57; unibet_se:1.57; grosvenor:1.57; casumo:1.57; leovegas_se:1.57; tabtouch:1.57; leovegas:1.56; betsson:1.55; nordicbet:1.55; williamhill:1.55; betmgm:1.53,0.000033,13,0.006523,0.005004,0.000072,13,0.009810,0.008875
Feyenoord vs FC Twente Enschede,2025-12-21 08:30:00,Eredivisie,Goles (Over/Under),Over 2.5,1.55,williamhill,11,-0.1126,0.0336,0.99,7.99,1.5164,williamhill:1.55; betsson:1.53; nordicbet:1.53; unibet:1.52; unibet_nl:1.51; grosvenor:1.51; tabtouch:1.51; unibet_se:1.51; casumo:1.51; leovegas:1.51; leovegas_se:1.49,0.000033,11,0.006459,0.005072,0.000027,11,0.005967,0.003474
Fortuna Sittard vs AZ Alkmaar,2025-12-21 10:45:00,Eredivisie,Goles (Over/Under),Under 3.0,1.85,bovada,3,0.1886,0.02,1.18,4.56,1.83,bovada:1.85; pinnacle:1.84; coolbet:1.8,0.000031,3,0.006497,0.006021,0.000011,3,0.003934,0.003586
Cagliari vs Pisa,2025-12-21 06:30:00,Serie A,Goles (Over/Under),Over 2.5,2.45,tipico_de,13,-0.0393,0.0692,1.52,6.61,2.3808,tipico_de:2.45; codere_it:2.44; leovegas_se:2.4; nordicbet:2.38; betsson:2.38; unibet_nl:2.38; unibet_se:2.38; tabtouch:2.38; casumo:2.38; grosvenor:2.38; leovegas:2.35; betmgm:2.35; williamhill:2.3,0.000030,13,0.006411,0.003958,0.000016,13,0.004548,0.002440
FSV Mainz 05 vs FC St. Pauli,2025-12-21 09:30:00,Bundesliga,Goles (Over/Under),Over 2.5,2.18,codere_it,14,0.5636,0.0507,1.35,4.01,2.1293,codere_it:2.18; tipico_de:2.15; leovegas_se:2.15; grosvenor:2.14; casumo:2.14; tabtouch:2.14; unibet_nl:2.14; unibet_se:2.14; coolbet:2.12; betsson:2.12; nordicbet:2.12; leovegas:2.12; williamhill:2.1; betmgm:2.05,0.000030,14,0.006423,0.004632,0.000010,14,0.003614,0.002857
Real Betis vs Getafe,2025-12-21 15:00:00,La Liga,Goles (Over/Under),Over 2.5,2.44,codere_it,14,0.6546,0.0629,1.49,3.88,2.3771,codere_it:2.44; tipico_de:2.4; leovegas_se:2.4; grosvenor:2.4; betsson:2.38; nordicbet:2.38; casumo:2.38; unibet_nl:2.38; leovegas:2.38; tabtouch:2.38; unibet:2.38; unibet_se:2.38; williamhill:2.3; betmgm:2.3,0.000030,14,0.006356,0.004004,0.000009,14,0.003433,0.002283
Girona vs Atlético Madrid,2025-12-21 08:00:00,La Liga,Goles (Over/Under),Over 2.75,2.0,pinnacle,2,0.3162,0.025,1.27,2.91,1.975,pinnacle:2.0; bovada:1.95,0.000030,2,0.006410,0.006410,0.000002,2,0.001834,0.001834
1. FC Heidenheim vs Bayern Munich,2025-12-21 11:30:00,Bundesliga,Goles (Over/Under),Under 4.0,1.87,coolbet,3,0.2416,0.03,1.17,2.98,1.84,coolbet:1.87; pinnacle:1.83; bovada:1.82,0.000029,3,0.006337,0.005862,0.000009,3,0.003473,0.003247
Fortuna Sittard vs AZ Alkmaar,2025-12-21 10:45:00,Eredivisie,Goles (Over/Under),Over 2.5,1.6,tipico_de,13,0.0418,0.0346,0.92,6.94,1.5654,tipico_de:1.6; betsson:1.58; nordicbet:1.58; unibet:1.57; betmgm:1.57; tabtouch:1.56; grosvenor:1.56; casumo:1.56; unibet_nl:1.56; leovegas:1.56; unibet_se:1.56; williamhill:1.55; leovegas_se:1.54,0.000027,13,0.005871,0.004564,0.000020,13,0.005239,0.003918
FC Lugano vs BSC Young Boys,2025-12-21 10:30:00,Swiss Superleague,Goles (Over/Under),Under 3.0,1.87,pinnacle,3,0.3127,0.0233,1.11,3.23,1.8467,pinnacle:1.87; bovada:1.85; coolbet:1.82,0.000027,3,0.006043,0.005245,0.000006,3,0.002887,0.002691
Virtus Entella vs Südtirol,2025-12-21 09:00:00,Serie B,Goles (Over/Under),Over 2.25,2.05,pinnacle,2,0.3216,0.025,1.23,2.83,2.025,pinnacle:2.05; bovada:2.0,0.000027,2,0.006098,0.006098,0.000002,2,0.001724,0.001724
Eintracht Braunschweig vs FC Schalke 04,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Over 2.5,2.08,bovada,16,0.8991,0.0781,1.23,4.26,2.0019,bovada:2.08; coolbet:2.03; unibet:2.0; leovegas_se:2.0; unibet_nl:2.0; leovegas:2.0; tabtouch:2.0; unibet_se:2.0; casumo:2.0; grosvenor:2.0; tipico_de:2.0; betmgm:2.0; williamhill:2.0; nordicbet:1.98; betsson:1.98; codere_it:1.96,0.000026,16,0.006006,0.003229,0.000008,16,0.003372,0.003049
Elche CF vs Rayo Vallecano,2025-12-21 12:30:00,La Liga,Goles (Over/Under),Over 2.5,2.35,tipico_de,14,0.1264,0.0514,1.33,6.25,2.2986,tipico_de:2.35; leovegas_se:2.33; betsson:2.32; nordicbet:2.32; grosvenor:2.32; casumo:2.3; unibet_se:2.3; unibet:2.3; tabtouch:2.3; unibet_nl:2.3; leovegas:2.3; williamhill:2.25; betmgm:2.25; codere_it:2.24,0.000025,14,0.005854,0.004275,0.000005,14,0.002581,0.001958
