Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Alanyaspor vs Fatih Karagümrük,2025-12-21 06:30:00,Super League,Goles (Over/Under),Over 2.5,1.92,pinnacle,3,1.2852,0.0733,2.81,2.84,1.8467,pinnacle:1.92; betsson:1.81; codere_it:1.81
Alanyaspor vs Fatih Karagümrük,2025-12-21 06:30:00,Super League,Goles (Over/Under),Under 2.5,1.97,pinnacle,3,1.2852,0.0567,2.35,2.84,1.9133,pinnacle:1.97; betsson:1.91; codere_it:1.86
Málaga vs Almería,2025-12-21 08:00:00,La Liga 2,Goles (Over/Under),Over 2.5,2.0,pinnacle,3,1.2818,0.0667,2.44,2.91,1.9333,pinnacle:2.0; betsson:1.9; codere_it:1.9
Málaga vs Almería,2025-12-21 08:00:00,La Liga 2,Goles (Over/Under),Under 2.5,1.89,pinnacle,3,1.2818,0.0667,2.62,2.91,1.8233,pinnacle:1.89; betsson:1.8; codere_it:1.78
Hearts vs Rangers,2025-12-21 08:30:00,Premiership,Goles (Over/Under),Over 2.5,1.91,pinnacle,3,1.2273,0.0467,1.82,2.86,1.8633,pinnacle:1.91; betsson:1.85; codere_it:1.83
Hearts vs Rangers,2025-12-21 08:30:00,Premiership,Goles (Over/Under),Under 2.5,1.98,pinnacle,3,1.2273,0.08,3.1,2.86,1.9,pinnacle:1.98; betsson:1.88; codere_it:1.84
Mantova vs Empoli,2025-12-21 11:15:00,Serie B,Goles (Over/Under),Over 2.5,2.01,pinnacle,3,0.7037,0.0333,1.26,3.51,1.9767,pinnacle:2.01; codere_it:1.97; betsson:1.95
Mantova vs Empoli,2025-12-21 11:15:00,Serie B,Goles (Over/Under),Under 2.5,1.86,pinnacle,3,0.7037,0.0533,2.49,3.51,1.8067,pinnacle:1.86; codere_it:1.81; betsson:1.75
Galatasaray vs Kasimpasa SK,2025-12-21 12:00:00,Super League,Goles (Over/Under),Over 3.5,1.92,pinnacle,3,0.6564,0.01,0.43,3.9,1.91,pinnacle:1.92; betsson:1.91; codere_it:1.9
Galatasaray vs Kasimpasa SK,2025-12-21 12:00:00,Super League,Goles (Over/Under),Under 3.5,1.93,pinnacle,3,0.6564,0.08,3.06,3.9,1.85,pinnacle:1.93; betsson:1.81; codere_it:1.81
Cádiz CF vs CD Castellón,2025-12-21 15:00:00,La Liga 2,Goles (Over/Under),Over 2.5,1.98,pinnacle,2,0.6054,0.04,2.06,3.7,1.94,pinnacle:1.98; betsson:1.9
Cádiz CF vs CD Castellón,2025-12-21 15:00:00,La Liga 2,Goles (Over/Under),Under 2.5,1.88,pinnacle,2,0.6054,0.04,2.17,3.7,1.84,pinnacle:1.88; betsson:1.8
Leuven vs Cercle Brugge KSV,2025-12-21 13:15:00,Belgium First Div,Goles (Over/Under),Over 2.5,1.86,pinnacle,2,0.4465,0.015,0.81,3.27,1.845,pinnacle:1.86; betsson:1.83
Leuven vs Cercle Brugge KSV,2025-12-21 13:15:00,Belgium First Div,Goles (Over/Under),Under 2.5,2.02,pinnacle,2,0.4465,0.04,2.02,3.27,1.98,pinnacle:2.02; betsson:1.94
Royal Antwerp vs Anderlecht,2025-12-21 12:30:00,Belgium First Div,Goles (Over/Under),Over 2.5,1.99,pinnacle,2,0.4012,0.025,1.27,3.44,1.965,pinnacle:1.99; betsson:1.94
Royal Antwerp vs Anderlecht,2025-12-21 12:30:00,Belgium First Div,Goles (Over/Under),Under 2.5,1.88,pinnacle,2,0.4012,0.025,1.35,3.44,1.855,pinnacle:1.88; betsson:1.83
AEK Athens vs OFI Crete,2025-12-21 14:00:00,Super League,Goles (Over/Under),Over 3.5,2.23,betsson,2,0.3878,0.04,1.83,5.08,2.19,betsson:2.23; codere_it:2.15
AEK Athens vs OFI Crete,2025-12-21 14:00:00,Super League,Goles (Over/Under),Under 3.5,1.66,betsson,2,0.3878,0.03,1.84,5.08,1.63,betsson:1.66; codere_it:1.6
PAOK Thessaloniki vs Panathinaikos,2025-12-21 12:30:00,Super League,Goles (Over/Under),Over 2.5,2.07,betsson,2,0.3704,0.03,1.47,5.13,2.04,betsson:2.07; codere_it:2.01
PAOK Thessaloniki vs Panathinaikos,2025-12-21 12:30:00,Super League,Goles (Over/Under),Under 2.5,1.76,betsson,2,0.3704,0.035,2.03,5.13,1.725,betsson:1.76; codere_it:1.69
Cagliari vs Pisa,2025-12-21 06:30:00,Serie A,Goles (Over/Under),Over 2.5,2.44,codere_it,2,0.3402,0.03,1.24,3.88,2.41,codere_it:2.44; betsson:2.38
Cagliari vs Pisa,2025-12-21 06:30:00,Serie A,Goles (Over/Under),Under 2.5,1.59,codere_it,2,0.3402,0.02,1.27,3.88,1.57,codere_it:1.59; betsson:1.55
Real Betis vs Getafe,2025-12-21 15:00:00,La Liga,Goles (Over/Under),Over 2.5,2.44,codere_it,2,0.3402,0.03,1.24,3.88,2.41,codere_it:2.44; betsson:2.38
