Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Real Betis vs Getafe,2025-12-21 15:00:00,La Liga,Goles (Over/Under),Under 2.5,1.59,codere_it,2,0.3402,0.02,1.27,3.88,1.57,codere_it:1.59; betsson:1.55
Girona vs Atlético Madrid,2025-12-21 08:00:00,La Liga,Goles (Over/Under),Over 2.5,1.78,codere_it,2,0.3184,0.03,1.71,3.8,1.75,codere_it:1.78; betsson:1.72
Girona vs Atlético Madrid,2025-12-21 08:00:00,La Liga,Goles (Over/Under),Under 2.5,2.1,codere_it,2,0.3184,0.01,0.48,3.8,2.09,codere_it:2.1; betsson:2.08
1. FC Heidenheim vs Bayern Munich,2025-12-21 11:30:00,Bundesliga,Goles (Over/Under),Over 3.5,1.65,betsson,2,0.3168,0.025,1.54,5.65,1.625,betsson:1.65; codere_it:1.6
1. FC Heidenheim vs Bayern Munich,2025-12-21 11:30:00,Bundesliga,Goles (Over/Under),Under 3.5,2.22,betsson,2,0.3168,0.04,1.83,5.65,2.18,betsson:2.22; codere_it:2.14
Villarreal vs Barcelona,2025-12-21 10:15:00,La Liga,Goles (Over/Under),Over 3.5,1.73,codere_it,2,0.2699,0.015,0.87,3.89,1.715,codere_it:1.73; betsson:1.7
Villarreal vs Barcelona,2025-12-21 10:15:00,La Liga,Goles (Over/Under),Under 3.5,2.17,codere_it,2,0.2699,0.025,1.17,3.89,2.145,codere_it:2.17; betsson:2.12
FSV Mainz 05 vs FC St. Pauli,2025-12-21 09:30:00,Bundesliga,Goles (Over/Under),Over 2.5,2.18,codere_it,2,0.2469,0.03,1.4,4.01,2.15,codere_it:2.18; betsson:2.12
FSV Mainz 05 vs FC St. Pauli,2025-12-21 09:30:00,Bundesliga,Goles (Over/Under),Under 2.5,1.72,codere_it,2,0.2469,0.01,0.58,4.01,1.71,codere_it:1.72; betsson:1.7
Genoa vs Atalanta BC,2025-12-21 14:45:00,Serie A,Goles (Over/Under),Over 2.5,2.08,betsson,2,0.2363,0.04,1.96,6.22,2.04,betsson:2.08; codere_it:2.0
Genoa vs Atalanta BC,2025-12-21 14:45:00,Serie A,Goles (Over/Under),Under 2.5,1.72,betsson,2,0.2363,0.015,0.88,6.22,1.705,betsson:1.72; codere_it:1.69
FC Lausanne-Sport vs FC Luzern,2025-12-21 08:00:00,Swiss Superleague,Goles (Over/Under),Over 3.5,2.27,codere_it,2,0.2273,0.01,0.44,6.16,2.26,codere_it:2.27; betsson:2.25
FC Lausanne-Sport vs FC Luzern,2025-12-21 08:00:00,Swiss Superleague,Goles (Over/Under),Under 3.5,1.61,codere_it,2,0.2273,0.03,1.9,6.16,1.58,codere_it:1.61; betsson:1.55
FC Utrecht vs PSV Eindhoven,2025-12-21 06:15:00,Eredivisie,Goles (Over/Under),Over 3.5,2.26,betsson,2,0.2217,0.05,2.26,6.36,2.21,betsson:2.26; codere_it:2.16
FC Utrecht vs PSV Eindhoven,2025-12-21 06:15:00,Eredivisie,Goles (Over/Under),Under 3.5,1.61,betsson,2,0.2217,0.01,0.63,6.36,1.6,betsson:1.61; codere_it:1.59
Elche CF vs Rayo Vallecano,2025-12-21 12:30:00,La Liga,Goles (Over/Under),Over 2.5,2.32,betsson,2,0.2175,0.04,1.75,6.39,2.28,betsson:2.32; codere_it:2.24
Elche CF vs Rayo Vallecano,2025-12-21 12:30:00,La Liga,Goles (Over/Under),Under 2.5,1.58,betsson,2,0.2175,0.015,0.96,6.39,1.565,betsson:1.58; codere_it:1.55
Sassuolo vs Torino,2025-12-21 09:00:00,Serie A,Goles (Over/Under),Over 2.5,2.18,betsson,2,0.2037,0.035,1.63,6.48,2.145,betsson:2.18; codere_it:2.11
Sassuolo vs Torino,2025-12-21 09:00:00,Serie A,Goles (Over/Under),Under 2.5,1.65,betsson,2,0.2037,0.015,0.92,6.48,1.635,betsson:1.65; codere_it:1.62
Go Ahead Eagles vs Groningen,2025-12-21 08:30:00,Eredivisie,Goles (Over/Under),Over 2.5,1.72,betsson,2,0.2,0.03,1.78,6.45,1.69,betsson:1.72; codere_it:1.66
Go Ahead Eagles vs Groningen,2025-12-21 08:30:00,Eredivisie,Goles (Over/Under),Under 2.5,2.07,betsson,2,0.2,0.01,0.49,6.45,2.06,betsson:2.07; codere_it:2.05
Virtus Entella vs Südtirol,2025-12-21 09:00:00,Serie B,Goles (Over/Under),Over 2.5,2.21,codere_it,2,0.1795,0.005,0.23,5.85,2.205,codere_it:2.21; betsson:2.2
Virtus Entella vs Südtirol,2025-12-21 09:00:00,Serie B,Goles (Over/Under),Under 2.5,1.65,codere_it,2,0.1795,0.025,1.54,5.85,1.625,codere_it:1.65; betsson:1.6
Fiorentina vs Udinese,2025-12-21 12:00:00,Serie A,Goles (Over/Under),Over 2.5,2.12,betsson,2,0.1749,0.035,1.68,6.69,2.085,betsson:2.12; codere_it:2.05
Fiorentina vs Udinese,2025-12-21 12:00:00,Serie A,Goles (Over/Under),Under 2.5,1.68,betsson,2,0.1749,0.01,0.6,6.69,1.67,betsson:1.68; codere_it:1.66
Aston Villa vs Manchester United,2025-12-21 11:30:00,EPL,Goles (Over/Under),Over 2.5,1.64,codere_it,2,0.1491,0.02,1.23,3.89,1.62,codere_it:1.64; betsson:1.6
Goztepe vs Samsunspor,2025-12-21 12:00:00,Super League,Goles (Over/Under),Over 2.5,2.16,betsson,2,0.1177,0.035,1.65,6.54,2.125,betsson:2.16; codere_it:2.09
Goztepe vs Samsunspor,2025-12-21 12:00:00,Super League,Goles (Over/Under),Under 2.5,1.66,betsson,2,0.1177,0.0,0.0,6.54,1.66,betsson:1.66; codere_it:1.66
Grasshopper Zürich vs FC St Gallen,2025-12-21 10:30:00,Swiss Superleague,Goles (Over/Under),Over 2.5,1.68,betsson,2,0.1092,0.01,0.6,7.6,1.67,betsson:1.68; codere_it:1.66
Grasshopper Zürich vs FC St Gallen,2025-12-21 10:30:00,Swiss Superleague,Goles (Over/Under),Under 2.5,2.08,betsson,2,0.1092,0.02,0.97,7.6,2.06,betsson:2.08; codere_it:2.04
Celtic vs Aberdeen,2025-12-21 10:00:00,Premiership,Goles (Over/Under),Over 3.5,2.18,betsson,2,0.0961,0.025,1.16,7.6,2.155,betsson:2.18; codere_it:2.13
Celtic vs Aberdeen,2025-12-21 10:00:00,Premiership,Goles (Over/Under),Under 3.5,1.62,betsson,2,0.0961,0.005,0.31,7.6,1.615,betsson:1.62; codere_it:1.61
SC Preußen Münster vs Elversberg,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Over 2.5,1.68,betsson,2,0.0934,0.01,0.6,7.6,1.67,betsson:1.68; codere_it:1.66
SC Preußen Münster vs Elversberg,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Under 2.5,2.08,betsson,2,0.0934,0.015,0.73,7.6,2.065,betsson:2.08; codere_it:2.05
TSG Hoffenheim II vs Wehen Wiesbaden,2025-12-21 10:30:00,3. Liga,Goles (Over/Under),Over 2.5,1.55,betsson,2,0.0626,0.005,0.32,7.99,1.545,betsson:1.55; codere_it:1.54
TSG Hoffenheim II vs Wehen Wiesbaden,2025-12-21 10:30:00,3. Liga,Goles (Over/Under),Under 2.5,2.3,betsson,2,0.0626,0.015,0.66,7.99,2.285,betsson:2.3; codere_it:2.27
FC Viktoria Köln 1904 vs MSV Duisburg,2025-12-21 13:30:00,3. Liga,Goles (Over/Under),Over 2.5,1.78,betsson,2,0.0557,0.01,0.56,8.26,1.77,betsson:1.78; codere_it:1.76
FC Viktoria Köln 1904 vs MSV Duisburg,2025-12-21 13:30:00,3. Liga,Goles (Over/Under),Under 2.5,1.92,betsson,2,0.0557,0.005,0.26,8.26,1.915,betsson:1.92; codere_it:1.91
Granada CF vs Albacete,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Over 2.5,2.02,betsson,2,0.0504,0.01,0.5,8.33,2.01,betsson:2.02; codere_it:2.0
Granada CF vs Albacete,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Under 2.5,1.7,betsson,2,0.0504,0.005,0.29,8.33,1.695,betsson:1.7; codere_it:1.69
TSV Havelse vs Alemannia Aachen,2025-12-21 07:30:00,3. Liga,Goles (Over/Under),Over 2.5,1.62,betsson,2,0.0498,0.005,0.31,8.24,1.615,betsson:1.62; codere_it:1.61
TSV Havelse vs Alemannia Aachen,2025-12-21 07:30:00,3. Liga,Goles (Over/Under),Under 2.5,2.15,betsson,2,0.0498,0.01,0.47,8.24,2.14,betsson:2.15; codere_it:2.13
Real Sociedad B vs AD Ceuta FC,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Over 2.5,2.18,betsson,2,0.0382,0.015,0.69,8.37,2.165,betsson:2.18; codere_it:2.15
Real Sociedad B vs AD Ceuta FC,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Under 2.5,1.6,betsson,2,0.0382,0.0,0.0,8.37,1.6,betsson:1.6; codere_it:1.6
CD Mirandés vs Córdoba,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Over 2.5,2.05,betsson,2,0.0361,0.005,0.24,8.3,2.045,betsson:2.05; codere_it:2.04
CD Mirandés vs Córdoba,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Under 2.5,1.68,betsson,2,0.0361,0.005,0.3,8.3,1.675,betsson:1.68; codere_it:1.67
FC Lugano vs BSC Young Boys,2025-12-21 10:30:00,Swiss Superleague,Goles (Over/Under),Over 2.5,1.58,betsson,2,0.036,0.005,0.32,8.34,1.575,betsson:1.58; codere_it:1.57
FC Lugano vs BSC Young Boys,2025-12-21 10:30:00,Swiss Superleague,Goles (Over/Under),Under 2.5,2.22,betsson,2,0.036,0.005,0.23,8.34,2.215,betsson:2.22; codere_it:2.21
Eintracht Braunschweig vs FC Schalke 04,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Over 2.5,1.98,betsson,2,0.0301,0.01,0.51,8.64,1.97,betsson:1.98; codere_it:1.96
Eintracht Braunschweig vs FC Schalke 04,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Under 2.5,1.72,betsson,2,0.0301,0.0,0.0,8.64,1.72,betsson:1.72; codere_it:1.72
1. FC Nürnberg vs Hannover 96,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Under 2.5,2.23,codere_it,2,0.0135,0.005,0.22,8.13,2.225,codere_it:2.23; betsson:2.22
Burgos CF vs Zaragoza,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Over 1.5,1.56,codere_it,2,0.0,0.005,0.32,8.95,1.555,codere_it:1.56; betsson:1.55
Burgos CF vs Zaragoza,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Under 1.5,2.25,betsson,2,-0.0011,0.01,0.45,8.96,2.24,betsson:2.25; codere_it:2.23
1. FC Nürnberg vs Hannover 96,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Over 2.5,1.58,betsson,2,-0.012,0.0,0.0,8.34,1.58,betsson:1.58; codere_it:1.58
Aston Villa vs Manchester United,2025-12-21 11:30:00,EPL,Goles (Over/Under),Under 2.5,2.35,betsson,2,-0.1149,0.01,0.43,5.05,2.34,betsson:2.35; codere_it:2.33
