Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Score_Final,Todas_Las_Cuotas,APIs_Usadas
Melbourne City vs Brisbane Roar,2026-01-06 03:00:00,Under 2.5,1.83,1.7232,0.000162,19,0.014918,0.013557,0.000406,19,0.023398,0.021969,toa_pinnacle,19,0.1068,4.03,1004.43,A-League,Over/Under,,toa_betmgm:1.6900; toa_betonlineag:1.8100; toa_betsson:1.7500; toa_betus:1.8300; toa_casumo:1.6500; toa_codere_it:1.7600; toa_coolbet:1.8000; toa_grosvenor:1.6500; toa_gtbets:1.7600; toa_leovegas:1.6500; toa_leovegas_se:1.6500; toa_lowvig:1.8100; toa_nordicbet:1.7500; toa_pinnacle:1.8300; toa_tabtouch:1.6500; toa_unibet:1.6500; toa_unibet_nl:1.6500; toa_unibet_se:1.6500; toa_williamhill:1.7500,THE_ODDS_API
Melbourne City vs Brisbane Roar,2026-01-06 03:00:00,Over 2.5,2.08,2.0353,0.000162,19,0.014918,0.013557,0.000138,19,0.013849,0.01135,toa_tabtouch,19,0.0447,2.82,834.26,A-League,Over/Under,,toa_betmgm:2.0000; toa_betonlineag:2.0400; toa_betsson:1.9800; toa_betus:1.9100; toa_casumo:2.0800; toa_codere_it:1.9100; toa_coolbet:2.0600; toa_grosvenor:2.0800; toa_gtbets:2.0300; toa_leovegas:2.0800; toa_leovegas_se:2.0800; toa_lowvig:2.0400; toa_nordicbet:1.9800; toa_pinnacle:2.0800; toa_tabtouch:2.0800; toa_unibet:2.0800; toa_unibet_nl:2.0800; toa_unibet_se:2.0800; toa_williamhill:2.0000,THE_ODDS_API
Pisa vs Como,2026-01-06 09:00:00,Under 2.25,1.98,1.9025,0.000129,4,0.013376,0.011452,0.000167,4,0.015195,0.014474,toa_bovada,4,0.0775,2.89,110.43,Serie A,Over/Under,,toa_betonlineag:1.8500; toa_bovada:1.9800; toa_lowvig:1.8500; toa_pinnacle:1.9300,THE_ODDS_API
Pisa vs Como,2026-01-06 09:00:00,Over 2.25,1.97,1.935,0.000129,4,0.013376,0.011452,0.000135,4,0.013672,0.011697,toa_lowvig,4,0.035,2.64,106.86,Serie A,Over/Under,,toa_betonlineag:1.9700; toa_bovada:1.8500; toa_lowvig:1.9700; toa_pinnacle:1.9500,THE_ODDS_API
Livingston vs St Mirren,2026-01-06 14:45:00,Under 2.5,1.85,1.7467,0.000128,21,0.013307,0.012102,0.00035,21,0.021783,0.019572,toa_pinnacle,21,0.1033,3.8,1104.04,Scottish Premiership,Over/Under,,toa_betmgm:1.7400; toa_betonlineag:1.8300; toa_betrivers:1.6800; toa_betsson:1.7500; toa_betus:1.8500; toa_bovada:1.8000; toa_casumo:1.6800; toa_codere_it:1.8300; toa_coolbet:1.8000; toa_grosvenor:1.6800; toa_leovegas:1.6800; toa_leovegas_se:1.6600; toa_lowvig:1.8300; toa_nordicbet:1.7500; toa_pinnacle:1.8500; toa_tabtouch:1.6800; toa_tipico_de:1.7500; toa_unibet:1.6800; toa_unibet_nl:1.6800; toa_unibet_se:1.6800; toa_williamhill:1.8000,THE_ODDS_API
Livingston vs St Mirren,2026-01-06 14:45:00,Over 2.5,2.03,1.9838,0.000128,21,0.013307,0.012102,9.3e-05,21,0.01138,0.009426,toa_pinnacle,21,0.0462,2.26,959.1,Scottish Premiership,Over/Under,,toa_betmgm:1.9100; toa_betonlineag:2.0000; toa_betrivers:2.0200; toa_betsson:1.9800; toa_betus:1.8800; toa_bovada:1.9500; toa_casumo:2.0200; toa_codere_it:1.9500; toa_coolbet:1.9800; toa_grosvenor:2.0200; toa_leovegas:2.0200; toa_leovegas_se:2.0000; toa_lowvig:2.0000; toa_nordicbet:1.9800; toa_pinnacle:2.0300; toa_tabtouch:2.0200; toa_tipico_de:1.9300; toa_unibet:2.0200; toa_unibet_nl:2.0200; toa_unibet_se:2.0200; toa_williamhill:1.9100,THE_ODDS_API
Pisa vs Como,2026-01-06 09:00:00,Under 2.5,1.76,1.6589,6.1e-05,18,0.009117,0.008284,9.1e-05,18,0.01105,0.008234,toa_coolbet,18,0.1011,1.83,985.4,Serie A,Over/Under,,sgo_betparx:1.6410; toa_betmgm:1.6500; toa_betrivers:1.6300; toa_betsson:1.6800; toa_betus:1.6700; toa_casumo:1.6400; toa_codere_it:1.6400; toa_coolbet:1.7600; toa_grosvenor:1.6500; toa_gtbets:1.6700; toa_leovegas:1.6200; toa_leovegas_se:1.6600; toa_nordicbet:1.6800; toa_tabtouch:1.6400; toa_tipico_de:1.6500; toa_unibet_nl:1.6400; toa_unibet_se:1.6400; toa_williamhill:1.7000,"SportsGameOdds, THE_ODDS_API"
Pisa vs Como,2026-01-06 09:00:00,Over 2.5,2.3,2.1728,6.1e-05,18,0.009117,0.008284,0.000118,18,0.012776,0.010481,toa_betus,18,0.1272,2.77,729.07,Serie A,Over/Under,,sgo_betparx:2.2000; toa_betmgm:2.1000; toa_betrivers:2.2000; toa_betsson:2.1200; toa_betus:2.3000; toa_casumo:2.2000; toa_codere_it:2.0800; toa_coolbet:2.1700; toa_grosvenor:2.2300; toa_gtbets:2.1300; toa_leovegas:2.1800; toa_leovegas_se:2.2300; toa_nordicbet:2.1200; toa_tabtouch:2.2000; toa_tipico_de:2.2000; toa_unibet_nl:2.2000; toa_unibet_se:2.2000; toa_williamhill:2.0500,"SportsGameOdds, THE_ODDS_API"
West Ham United vs Nottingham Forest,2026-01-06 15:00:00,Under 2.5,1.87,1.8323,5.6e-05,22,0.00881,0.008021,0.000108,22,0.012194,0.010749,toa_leovegas_se,22,0.0377,2.23,1101.3,Premier League,Over/Under,,sgo_betparx:1.8696; toa_betmgm:1.7700; toa_betonlineag:1.8300; toa_betrivers:1.8500; toa_betsson:1.7800; toa_bovada:1.8700; toa_casumo:1.8700; toa_codere_it:1.7500; toa_coolbet:1.8700; toa_grosvenor:1.8700; toa_gtbets:1.8100; toa_leovegas:1.8700; toa_leovegas_se:1.8700; toa_lowvig:1.8300; toa_mybookieag:1.7800; toa_nordicbet:1.7800; toa_pinnacle:1.8300; toa_tabtouch:1.8700; toa_tipico_de:1.8000; toa_unibet_nl:1.8700; toa_unibet_se:1.8700; toa_williamhill:1.8000,"SportsGameOdds, THE_ODDS_API"
West Ham United vs Nottingham Forest,2026-01-06 15:00:00,Over 2.5,2.08,1.9642,5.6e-05,22,0.00881,0.008021,0.000102,22,0.011897,0.010033,toa_pinnacle,22,0.1158,2.34,1020.65,Premier League,Over/Under,,sgo_betparx:1.9434; toa_betmgm:1.9100; toa_betonlineag:2.0400; toa_betrivers:1.9300; toa_betsson:2.0200; toa_bovada:1.9500; toa_casumo:1.9300; toa_codere_it:1.9300; toa_coolbet:2.0000; toa_grosvenor:1.9300; toa_gtbets:1.9700; toa_leovegas:1.9400; toa_leovegas_se:1.9400; toa_lowvig:2.0400; toa_mybookieag:1.9700; toa_nordicbet:2.0200; toa_pinnacle:2.0800; toa_tabtouch:1.9300; toa_tipico_de:1.9700; toa_unibet_nl:1.9300; toa_unibet_se:1.9300; toa_williamhill:1.9100,"SportsGameOdds, THE_ODDS_API"
