fixture_id,bookmaker_id,bookmaker,line,over_odds,under_odds,match,league,starts_at,source,side,odds_decimal,event_id,odds_american
1378047.0,2,Marathonbet,0.75,1.07,6.85,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,6.85,,
1378047.0,2,Marathonbet,1.0,1.1,6.15,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.1,,
1378047.0,2,Marathonbet,1.0,1.1,6.15,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,6.15,,
1378047.0,2,Marathonbet,1.25,1.27,3.56,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.27,,
1378047.0,2,Marathonbet,1.25,1.27,3.56,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,3.56,,
1378047.0,2,Marathonbet,3.0,3.52,1.23,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,3.52,,
1378047.0,2,Marathonbet,3.0,3.52,1.23,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.23,,
1378047.0,2,Marathonbet,4.5,9.0,1.0,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,9.0,,
1378047.0,2,Marathonbet,4.5,9.0,1.0,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.0,,
1378047.0,2,Marathonbet,3.25,3.9,1.18,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,3.9,,
1378047.0,2,Marathonbet,3.25,3.9,1.18,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.18,,
1378047.0,2,Marathonbet,3.75,5.5,1.08,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,5.5,,
1378047.0,2,Marathonbet,3.75,5.5,1.08,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.08,,
1378047.0,2,Marathonbet,4.0,8.2,1.02,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,8.2,,
1378047.0,2,Marathonbet,4.0,8.2,1.02,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.02,,
1378047.0,2,Marathonbet,4.25,8.7,1.01,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,8.7,,
1378047.0,2,Marathonbet,4.25,8.7,1.01,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.01,,
1378047.0,16,Unibet,1.5,1.41,2.8,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.41,,
