Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Deportivo La Coruña vs Real Sociedad B,2025-12-13 15:00:00,La Liga 2,Goles (Over/Under),Over 2.5,1.88,pinnacle,3,1.2925,0.06,2.37,2.94,1.82,pinnacle:1.88; betsson:1.8; codere_it:1.78
Deportivo La Coruña vs Real Sociedad B,2025-12-13 15:00:00,La Liga 2,Goles (Over/Under),Under 2.5,2.01,pinnacle,3,1.2925,0.0767,2.81,2.94,1.9333,pinnacle:2.01; betsson:1.9; codere_it:1.89
Strasbourg vs Lorient,2025-12-14 11:15:00,Ligue 1,Goles (Over/Under),Over 2.5,1.85,pinnacle,3,1.1519,0.06,2.54,2.83,1.79,pinnacle:1.85; betsson:1.78; codere_it:1.74
Strasbourg vs Lorient,2025-12-14 11:15:00,Ligue 1,Goles (Over/Under),Under 2.5,2.05,pinnacle,3,1.1519,0.0567,2.1,2.83,1.9933,pinnacle:2.05; betsson:1.98; codere_it:1.95
FC Basel vs FC Lausanne-Sport,2025-12-14 10:30:00,Swiss Superleague,Goles (Over/Under),Over 3.5,2.0,pinnacle,3,1.1191,0.1033,3.86,3.19,1.8967,pinnacle:2.0; betsson:1.85; codere_it:1.84
FC Basel vs FC Lausanne-Sport,2025-12-14 10:30:00,Swiss Superleague,Goles (Over/Under),Under 3.5,1.88,pinnacle,3,1.1191,0.0267,1.11,3.19,1.8533,pinnacle:1.88; betsson:1.85; codere_it:1.83
Nottingham Forest vs Tottenham Hotspur,2025-12-14 09:00:00,EPL,Goles (Over/Under),Over 2.5,2.05,pinnacle,3,1.0848,0.0567,3.02,2.83,1.9933,pinnacle:2.05; betsson:2.02; codere_it:1.91
Nottingham Forest vs Tottenham Hotspur,2025-12-14 09:00:00,EPL,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,1.0848,0.0533,2.15,2.83,1.7967,pinnacle:1.85; betsson:1.78; codere_it:1.76
Wellington Phoenix FC vs Newcastle Jets FC,2025-12-13 21:00:00,A-League,Doble Chance,1X,1.61,pinnacle,4,1.081,0.08,3.49,3.21,1.53,pinnacle:1.61; betsson:1.53; marathonbet:1.52; codere_it:1.46
Wellington Phoenix FC vs Newcastle Jets FC,2025-12-13 21:00:00,A-League,Doble Chance,X2,1.51,pinnacle,4,1.081,0.035,1.55,3.21,1.475,pinnacle:1.51; codere_it:1.48; marathonbet:1.46; betsson:1.45
Lyon vs Le Havre,2025-12-14 09:00:00,Ligue 1,Goles (Over/Under),Over 2.5,1.95,pinnacle,3,1.0194,0.07,2.64,3.1,1.88,pinnacle:1.95; betsson:1.85; codere_it:1.84
Lyon vs Le Havre,2025-12-14 09:00:00,Ligue 1,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,1.0194,0.0433,2.22,3.1,1.8867,pinnacle:1.93; betsson:1.9; codere_it:1.83
Deportivo La Coruña vs Real Sociedad B,2025-12-13 15:00:00,La Liga 2,Doble Chance,1X,1.12,pinnacle,4,0.9945,0.03,1.72,3.61,1.09,pinnacle:1.12; betsson:1.09; marathonbet:1.08; codere_it:1.07
Deportivo La Coruña vs Real Sociedad B,2025-12-13 15:00:00,La Liga 2,Doble Chance,X2,2.74,pinnacle,4,0.9945,0.175,4.39,3.61,2.565,pinnacle:2.74; marathonbet:2.58; betsson:2.5; codere_it:2.44
Albacete vs Málaga,2025-12-14 10:15:00,La Liga 2,Goles (Over/Under),Over 2.5,2.02,pinnacle,3,0.9663,0.05,1.81,3.56,1.97,pinnacle:2.02; betsson:1.95; codere_it:1.94
Albacete vs Málaga,2025-12-14 10:15:00,La Liga 2,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,0.9663,0.07,2.79,3.56,1.78,pinnacle:1.85; betsson:1.75; codere_it:1.74
Falkirk F.C. vs Hearts,2025-12-13 15:00:00,Premiership,Doble Chance,1X,2.05,pinnacle,4,0.9315,0.1075,3.59,3.65,1.9425,pinnacle:2.05; marathonbet:1.95; betsson:1.91; codere_it:1.86
Falkirk F.C. vs Hearts,2025-12-13 15:00:00,Premiership,Doble Chance,X2,1.23,pinnacle,4,0.9315,0.025,1.71,3.65,1.205,pinnacle:1.23; betsson:1.22; marathonbet:1.19; codere_it:1.18
FC Schalke 04 vs 1. FC Nürnberg,2025-12-14 07:30:00,Bundesliga 2,Goles (Over/Under),Over 2.5,1.93,pinnacle,3,0.9091,0.08,3.09,3.63,1.85,pinnacle:1.93; betsson:1.82; codere_it:1.8
FC Schalke 04 vs 1. FC Nürnberg,2025-12-14 07:30:00,Bundesliga 2,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,0.9091,0.0367,1.39,3.63,1.8933,pinnacle:1.93; betsson:1.88; codere_it:1.87
Zaragoza vs Cádiz CF,2025-12-13 15:00:00,La Liga 2,Doble Chance,1X,1.29,pinnacle,3,0.9003,0.0267,1.63,3.41,1.2633,pinnacle:1.29; marathonbet:1.26; betsson:1.24
Zaragoza vs Cádiz CF,2025-12-13 15:00:00,La Liga 2,Doble Chance,X2,1.73,pinnacle,3,0.9003,0.0567,2.41,3.41,1.6733,pinnacle:1.73; marathonbet:1.65; betsson:1.64
Aberdeen vs Kilmarnock,2025-12-14 10:00:00,Premiership,Goles (Over/Under),Over 2.5,1.98,pinnacle,3,0.8947,0.0633,2.77,3.42,1.9167,pinnacle:1.98; betsson:1.92; codere_it:1.85
Aberdeen vs Kilmarnock,2025-12-14 10:00:00,Premiership,Goles (Over/Under),Under 2.5,1.89,pinnacle,3,0.8947,0.0467,1.79,3.42,1.8433,pinnacle:1.89; codere_it:1.82; betsson:1.82
Samsunspor vs Basaksehir,2025-12-14 12:00:00,Super League,Goles (Over/Under),Over 2.5,1.88,pinnacle,3,0.8401,0.05,2.23,3.44,1.83,pinnacle:1.88; betsson:1.83; codere_it:1.78
Samsunspor vs Basaksehir,2025-12-14 12:00:00,Super League,Goles (Over/Under),Under 2.5,1.99,pinnacle,3,0.8401,0.0533,2.12,3.44,1.9367,pinnacle:1.99; betsson:1.93; codere_it:1.89
Albacete vs Málaga,2025-12-14 10:15:00,La Liga 2,Doble Chance,1X,1.25,pinnacle,4,0.8354,0.02,1.15,4.07,1.23,pinnacle:1.25; betsson:1.23; marathonbet:1.23; codere_it:1.21
Albacete vs Málaga,2025-12-14 10:15:00,La Liga 2,Doble Chance,X2,1.88,pinnacle,4,0.8354,0.095,3.46,4.07,1.785,pinnacle:1.88; marathonbet:1.79; betsson:1.76; codere_it:1.71
Gazişehir Gaziantep vs Goztepe,2025-12-14 06:30:00,Super League,Goles (Over/Under),Over 2.5,1.96,pinnacle,3,0.8343,0.0333,1.49,3.38,1.9267,pinnacle:1.96; betsson:1.93; codere_it:1.89
Gazişehir Gaziantep vs Goztepe,2025-12-14 06:30:00,Super League,Goles (Over/Under),Under 2.5,1.91,pinnacle,3,0.8343,0.0667,2.71,3.38,1.8433,pinnacle:1.91; betsson:1.83; codere_it:1.79
West Ham United vs Aston Villa,2025-12-14 09:00:00,EPL,Goles (Over/Under),Over 2.5,1.89,pinnacle,3,0.8291,0.0467,3.2,3.16,1.8433,pinnacle:1.89; betsson:1.88; codere_it:1.76
West Ham United vs Aston Villa,2025-12-14 09:00:00,EPL,Goles (Over/Under),Under 2.5,1.99,pinnacle,3,0.8291,0.0467,1.7,3.16,1.9433,pinnacle:1.99; codere_it:1.92; betsson:1.92
Raków Częstochowa vs Zagłębie Lubin,2025-12-14 08:45:00,Ekstraklasa,Goles (Over/Under),Over 2.5,2.01,pinnacle,3,0.8163,0.0767,2.81,3.81,1.9333,pinnacle:2.01; betsson:1.9; codere_it:1.89
Raków Częstochowa vs Zagłębie Lubin,2025-12-14 08:45:00,Ekstraklasa,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,0.8163,0.0367,1.45,3.81,1.8133,pinnacle:1.85; betsson:1.8; codere_it:1.79
Almería vs Burgos CF,2025-12-14 12:30:00,La Liga 2,Doble Chance,1X,1.2,pinnacle,4,0.8129,0.04,2.02,4.17,1.16,pinnacle:1.2; marathonbet:1.15; betsson:1.15; codere_it:1.14
Almería vs Burgos CF,2025-12-14 12:30:00,La Liga 2,Doble Chance,X2,2.1,pinnacle,4,0.8129,0.09,3.34,4.17,2.01,pinnacle:2.1; marathonbet:2.04; betsson:1.98; codere_it:1.92
Falkirk F.C. vs Hearts,2025-12-13 15:00:00,Premiership,Goles (Over/Under),Over 2.5,1.9,pinnacle,3,0.7986,0.0667,2.72,2.88,1.8333,pinnacle:1.9; codere_it:1.82; betsson:1.78
Falkirk F.C. vs Hearts,2025-12-13 15:00:00,Premiership,Goles (Over/Under),Under 2.5,1.99,pinnacle,3,0.7986,0.0133,0.63,2.88,1.9767,pinnacle:1.99; betsson:1.98; codere_it:1.96
Motor Lublin vs Jagiellonia Białystok,2025-12-14 11:30:00,Ekstraklasa,Doble Chance,1X,1.52,pinnacle,4,0.7687,0.0575,2.48,4.54,1.4625,pinnacle:1.52; marathonbet:1.46; betsson:1.45; codere_it:1.42
Motor Lublin vs Jagiellonia Białystok,2025-12-14 11:30:00,Ekstraklasa,Doble Chance,X2,1.54,pinnacle,4,0.7687,0.0575,2.45,4.54,1.4825,pinnacle:1.54; marathonbet:1.48; betsson:1.47; codere_it:1.44
