Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,Confianza,Marcador,Resultado,Estado_Partido,Fuente_Web,Actualizado_Web_UTC
Marseille vs AS Monaco,2025-12-14 14:45:00,Ligue 1,Goles (Over/Under),Over 3.5,2.18,betsson,2,0.1991,0.025,1.16,6.48,2.155,betsson:2.18; codere_it:2.13,17.68,1-0,Fallido,,,
Schweinfurt vs TSV Havelse,2025-12-14 13:30:00,3. Liga,Goles (Over/Under),Over 3.5,2.22,betsson,2,0.106,0.02,0.91,7.55,2.2,betsson:2.22; codere_it:2.18,16.82,2-3,Acertado,,,
Levante vs Villarreal,2025-12-14 12:30:00,La Liga,Doble Chance,1X,2.25,pinnacle,4,0.1172,0.0275,1.4,3.67,2.2225,pinnacle:2.25; marathonbet:2.24; betsson:2.23; codere_it:2.17,16.11,,Sin datos,Aplazado,ESPN,2025-12-15T20:48:07+00:00
Panetolikos Agrinio vs AEK Athens,2025-12-14 10:30:00,Super League,Doble Chance,1X,3.05,pinnacle,3,0.3283,0.1333,4.28,5.3,2.9167,pinnacle:3.05; betsson:2.95; codere_it:2.75,15.96,0-5,Fallido,,,
RC Lens vs Nice,2025-12-14 11:15:00,Ligue 1,Goles (Over/Under),Over 3.5,2.31,codere_it,2,0.2576,0.065,2.9,4.27,2.245,codere_it:2.31; betsson:2.18,15.86,2-0,Fallido,,,
Aris Thessaloniki vs Olympiakos Piraeus,2025-12-14 13:00:00,Super League,Doble Chance,1X,2.8,pinnacle,3,0.3327,0.17,5.13,5.2,2.63,pinnacle:2.8; betsson:2.62; codere_it:2.47,15.78,0-0,Acertado,,,
Alavés vs Real Madrid,2025-12-14 15:00:00,La Liga,Doble Chance,1X,2.37,pinnacle,4,0.1188,0.0475,1.5,3.62,2.3225,pinnacle:2.37; marathonbet:2.34; codere_it:2.3; betsson:2.28,15.76,1-2,Fallido,,,
SV Darmstadt 98 vs SC Preußen Münster,2025-12-14 07:30:00,Bundesliga 2,Doble Chance,1X,1.16,codere_it,4,0.0741,0.0125,1.13,6.21,1.1475,codere_it:1.16; pinnacle:1.16; marathonbet:1.14; betsson:1.13,14.29,1-0,Acertado,,,
Werder Bremen vs VfB Stuttgart,2025-12-14 13:30:00,Bundesliga,Goles (Over/Under),Over 3.5,2.32,betsson,2,0.2003,0.045,1.98,6.39,2.275,betsson:2.32; codere_it:2.23,14.19,0-4,Acertado,,,
Sparta Rotterdam vs Heerenveen,2025-12-14 06:15:00,Eredivisie,Goles (Over/Under),Over 3.5,2.36,betsson,2,-0.037,0.02,0.85,6.48,2.34,betsson:2.36; codere_it:2.32,13.74,0-3,Fallido,,,
West Ham United vs Aston Villa,2025-12-14 09:00:00,EPL,Doble Chance,1X,1.84,betsson,4,-0.0995,0.015,0.82,4.42,1.825,betsson:1.84; pinnacle:1.83; marathonbet:1.83; codere_it:1.8,13.74,2-3,Fallido,,,
Fenerbahce vs Torku Konyaspor,2025-12-15 12:00:00,Super League,Goles (Over/Under),Over 3.5,2.27,betsson,2,0.1069,0.035,1.57,6.55,2.235,betsson:2.27; codere_it:2.2,12.63,4-0,Acertado,,,
Ajax vs Feyenoord,2025-12-14 08:30:00,Eredivisie,Doble Chance,1X,1.72,betsson,4,0.0458,0.025,1.53,5.46,1.695,betsson:1.72; pinnacle:1.72; codere_it:1.68; marathonbet:1.66,11.57,2-0,Acertado,,,
FC Twente Enschede vs Go Ahead Eagles,2025-12-14 08:30:00,Eredivisie,Goles (Over/Under),Over 3.5,2.26,betsson,2,-0.0236,0.03,1.35,6.36,2.23,betsson:2.26; codere_it:2.2,9.84,2-0,Fallido,,,
Austria Wien vs Sturm Graz,2025-12-14 11:00:00,Austrian Bundesliga,Doble Chance,1X,1.41,codere_it,3,-0.0484,0.0133,1.35,5.99,1.3967,codere_it:1.41; pinnacle:1.41; betsson:1.37,9.29,3-1,Acertado,,,
Rangers vs Hibernian,2025-12-15 14:45:00,Premiership,Doble Chance,1X,1.25,betsson,4,0.0207,0.0225,2.03,7.25,1.2275,betsson:1.25; pinnacle:1.25; marathonbet:1.22; codere_it:1.19,8.31,1-0,Acertado,Descanso,Sky Sports,2025-12-15T20:48:07+00:00
AD Ceuta FC vs Las Palmas,2025-12-14 15:00:00,La Liga 2,Goles (Over/Under),Over 1.5,1.52,betsson,2,0.0336,0.0,0.0,8.34,1.52,betsson:1.52; codere_it:1.52,3.41,1-1,Acertado,,,
Ajax vs Feyenoord,2025-12-14 08:30:00,Eredivisie,Goles (Over/Under),Over 3.5,2.21,codere_it,2,0.0,0.0,0.0,6.22,2.21,codere_it:2.21; betsson:2.21,3.22,2-0,Fallido,,,
BSC Young Boys vs FC Luzern,2025-12-14 08:00:00,Swiss Superleague,Goles (Over/Under),Over 3.5,2.08,betsson,2,-0.0908,0.0,0.0,7.6,2.08,betsson:2.08; codere_it:2.08,-0.09,2-0,Fallido,,,
