Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,Confianza,Marcador,Resultado,Estado_Partido,Fuente_Web,Actualizado_Web_UTC
Austria Wien vs Sturm Graz,2025-12-14 11:00:00,Austrian Bundesliga,Goles (Over/Under),Over 2.5,1.93,pinnacle,3,0.562,0.0433,1.75,3.63,1.8867,pinnacle:1.93; betsson:1.88; codere_it:1.85,58.08,3-1,Acertado,,,
Lyon vs Le Havre,2025-12-14 09:00:00,Ligue 1,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,1.0194,0.0433,2.22,3.1,1.8867,pinnacle:1.93; betsson:1.9; codere_it:1.83,57.74,1-0,Acertado,,,
AC Milan vs Sassuolo,2025-12-14 06:30:00,Serie A,Goles (Over/Under),Over 2.5,1.9,pinnacle,3,0.4076,0.0267,1.1,3.14,1.8733,pinnacle:1.9; codere_it:1.87; betsson:1.85,57.69,2-2,Acertado,,,
Celta Vigo vs Athletic Bilbao,2025-12-14 10:15:00,La Liga,Doble Chance,X2,1.48,marathonbet,4,0.3583,0.0175,0.89,3.07,1.4625,marathonbet:1.48; pinnacle:1.47; codere_it:1.45; betsson:1.45,57.6,2-0,Fallido,,,
NAC Breda vs FC Utrecht,2025-12-14 10:45:00,Eredivisie,Doble Chance,X2,1.48,pinnacle,4,0.4425,0.0225,1.01,3.91,1.4575,pinnacle:1.48; betsson:1.46; codere_it:1.45; marathonbet:1.44,57.39,1-1,Acertado,,,
RB Salzburg vs Wolfsberger AC,2025-12-14 08:30:00,Austrian Bundesliga,Doble Chance,X2,2.06,pinnacle,3,0.7045,0.0967,3.95,4.4,1.9633,pinnacle:2.06; betsson:1.96; codere_it:1.87,57.31,2-1,Fallido,,,
Aberdeen vs Kilmarnock,2025-12-14 10:00:00,Premiership,Doble Chance,X2,2.01,pinnacle,4,0.642,0.065,2.45,4.33,1.945,pinnacle:2.01; marathonbet:1.97; betsson:1.91; codere_it:1.89,57.06,2-1,Fallido,,,
Samsunspor vs Basaksehir,2025-12-14 12:00:00,Super League,Doble Chance,X2,1.71,pinnacle,4,0.5393,0.035,1.55,3.82,1.675,pinnacle:1.71; codere_it:1.69; betsson:1.65; marathonbet:1.65,56.97,0-2,Acertado,,,
Paris FC vs Toulouse,2025-12-13 15:05:00,Ligue 1,Doble Chance,X2,1.49,marathonbet,4,0.2573,0.0125,0.74,3.07,1.4775,marathonbet:1.49; pinnacle:1.48; betsson:1.48; codere_it:1.46,56.85,0-3,Acertado,,,
FC Blau-Weiß Linz vs Rapid Wien,2025-12-14 08:30:00,Austrian Bundesliga,Doble Chance,X2,1.34,pinnacle,3,0.4821,0.02,1.24,3.9,1.32,pinnacle:1.34; codere_it:1.32; betsson:1.3,56.76,1-1,Acertado,,,
Moreirense FC vs Benfica,2025-12-14 13:00:00,Primeira Liga,Goles (Over/Under),Over 2.5,1.84,pinnacle,2,0.4926,0.03,1.66,3.37,1.81,pinnacle:1.84; betsson:1.78,56.74,0-4,Acertado,,,
AD Ceuta FC vs Las Palmas,2025-12-14 15:00:00,La Liga 2,Doble Chance,X2,1.38,pinnacle,4,0.6184,0.045,2.22,4.77,1.335,pinnacle:1.38; marathonbet:1.34; betsson:1.32; codere_it:1.3,56.35,1-1,Acertado,,,
FC Schalke 04 vs 1. FC Nürnberg,2025-12-14 07:30:00,Bundesliga 2,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,0.9091,0.0367,1.39,3.63,1.8933,pinnacle:1.93; betsson:1.88; codere_it:1.87,56.18,1-0,Acertado,,,
NAC Breda vs FC Utrecht,2025-12-14 10:45:00,Eredivisie,Goles (Over/Under),Over 2.5,1.9,pinnacle,3,0.5398,0.05,2.46,3.39,1.85,pinnacle:1.9; betsson:1.86; codere_it:1.79,56.16,1-1,Fallido,,,
SV Darmstadt 98 vs SC Preußen Münster,2025-12-14 07:30:00,Bundesliga 2,Doble Chance,X2,2.24,pinnacle,4,0.5843,0.0625,2.11,4.21,2.1775,pinnacle:2.24; codere_it:2.18; marathonbet:2.18; betsson:2.11,56.12,1-0,Fallido,,,
Gent vs Royal Antwerp,2025-12-14 07:30:00,Belgium First Div,Doble Chance,X2,1.7,pinnacle,3,0.5037,0.0333,1.5,4.01,1.6667,pinnacle:1.7; betsson:1.66; marathonbet:1.64,55.87,0-2,Acertado,,,
Genoa vs Inter Milan,2025-12-14 12:00:00,Serie A,Goles (Over/Under),Over 2.5,2.04,pinnacle,3,0.456,0.04,1.87,3.07,2.0,pinnacle:2.04; codere_it:2.01; betsson:1.95,55.54,1-2,Acertado,,,
RC Lens vs Nice,2025-12-14 11:15:00,Ligue 1,Goles (Over/Under),Under 3.5,1.65,betsson,2,-0.1713,0.005,0.3,6.48,1.645,betsson:1.65; codere_it:1.64,55.28,2-0,Acertado,,,
Gent vs Royal Antwerp,2025-12-14 07:30:00,Belgium First Div,Goles (Over/Under),Over 2.5,1.88,pinnacle,2,0.4012,0.025,1.35,3.44,1.855,pinnacle:1.88; betsson:1.83,55.26,0-2,Fallido,,,
Almería vs Burgos CF,2025-12-14 12:30:00,La Liga 2,Goles (Over/Under),Over 2.5,2.15,betsson,2,0.0498,0.01,0.47,8.24,2.14,betsson:2.15; codere_it:2.13,55.2,1-2,Acertado,,,
Lyon vs Le Havre,2025-12-14 09:00:00,Ligue 1,Doble Chance,X2,2.39,marathonbet,4,0.393,0.035,1.29,3.13,2.355,marathonbet:2.39; pinnacle:2.38; codere_it:2.33; betsson:2.32,55.03,1-0,Fallido,,,
Trabzonspor vs Besiktas JK,2025-12-14 12:00:00,Super League,Goles (Over/Under),Over 2.5,1.63,betsson,2,0.1925,0.01,0.62,6.39,1.62,betsson:1.63; codere_it:1.61,55.03,3-3,Acertado,,,
Sevilla vs Oviedo,2025-12-14 08:00:00,La Liga,Goles (Over/Under),Over 2.5,2.27,codere_it,2,0.3613,0.025,1.11,3.93,2.245,codere_it:2.27; betsson:2.22,54.94,4-0,Acertado,,,
Famalicão vs Estoril,2025-12-14 10:30:00,Primeira Liga,Doble Chance,X2,2.05,pinnacle,3,0.5083,0.05,1.78,4.23,2.0,pinnacle:2.05; betsson:1.98; marathonbet:1.97,54.7,4-0,Fallido,,,
Aberdeen vs Kilmarnock,2025-12-14 10:00:00,Premiership,Goles (Over/Under),Under 2.5,1.89,pinnacle,3,0.8947,0.0467,1.79,3.42,1.8433,pinnacle:1.89; codere_it:1.82; betsson:1.82,54.48,2-1,Fallido,,,
Albacete vs Málaga,2025-12-14 10:15:00,La Liga 2,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,0.9663,0.07,2.79,3.56,1.78,pinnacle:1.85; betsson:1.75; codere_it:1.74,54.39,1-3,Fallido,,,
SC Freiburg vs Borussia Dortmund,2025-12-14 09:30:00,Bundesliga,Goles (Over/Under),Over 2.5,1.78,betsson,2,0.2887,0.015,0.85,5.68,1.765,betsson:1.78; codere_it:1.75,53.95,1-1,Fallido,,,
Austria Wien vs Sturm Graz,2025-12-14 11:00:00,Austrian Bundesliga,Doble Chance,X2,1.61,pinnacle,3,0.4578,0.0367,1.67,3.91,1.5733,pinnacle:1.61; betsson:1.56; codere_it:1.55,53.94,3-1,Fallido,,,
Elversberg vs Fortuna Düsseldorf,2025-12-14 07:30:00,Bundesliga 2,Doble Chance,X2,2.56,pinnacle,4,0.5443,0.1075,2.9,4.06,2.4525,pinnacle:2.56; codere_it:2.45; marathonbet:2.44; betsson:2.36,53.8,1-0,Fallido,,,
Udinese vs Napoli,2025-12-14 09:00:00,Serie A,Doble Chance,X2,1.22,pinnacle,4,0.279,0.015,0.93,3.62,1.205,pinnacle:1.22; marathonbet:1.21; betsson:1.2; codere_it:1.19,53.75,1-0,Fallido,,,
Trabzonspor vs Besiktas JK,2025-12-14 12:00:00,Super League,Doble Chance,X2,1.57,pinnacle,4,0.455,0.0425,1.69,4.0,1.5275,pinnacle:1.57; betsson:1.52; codere_it:1.52; marathonbet:1.5,53.67,3-3,Acertado,,,
Boulogne vs Troyes,2025-12-15 14:45:00,Ligue 2,Goles (Over/Under),Over 2.5,2.12,betsson,2,0.0034,0.01,0.47,8.9,2.11,betsson:2.12; codere_it:2.1,53.63,1-2,Acertado,Descanso,ESPN,2025-12-15T20:48:07+00:00
Schweinfurt vs TSV Havelse,2025-12-14 13:30:00,3. Liga,Doble Chance,X2,1.6,pinnacle,3,0.4834,0.0267,1.59,5.42,1.5733,pinnacle:1.6; betsson:1.58; codere_it:1.54,53.58,2-3,Acertado,,,
Crystal Palace vs Manchester City,2025-12-14 09:00:00,EPL,Doble Chance,X2,1.28,pinnacle,4,0.1102,0.0075,0.65,3.54,1.2725,pinnacle:1.28; betsson:1.28; marathonbet:1.27; codere_it:1.26,53.44,0-3,Acertado,,,
West Ham United vs Aston Villa,2025-12-14 09:00:00,EPL,Goles (Over/Under),Under 2.5,1.99,pinnacle,3,0.8291,0.0467,1.7,3.16,1.9433,pinnacle:1.99; codere_it:1.92; betsson:1.92,53.28,2-3,Fallido,,,
Ajax vs Feyenoord,2025-12-14 08:30:00,Eredivisie,Doble Chance,X2,1.42,pinnacle,4,0.4419,0.0325,1.72,3.96,1.3875,pinnacle:1.42; betsson:1.4; codere_it:1.37; marathonbet:1.36,53.22,2-0,Fallido,,,
AS Roma vs Como,2025-12-15 14:45:00,Serie A,Goles (Over/Under),Over 2.5,2.24,codere_it,2,0.3517,0.03,1.36,3.81,2.21,codere_it:2.24; betsson:2.18,53.15,1-0,Fallido,Descanso,ESPN,2025-12-15T20:48:07+00:00
Raków Częstochowa vs Zagłębie Lubin,2025-12-14 08:45:00,Ekstraklasa,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,0.8163,0.0367,1.45,3.81,1.8133,pinnacle:1.85; betsson:1.8; codere_it:1.79,52.83,0-1,Acertado,,,
FC Basel vs FC Lausanne-Sport,2025-12-14 10:30:00,Swiss Superleague,Doble Chance,X2,2.22,pinnacle,4,0.4496,0.0475,1.82,4.27,2.1725,pinnacle:2.22; codere_it:2.2; marathonbet:2.15; betsson:2.12,52.77,0-0,Acertado,,,
Strasbourg vs Lorient,2025-12-14 11:15:00,Ligue 1,Doble Chance,X2,2.18,marathonbet,4,0.3758,0.05,1.72,3.06,2.13,marathonbet:2.18; pinnacle:2.15; codere_it:2.1; betsson:2.09,52.72,0-0,Acertado,,,
AS Roma vs Como,2025-12-15 14:45:00,Serie A,Doble Chance,X2,1.76,pinnacle,4,0.1977,0.0225,0.85,3.44,1.7375,pinnacle:1.76; codere_it:1.74; marathonbet:1.73; betsson:1.72,52.61,1-0,Fallido,Descanso,ESPN,2025-12-15T20:48:07+00:00
CD Castellón vs CD Mirandés,2025-12-15 14:30:00,La Liga 2,Goles (Over/Under),Over 2.5,1.68,betsson,2,0.1092,0.01,0.6,7.6,1.67,betsson:1.68; codere_it:1.66,52.57,3-1,Acertado,En juego,ESPN / LiveScore,2025-12-15T20:48:07+00:00
BSC Young Boys vs FC Luzern,2025-12-14 08:00:00,Swiss Superleague,Doble Chance,X2,2.12,pinnacle,4,0.5105,0.0975,2.93,4.29,2.0225,pinnacle:2.12; marathonbet:2.01; codere_it:2.0; betsson:1.96,52.49,2-0,Fallido,,,
Aris Thessaloniki vs Olympiakos Piraeus,2025-12-14 13:00:00,Super League,Goles (Over/Under),Over 2.5,2.03,betsson,2,0.4419,0.04,2.01,4.82,1.99,betsson:2.03; codere_it:1.95,52.38,0-0,Fallido,,,
Almería vs Burgos CF,2025-12-14 12:30:00,La Liga 2,Goles (Over/Under),Under 2.5,1.62,betsson,2,0.0498,0.005,0.31,8.24,1.615,betsson:1.62; codere_it:1.61,52.38,1-2,Fallido,,,
Panathinaikos vs Volos FC,2025-12-14 14:00:00,Super League,Goles (Over/Under),Over 2.5,1.73,betsson,2,0.4205,0.03,1.76,4.97,1.7,betsson:1.73; codere_it:1.67,52.32,2-1,Acertado,,,
Wehen Wiesbaden vs FC Energie Cottbus,2025-12-14 07:30:00,3. Liga,Doble Chance,X2,1.54,pinnacle,3,0.4981,0.0467,2.28,5.3,1.4933,pinnacle:1.54; betsson:1.48; codere_it:1.46,52.2,3-1,Fallido,,,
FC Lugano vs Servette,2025-12-14 10:30:00,Swiss Superleague,Goles (Over/Under),Over 2.5,1.68,betsson,2,0.0934,0.01,0.6,7.6,1.67,betsson:1.68; codere_it:1.66,52.1,4-2,Acertado,,,
Samsunspor vs Basaksehir,2025-12-14 12:00:00,Super League,Goles (Over/Under),Under 2.5,1.99,pinnacle,3,0.8401,0.0533,2.12,3.44,1.9367,pinnacle:1.99; betsson:1.93; codere_it:1.89,51.93,0-2,Acertado,,,
Jahn Regensburg vs Waldhof Mannheim,2025-12-14 10:30:00,3. Liga,Doble Chance,X2,1.5,pinnacle,3,0.4647,0.0367,1.96,5.38,1.4633,pinnacle:1.5; betsson:1.46; codere_it:1.43,51.86,3-0,Fallido,,,
Atromitos Athens vs PAOK Thessaloniki,2025-12-14 11:00:00,Super League,Goles (Over/Under),Over 2.5,1.81,betsson,2,0.396,0.03,1.69,5.0,1.78,betsson:1.81; codere_it:1.75,51.8,2-0,Fallido,,,
Arouca vs Alverca,2025-12-14 15:30:00,Primeira Liga,Doble Chance,X2,1.41,pinnacle,3,0.25,0.0167,0.9,5.0,1.3933,pinnacle:1.41; marathonbet:1.39; betsson:1.38,51.71,1-0,Fallido,,,
Sparta Rotterdam vs Heerenveen,2025-12-14 06:15:00,Eredivisie,Doble Chance,X2,1.44,pinnacle,4,0.415,0.0325,2.03,4.0,1.4075,pinnacle:1.44; betsson:1.43; codere_it:1.39; marathonbet:1.37,51.48,0-3,Acertado,,,
Atromitos Athens vs PAOK Thessaloniki,2025-12-14 11:00:00,Super League,Doble Chance,X2,1.1,pinnacle,3,0.3972,0.0167,1.57,4.96,1.0833,pinnacle:1.1; betsson:1.09; codere_it:1.06,51.42,2-0,Fallido,,,
Crystal Palace vs Manchester City,2025-12-14 09:00:00,EPL,Goles (Over/Under),Over 2.5,1.68,betsson,2,0.3936,0.03,1.82,4.98,1.65,betsson:1.68; codere_it:1.62,51.32,0-3,Acertado,,,
Werder Bremen vs VfB Stuttgart,2025-12-14 13:30:00,Bundesliga,Doble Chance,X2,1.45,pinnacle,4,0.2738,0.0175,1.25,3.36,1.4325,pinnacle:1.45; marathonbet:1.45; codere_it:1.42; betsson:1.41,51.27,0-4,Acertado,,,
Motor Lublin vs Jagiellonia Białystok,2025-12-14 11:30:00,Ekstraklasa,Goles (Over/Under),Over 2.5,1.65,betsson,2,0.0758,0.01,0.61,7.78,1.64,betsson:1.65; codere_it:1.63,51.24,1-1,Fallido,,,
Genk vs Westerlo,2025-12-14 13:15:00,Belgium First Div,Doble Chance,X2,2.15,pinnacle,3,0.3826,0.03,1.68,4.26,2.12,pinnacle:2.15; marathonbet:2.14; betsson:2.07,51.23,1-1,Acertado,,,
Nacional vs Tondela,2025-12-15 12:30:00,Primeira Liga,Doble Chance,X2,1.59,pinnacle,3,0.3287,0.0267,1.21,4.99,1.5633,pinnacle:1.59; betsson:1.55; marathonbet:1.55,51.23,3-1,Fallido,Finalizado,BBC,2025-12-15T20:48:07+00:00
Genoa vs Inter Milan,2025-12-14 12:00:00,Serie A,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,0.456,0.0133,0.68,3.07,1.8367,pinnacle:1.85; codere_it:1.84; betsson:1.82,51.1,1-2,Fallido,,,
Wehen Wiesbaden vs FC Energie Cottbus,2025-12-14 07:30:00,3. Liga,Goles (Over/Under),Over 2.5,1.58,betsson,2,0.0904,0.01,0.64,7.74,1.57,betsson:1.58; codere_it:1.56,50.92,3-1,Acertado,,,
Gazişehir Gaziantep vs Goztepe,2025-12-14 06:30:00,Super League,Goles (Over/Under),Under 2.5,1.91,pinnacle,3,0.8343,0.0667,2.71,3.38,1.8433,pinnacle:1.91; betsson:1.83; codere_it:1.79,50.84,0-1,Acertado,,,
Boulogne vs Troyes,2025-12-15 14:45:00,Ligue 2,Goles (Over/Under),Under 2.5,1.63,codere_it,2,-0.0045,0.005,0.31,8.97,1.625,codere_it:1.63; betsson:1.62,50.55,1-2,Fallido,Descanso,ESPN,2025-12-15T20:48:07+00:00
Rangers vs Hibernian,2025-12-15 14:45:00,Premiership,Doble Chance,X2,1.92,pinnacle,4,0.4068,0.0475,1.86,5.26,1.8725,pinnacle:1.92; marathonbet:1.89; betsson:1.85; codere_it:1.83,50.48,1-0,Fallido,Descanso,Sky Sports,2025-12-15T20:48:07+00:00
Boulogne vs Troyes,2025-12-15 14:45:00,Ligue 2,Doble Chance,X2,1.26,pinnacle,4,0.3759,0.0275,1.56,5.64,1.2325,pinnacle:1.26; marathonbet:1.24; betsson:1.22; codere_it:1.21,50.33,1-2,Acertado,Descanso,ESPN,2025-12-15T20:48:07+00:00
Bologna vs Juventus,2025-12-14 14:45:00,Serie A,Goles (Over/Under),Over 2.5,2.18,betsson,2,0.2114,0.02,0.93,6.48,2.16,betsson:2.18; codere_it:2.14,50.18,0-1,Fallido,,,
Dender vs Club Brugge,2025-12-14 10:00:00,Belgium First Div,Doble Chance,X2,1.19,pinnacle,3,0.3797,0.0267,2.14,4.24,1.1633,pinnacle:1.19; betsson:1.17; marathonbet:1.13,49.88,1-5,Acertado,,,
Brentford vs Leeds United,2025-12-14 11:30:00,EPL,Doble Chance,X2,1.85,pinnacle,4,0.142,0.01,0.94,3.45,1.84,pinnacle:1.85; marathonbet:1.85; betsson:1.85; codere_it:1.81,49.8,1-1,Acertado,,,
Toluca vs Tigres,2025-12-14 20:00:00,Liga MX,Doble Chance,X2,1.87,pinnacle,3,0.3642,0.0467,1.86,5.19,1.8233,pinnacle:1.87; marathonbet:1.81; betsson:1.79,49.26,2-1,Fallido,,,
Marseille vs AS Monaco,2025-12-14 14:45:00,Ligue 1,Doble Chance,X2,2.0,marathonbet,4,0.2947,0.0525,2.0,3.19,1.9475,marathonbet:2.0; pinnacle:1.97; betsson:1.91; codere_it:1.91,49.21,1-0,Fallido,,,
FC Zwolle vs Fortuna Sittard,2025-12-13 15:00:00,Eredivisie,Goles (Over/Under),Over 2.5,1.69,betsson,2,-0.029,0.01,0.6,6.56,1.68,betsson:1.69; codere_it:1.67,48.85,1-0,Fallido,,,
Werder Bremen vs VfB Stuttgart,2025-12-14 13:30:00,Bundesliga,Goles (Over/Under),Under 3.5,1.58,betsson,2,0.2003,0.01,0.64,6.39,1.57,betsson:1.58; codere_it:1.56,48.76,0-4,Fallido,,,
Legia Warszawa vs Piast Gliwice,2025-12-14 14:15:00,Ekstraklasa,Goles (Over/Under),Over 2.5,1.98,betsson,2,0.0941,0.015,0.76,7.65,1.965,betsson:1.98; codere_it:1.95,48.6,0-1,Fallido,,,
Sevilla vs Oviedo,2025-12-14 08:00:00,La Liga,Doble Chance,X2,1.87,marathonbet,4,0.2635,0.0425,1.99,3.15,1.8275,marathonbet:1.87; pinnacle:1.84; codere_it:1.83; betsson:1.77,48.38,4-0,Fallido,,,
Aris Thessaloniki vs Olympiakos Piraeus,2025-12-14 13:00:00,Super League,Doble Chance,X2,1.09,betsson,3,0.2244,0.0133,1.16,5.66,1.0767,betsson:1.09; pinnacle:1.08; codere_it:1.06,47.99,0-0,Acertado,,,
Fiorentina vs Hellas Verona,2025-12-14 09:00:00,Serie A,Goles (Over/Under),Over 2.5,2.22,betsson,2,0.3221,0.05,2.3,5.65,2.17,betsson:2.22; codere_it:2.12,47.55,1-2,Acertado,,,
Levante vs Villarreal,2025-12-14 12:30:00,La Liga,Doble Chance,X2,1.23,pinnacle,4,0.1172,0.0125,1.07,3.67,1.2175,pinnacle:1.23; marathonbet:1.23; codere_it:1.21; betsson:1.2,47.41,,Sin datos,Aplazado,ESPN,2025-12-15T20:48:07+00:00
Carrarese vs Virtus Entella,2025-12-14 09:00:00,Serie B,Doble Chance,X2,1.52,codere_it,4,0.264,0.025,1.67,4.81,1.495,codere_it:1.52; pinnacle:1.52; marathonbet:1.47; betsson:1.47,47.17,3-1,Fallido,,,
Auxerre vs Lille,2025-12-14 11:15:00,Ligue 1,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,0.6113,0.03,1.87,2.83,1.9,pinnacle:1.93; codere_it:1.92; betsson:1.85,46.95,3-4,Fallido,,,
Fiorentina vs Hellas Verona,2025-12-14 09:00:00,Serie A,Doble Chance,X2,1.95,marathonbet,4,0.1302,0.0275,1.18,3.84,1.9225,marathonbet:1.95; pinnacle:1.94; codere_it:1.9; betsson:1.9,46.69,1-2,Acertado,,,
FC Blau-Weiß Linz vs Rapid Wien,2025-12-14 08:30:00,Austrian Bundesliga,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,0.6024,0.0333,1.58,3.32,1.8167,pinnacle:1.85; codere_it:1.82; betsson:1.78,46.63,1-1,Acertado,,,
Panathinaikos vs Volos FC,2025-12-14 14:00:00,Super League,Doble Chance,X2,3.46,pinnacle,3,0.3881,0.2,5.01,5.23,3.26,pinnacle:3.46; betsson:3.26; codere_it:3.06,46.56,2-1,Fallido,,,
Celta Vigo vs Athletic Bilbao,2025-12-14 10:15:00,La Liga,Goles (Over/Under),Over 2.5,2.12,betsson,2,0.1659,0.025,1.19,6.69,2.095,betsson:2.12; codere_it:2.07,46.37,2-0,Fallido,,,
Sporting Lisbon vs AVS Futebol SAD,2025-12-13 15:30:00,Primeira Liga,Goles (Over/Under),Under 3.5,1.82,pinnacle,2,0.4086,0.035,1.96,4.21,1.785,pinnacle:1.82; betsson:1.75,46.11,6-0,Fallido,,,
Brentford vs Leeds United,2025-12-14 11:30:00,EPL,Goles (Over/Under),Under 2.5,1.97,pinnacle,3,0.4437,0.0267,1.06,2.84,1.9433,pinnacle:1.97; codere_it:1.94; betsson:1.92,45.99,1-1,Acertado,,,
Paris FC vs Toulouse,2025-12-13 15:05:00,Ligue 1,Goles (Over/Under),Over 2.5,2.12,betsson,2,0.2638,0.045,2.17,5.99,2.075,betsson:2.12; codere_it:2.03,45.86,0-3,Acertado,,,
Schweinfurt vs TSV Havelse,2025-12-14 13:30:00,3. Liga,Goles (Over/Under),Under 3.5,1.6,betsson,2,0.106,0.01,0.63,7.55,1.59,betsson:1.6; codere_it:1.58,45.7,2-3,Fallido,,,
AC Milan vs Sassuolo,2025-12-14 06:30:00,Serie A,Doble Chance,X2,2.93,pinnacle,4,0.1232,0.05,1.28,4.06,2.88,pinnacle:2.93; marathonbet:2.9; betsson:2.85; codere_it:2.84,45.53,2-2,Acertado,,,
Panetolikos Agrinio vs AEK Athens,2025-12-14 10:30:00,Super League,Goles (Over/Under),Over 2.5,1.97,betsson,3,0.1663,0.0233,1.7,5.11,1.9467,betsson:1.97; pinnacle:1.97; codere_it:1.9,44.79,0-5,Acertado,,,
CD Castellón vs CD Mirandés,2025-12-15 14:30:00,La Liga 2,Doble Chance,X2,2.77,pinnacle,4,0.2876,0.105,2.71,5.98,2.665,pinnacle:2.77; marathonbet:2.68; betsson:2.64; codere_it:2.57,44.76,3-1,Fallido,En juego,ESPN / LiveScore,2025-12-15T20:48:07+00:00
Carrarese vs Virtus Entella,2025-12-14 09:00:00,Serie B,Goles (Over/Under),Over 2.5,2.15,betsson,2,0.0534,0.02,0.94,8.24,2.13,betsson:2.15; codere_it:2.11,44.67,3-1,Acertado,,,
Panetolikos Agrinio vs AEK Athens,2025-12-14 10:30:00,Super League,Doble Chance,X2,1.07,betsson,3,0.1973,0.0167,1.61,5.88,1.0533,betsson:1.07; pinnacle:1.06; codere_it:1.03,44.63,0-5,Acertado,,,
Braga vs Santa Clara,2025-12-15 13:45:00,Primeira Liga,Doble Chance,X2,2.59,pinnacle,3,0.1548,0.05,1.4,5.75,2.54,pinnacle:2.59; marathonbet:2.52; betsson:2.51,44.37,1-0,Fallido,En juego,BBC,2025-12-15T20:48:07+00:00
RC Lens vs Nice,2025-12-14 11:15:00,Ligue 1,Doble Chance,X2,2.82,pinnacle,4,0.1069,0.0475,1.45,3.93,2.7725,pinnacle:2.82; betsson:2.79; marathonbet:2.77; codere_it:2.71,44.29,2-0,Fallido,,,
Levante vs Villarreal,2025-12-14 12:30:00,La Liga,Goles (Over/Under),Over 2.5,1.57,codere_it,2,-0.1259,0.01,0.64,8.74,1.56,codere_it:1.57; betsson:1.55,44.14,,Sin datos,Aplazado,ESPN,2025-12-15T20:48:07+00:00
Austria Wien vs Sturm Graz,2025-12-14 11:00:00,Austrian Bundesliga,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,0.562,0.03,1.87,3.63,1.9,pinnacle:1.93; codere_it:1.92; betsson:1.85,43.92,3-1,Fallido,,,
Moreirense FC vs Benfica,2025-12-14 13:00:00,Primeira Liga,Goles (Over/Under),Under 2.5,2.04,pinnacle,2,0.4926,0.03,1.49,3.37,2.01,pinnacle:2.04; betsson:1.98,43.62,0-4,Fallido,,,
Arsenal vs Wolverhampton Wanderers,2025-12-13 15:00:00,EPL,Goles (Over/Under),Under 3.5,1.68,betsson,2,0.3241,0.03,1.82,5.4,1.65,betsson:1.68; codere_it:1.62,42.92,2-1,Acertado,,,
FC Basel vs FC Lausanne-Sport,2025-12-14 10:30:00,Swiss Superleague,Goles (Over/Under),Over 3.5,2.0,pinnacle,3,1.1191,0.1033,3.86,3.19,1.8967,pinnacle:2.0; betsson:1.85; codere_it:1.84,42.43,0-0,Fallido,,,
Motor Lublin vs Jagiellonia Białystok,2025-12-14 11:30:00,Ekstraklasa,Goles (Over/Under),Under 2.5,2.12,betsson,2,0.0758,0.01,0.47,7.78,2.11,betsson:2.12; codere_it:2.1,42.32,1-1,Acertado,,,
Famalicão vs Estoril,2025-12-14 10:30:00,Primeira Liga,Goles (Over/Under),Under 2.5,2.0,pinnacle,2,0.5086,0.04,2.04,3.48,1.96,pinnacle:2.0; betsson:1.92,42.11,4-0,Fallido,,,
Gent vs Royal Antwerp,2025-12-14 07:30:00,Belgium First Div,Goles (Over/Under),Under 2.5,1.99,pinnacle,2,0.4012,0.025,1.27,3.44,1.965,pinnacle:1.99; betsson:1.94,41.92,0-2,Acertado,,,
AC Milan vs Sassuolo,2025-12-14 06:30:00,Serie A,Goles (Over/Under),Under 2.5,1.98,pinnacle,3,0.4076,0.02,1.44,3.14,1.96,pinnacle:1.98; codere_it:1.98; betsson:1.92,41.74,2-2,Fallido,,,
Marseille vs AS Monaco,2025-12-14 14:45:00,Ligue 1,Doble Chance,1X,1.29,pinnacle,4,0.2147,0.0075,0.34,3.4,1.2825,pinnacle:1.29; betsson:1.28; codere_it:1.28; marathonbet:1.28,41.74,1-0,Acertado,,,
Wellington Phoenix FC vs Newcastle Jets FC,2025-12-13 21:00:00,A-League,Doble Chance,1X,1.61,pinnacle,4,1.081,0.08,3.49,3.21,1.53,pinnacle:1.61; betsson:1.53; marathonbet:1.52; codere_it:1.46,41.53,1-3,Fallido,,,
Gazişehir Gaziantep vs Goztepe,2025-12-14 06:30:00,Super League,Doble Chance,X2,1.39,codere_it,4,-0.0135,0.015,1.09,5.94,1.375,codere_it:1.39; pinnacle:1.39; betsson:1.36; marathonbet:1.36,41.24,0-1,Acertado,,,
Deportivo La Coruña vs Real Sociedad B,2025-12-13 15:00:00,La Liga 2,Doble Chance,1X,1.12,pinnacle,4,0.9945,0.03,1.72,3.61,1.09,pinnacle:1.12; betsson:1.09; marathonbet:1.08; codere_it:1.07,41.19,0-3,Fallido,,,
Marseille vs AS Monaco,2025-12-14 14:45:00,Ligue 1,Goles (Over/Under),Under 3.5,1.65,betsson,2,0.1991,0.02,1.23,6.48,1.63,betsson:1.65; codere_it:1.61,41.19,1-0,Acertado,,,
