Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Score_Final,Todas_Las_Cuotas
Parma vs Inter Milan,2026-01-07 14:45:00,1X,3.4967,3.1293,,,,,0.00029825610064681017,37,0.018990220679676147,0.015161809859757305,betfair_ex_eu,37,0.3674,5.91,0.03,Serie A,Doble Chance,180.6667,betfair_ex_eu:3.4967; betfair_ex_au:3.4967; betfair_ex_uk:3.4967; smarkets:3.3891; unibet_nl:3.3158; unibet_se:3.3158; leovegas_se:3.2553; casumo:3.2553; unibet:3.2553; tabtouch:3.2553; grosvenor:3.2553; coolbet:3.211; pinnacle:3.2079; fanduel:3.1875; nordicbet:3.168; betsson:3.168; tipico_de:3.1481; leovegas:3.1481; virginbet:3.1481; marathonbet:3.1253; codere_it:3.12; bovada:3.112; paddypower:3.0769; tab:3.0769; winamax_de:3.0357; betclic_fr:3.0357; unibet_uk:3.0; skybet:3.0; pointsbetau:3.0; betway:3.0; ladbrokes_uk:2.9268; coral:2.9268; betmgm:2.9268; winamax_fr:2.8475; draftkings:2.8475; sport888:2.7759; williamhill:2.7759
Parma vs Inter Milan,2026-01-07 14:45:00,X2,1.1159,1.0734,,,,,0.0010169943468197678,37,0.018741331307444074,0.01564464102347817,betfair_ex_eu,37,0.0425,2.02,0.03,Serie A,Doble Chance,180.6667,betfair_ex_eu:1.1159; betfair_ex_au:1.1159; betfair_ex_uk:1.1159; codere_it:1.103; coolbet:1.1021; smarkets:1.1012; pinnacle:1.0958; pointsbetau:1.0938; marathonbet:1.09; ladbrokes_uk:1.0839; coral:1.0839; betmgm:1.0839; betway:1.0815; unibet_nl:1.0802; unibet_se:1.0802; bovada:1.078; unibet_uk:1.0754; fanduel:1.0737; winamax_de:1.0737; sport888:1.0733; betclic_fr:1.0674; tipico_de:1.063; tab:1.063; nordicbet:1.0607; betsson:1.0607; draftkings:1.0597; leovegas_se:1.0549; casumo:1.0549; unibet:1.0549; tabtouch:1.0549; grosvenor:1.0549; paddypower:1.0506; williamhill:1.0497; winamax_fr:1.0476; leovegas:1.0443; skybet:1.0414; virginbet:1.0317
Napoli vs Hellas Verona,2026-01-07 12:30:00,1X,1.0928,1.0517,,,,,0.0014217327150400296,37,0.018729467751512012,0.014944974879549494,betfair_ex_uk,37,0.0411,1.98,0.21,Serie A,Doble Chance,25.7143,betfair_ex_uk:1.0928; betfair_ex_au:1.0928; betfair_ex_eu:1.0928; coolbet:1.0906; pinnacle:1.081; smarkets:1.078; bovada:1.0696; marathonbet:1.0645; codere_it:1.0597; ladbrokes_uk:1.0597; coral:1.0597; betmgm:1.0597; pointsbetau:1.0573; unibet_nl:1.0573; unibet_se:1.0573; winamax_de:1.0549; nordicbet:1.0545; betsson:1.0545; tipico_de:1.0528; unibet_uk:1.0512; betway:1.0512; sport888:1.0497; fanduel:1.0486; williamhill:1.0437; draftkings:1.0377; betclic_fr:1.0337; tab:1.0329; paddypower:1.0317; casumo:1.0317; leovegas_se:1.0317; unibet:1.0317; tabtouch:1.0317; grosvenor:1.0317; winamax_fr:1.0291; skybet:1.023; leovegas:1.0206; virginbet:1.0136
Napoli vs Hellas Verona,2026-01-07 12:30:00,X2,3.6746,3.228,,,,,0.00022253713991015632,37,0.01615691245197164,0.01179969584639596,betfair_ex_uk,37,0.4466,5.45,0.21,Serie A,Doble Chance,25.7143,betfair_ex_uk:3.6746; betfair_ex_au:3.6746; betfair_ex_eu:3.6746; smarkets:3.5309; paddypower:3.3333; unibet_nl:3.3175; unibet_se:3.3175; pinnacle:3.2989; tipico_de:3.2958; nordicbet:3.2888; betsson:3.2888; marathonbet:3.2886; coolbet:3.2616; betclic_fr:3.2611; fanduel:3.2553; bovada:3.207; casumo:3.1987; leovegas_se:3.1987; unibet:3.1987; tabtouch:3.1987; grosvenor:3.1987; skybet:3.1888; winamax_de:3.1875; codere_it:3.1775; unibet_uk:3.1667; virginbet:3.1507; leovegas:3.15; coral:3.1304; betway:3.1091; tab:3.1091; betmgm:3.0996; ladbrokes_uk:3.0677; pointsbetau:3.0472; winamax_fr:3.0; williamhill:2.9847; draftkings:2.9847; sport888:2.9206
Rangers vs Aberdeen,2026-01-06 15:00:00,1X,1.1571,1.1111,,,,,0.0004943790724236149,32,0.015686569587734255,0.012345556576009744,smarkets,32,0.046,1.75,0.31,Premiership,Doble Chance,19.5806,smarkets:1.1571; betfair_ex_uk:1.1462; betfair_ex_au:1.1462; betfair_ex_eu:1.1462; coral:1.125; draftkings:1.1215; pinnacle:1.1203; codere_it:1.1194; ladbrokes_uk:1.1186; coolbet:1.1186; betmgm:1.1186; leovegas:1.1176; unibet:1.1176; unibet_se:1.1176; unibet_nl:1.1176; betway:1.1141; pointsbetau:1.1087; tabtouch:1.1087; grosvenor:1.1087; casumo:1.1087; williamhill:1.1053; sport888:1.0989; marathonbet:1.0977; nordicbet:1.0964; betsson:1.0964; leovegas_se:1.0944; bovada:1.0924; paddypower:1.0909; virginbet:1.0889; fanduel:1.0875; tipico_de:1.0779; skybet:1.0723
Torino vs Udinese,2026-01-07 14:45:00,1X,1.3714,1.3093,,,,,0.0002729223514770085,37,0.016567723144978834,0.01314097032019493,betfair_ex_eu,37,0.0621,2.19,0.31,Serie A,Doble Chance,16.9677,betfair_ex_eu:1.3714; betfair_ex_au:1.3714; betfair_ex_uk:1.3714; smarkets:1.3557; marathonbet:1.3426; unibet_nl:1.336; unibet_se:1.336; coolbet:1.3333; betway:1.3271; pinnacle:1.3212; codere_it:1.3209; ladbrokes_uk:1.3204; coral:1.3204; betmgm:1.3204; unibet_uk:1.3112; nordicbet:1.3047; betsson:1.3045; tipico_de:1.3037; fanduel:1.3019; skybet:1.3019; paddypower:1.3019; pointsbetau:1.3019; winamax_de:1.3019; bovada:1.2987; casumo:1.2948; leovegas_se:1.2948; unibet:1.2948; tabtouch:1.2948; grosvenor:1.2948; williamhill:1.2857; tab:1.2827; leovegas:1.2792; winamax_fr:1.2764; draftkings:1.2764; virginbet:1.2692; betclic_fr:1.2675; sport888:1.251
Torino vs Udinese,2026-01-07 14:45:00,X2,1.7051,1.6114,,,,,0.00016577005053688436,37,0.014755345249525813,0.010975830051348784,betfair_ex_eu,37,0.0937,2.44,0.31,Serie A,Doble Chance,16.9677,betfair_ex_eu:1.7051; betfair_ex_au:1.7051; betfair_ex_uk:1.7051; smarkets:1.68; unibet_nl:1.669; unibet_se:1.669; pinnacle:1.6315; coolbet:1.6301; tipico_de:1.6215; marathonbet:1.6206; betsson:1.6201; nordicbet:1.6188; codere_it:1.6078; casumo:1.6078; leovegas_se:1.6078; unibet:1.6078; tabtouch:1.6078; grosvenor:1.6078; bovada:1.6008; coral:1.5984; betmgm:1.5984; unibet_uk:1.5965; fanduel:1.5938; skybet:1.5938; paddypower:1.5938; pointsbetau:1.5938; leovegas:1.5938; betclic_fr:1.587; ladbrokes_uk:1.5866; tab:1.5859; winamax_de:1.5827; virginbet:1.5827; williamhill:1.5714; draftkings:1.5687; sport888:1.5651; betway:1.56; winamax_fr:1.5464
Sassuolo vs Juventus,2026-01-06 14:45:00,1X,2.3162,2.1676,,,,,0.0002583484939639521,37,0.01886803591709158,0.015229687355179494,betfair_ex_au,37,0.1486,4.04,0.32,Serie A,Doble Chance,15.625,betfair_ex_au:2.3162; betfair_ex_uk:2.3162; betfair_ex_eu:2.3162; unibet_nl:2.2989; unibet_se:2.2989; smarkets:2.2819; leovegas_se:2.2304; unibet:2.2304; casumo:2.2304; grosvenor:2.2304; tabtouch:2.2304; leovegas:2.2132; coolbet:2.1971; virginbet:2.1961; fanduel:2.1956; pinnacle:2.1925; marathonbet:2.1846; bovada:2.1775; tipico_de:2.1618; pointsbetau:2.1591; winamax_de:2.156; skybet:2.1429; codere_it:2.1402; coral:2.1264; betmgm:2.1264; betclic_fr:2.1243; betsson:2.1173; nordicbet:2.1173; unibet_uk:2.1053; paddypower:2.093; ladbrokes_uk:2.0894; winamax_fr:2.0858; draftkings:2.0545; betway:2.0479; tab:2.0479; williamhill:2.0195; sport888:1.9494
Sassuolo vs Juventus,2026-01-06 14:45:00,X2,1.2127,1.1676,,,,,0.00045442737305402884,37,0.017561234223485538,0.014454821979786068,betfair_ex_au,37,0.0451,2.06,0.32,Serie A,Doble Chance,15.625,betfair_ex_au:1.2127; betfair_ex_uk:1.2127; betfair_ex_eu:1.2127; smarkets:1.2032; coolbet:1.1994; marathonbet:1.1984; betsson:1.1881; nordicbet:1.1881; codere_it:1.1841; pinnacle:1.1811; pointsbetau:1.1793; winamax_de:1.1793; coral:1.1788; betway:1.1776; unibet_nl:1.1738; unibet_se:1.1738; unibet_uk:1.1697; betmgm:1.1695; sport888:1.1667; bovada:1.165; betclic_fr:1.165; ladbrokes_uk:1.1648; fanduel:1.1601; skybet:1.1554; draftkings:1.1551; williamhill:1.1547; tab:1.1547; tipico_de:1.1507; winamax_fr:1.1506; paddypower:1.1408; leovegas_se:1.1358; unibet:1.1358; casumo:1.1358; grosvenor:1.1358; tabtouch:1.1358; leovegas:1.1309; virginbet:1.1264
Brentford vs Sunderland,2026-01-07 14:30:00,1X,1.2655,1.2203,,,,,0.0002762163615263806,38,0.015107790630320757,0.0121174503109405,betfair_ex_au,38,0.0452,1.86,0.3,EPL,Doble Chance,15.4333,betfair_ex_au:1.2655; betfair_ex_eu:1.2655; betfair_ex_uk:1.2655; smarkets:1.2611; coolbet:1.2533; unibet_se:1.2466; unibet_nl:1.2466; marathonbet:1.2399; leovegas:1.2365; betsson:1.2333; nordicbet:1.2333; fanduel:1.2307; pinnacle:1.2255; unibet_uk:1.222; codere_it:1.222; leovegas_se:1.222; draftkings:1.2189; unibet:1.2176; winamax_de:1.2144; betway:1.2133; grosvenor:1.2133; casumo:1.2133; tabtouch:1.2133; coral:1.2133; betmgm:1.2133; bovada:1.2106; paddypower:1.2103; mybookieag:1.2079; skybet:1.2017; pointsbetau:1.2017; tipico_de:1.2; ladbrokes_uk:1.2; sport888:1.1981; betclic_fr:1.1978; williamhill:1.1887; tab:1.1887; virginbet:1.1843; winamax_fr:1.1799
