Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,Todas_Las_Cuotas
Vitória SC vs Sporting Lisbon,2025-12-23 15:45:00,Primeira Liga,Doble Chance,1X,3.0,betfair_ex_au,36,6.4667,0.2638,4.02,0.9,2.7362,0.00015763359421116325,36,0.014187517596517058,0.009499666864889634,,,,,betfair_ex_au:3.0; betfair_ex_eu:3.0; betfair_ex_uk:3.0; smarkets:2.9876; tipico_de:2.8068; bovada:2.794; fanduel:2.7759; pinnacle:2.7628; grosvenor:2.7532; casumo:2.7532; tabtouch:2.7532; skybet:2.7444; draftkings:2.7391; paddypower:2.7391; coolbet:2.7382; unibet_se:2.7331; leovegas_se:2.7331; leovegas:2.7331; unibet_nl:2.7331; unibet:2.7331; marathonbet:2.7179; virginbet:2.7128; betsson:2.7053; nordicbet:2.7053; ladbrokes_uk:2.6937; coral:2.6937; sport888:2.6923; unibet_uk:2.6828; winamax_de:2.6591; betclic_fr:2.6579; betmgm:2.6498; betvictor:2.625; pointsbetau:2.608; winamax_fr:2.5822; betway:2.5514; williamhill:2.5514
Vitória SC vs Sporting Lisbon,2025-12-23 15:45:00,Primeira Liga,Doble Chance,X2,1.1312,betfair_ex_au,36,6.4667,0.0509,2.34,0.9,1.0803,0.0012136979714757537,36,0.021484216456487168,0.01756201590802735,,,,,betfair_ex_au:1.1312; betfair_ex_eu:1.1312; betfair_ex_uk:1.1312; smarkets:1.1198; coral:1.1197; pinnacle:1.1116; betmgm:1.1025; coolbet:1.1019; ladbrokes_uk:1.0967; draftkings:1.0909; betsson:1.0879; nordicbet:1.0879; bovada:1.0878; unibet_uk:1.0875; winamax_de:1.0852; skybet:1.0813; pointsbetau:1.0811; betway:1.0779; betclic_fr:1.0765; tipico_de:1.0733; williamhill:1.0723; marathonbet:1.0693; winamax_fr:1.0678; paddypower:1.0678; grosvenor:1.0648; casumo:1.0648; tabtouch:1.0648; unibet_se:1.0561; leovegas_se:1.0561; unibet_nl:1.0561; unibet:1.0561; sport888:1.05; betvictor:1.05; fanduel:1.0497; leovegas:1.0447; virginbet:1.036
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Doble Chance,1X,1.2,betfair_ex_au,32,6.3409,0.0412,2.01,0.88,1.1588,0.0004907614718186363,32,0.017528114228659863,0.013005041784945687,,,,,betfair_ex_au:1.2; betfair_ex_uk:1.2; betfair_ex_eu:1.2; smarkets:1.1846; pinnacle:1.1834; pointsbetau:1.1781; leovegas_se:1.1742; leovegas:1.1742; bovada:1.1742; tab:1.1729; coral:1.1681; unibet:1.1648; coolbet:1.1612; tabtouch:1.1599; casumo:1.1599; unibet_se:1.1599; unibet_nl:1.1599; grosvenor:1.1599; codere_it:1.1581; draftkings:1.156; nordicbet:1.1548; betsson:1.1548; unibet_uk:1.153; ladbrokes_uk:1.148; betmgm:1.1446; marathonbet:1.1379; williamhill:1.1358; winamax_de:1.1326; sport888:1.1309; paddypower:1.1259; virginbet:1.117; winamax_fr:1.0959
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Doble Chance,X2,2.4182,smarkets,32,2.2959,0.2056,4.68,1.96,2.2126,0.0003096829127582432,32,0.020593018916851922,0.016975304142721373,,,,,smarkets:2.4182; betfair_ex_au:2.4182; betfair_ex_uk:2.4182; betfair_ex_eu:2.4182; pinnacle:2.3507; coolbet:2.3021; tab:2.2973; nordicbet:2.2574; betsson:2.2574; draftkings:2.2527; marathonbet:2.2416; codere_it:2.2222; pointsbetau:2.2222; ladbrokes_uk:2.2222; coral:2.2222; unibet_uk:2.2222; winamax_de:2.2022; betmgm:2.191; paddypower:2.1591; leovegas_se:2.1416; leovegas:2.1416; bovada:2.1416; unibet:2.1265; sport888:2.1209; williamhill:2.1209; tabtouch:2.1164; casumo:2.1164; unibet_se:2.1164; unibet_nl:2.1164; grosvenor:2.1164; winamax_fr:2.081; virginbet:2.0506
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Goles (Over/Under),Under 2.75,1.94,pinnacle,2,0.2201,0.06,3.19,3.09,1.88,0.00020925903474868206,2,0.016993315962388067,0.016993315962388067,0.00012240606592645639,2,0.01302083333333337,0.01302083333333337,pinnacle:1.94; bovada:1.82
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Goles (Over/Under),Over 2.75,2.02,bovada,2,-0.1528,0.04,2.02,4.45,1.98,7.51725284666412e-05,2,0.010207206287639103,0.010207206287639103,0.00012240606592645639,2,0.013020833333333287,0.013020833333333287,bovada:2.02; pinnacle:1.94
Vitória SC vs Sporting Lisbon,2025-12-23 15:45:00,Primeira Liga,Goles (Over/Under),Over 2.5,1.92,pinnacle,15,1.3739,0.0773,1.68,3.37,1.8427,6.0383293508036216e-05,15,0.009111844560911419,0.006006492687978312,5.844901067181413e-05,15,0.009000243733126006,0.0078090047562798725,pinnacle:1.92; betsson:1.85; nordicbet:1.85; unibet_se:1.85; leovegas_se:1.85; grosvenor:1.85; casumo:1.85; leovegas:1.85; unibet_nl:1.85; tabtouch:1.85; unibet:1.85; tipico_de:1.83; coolbet:1.82; williamhill:1.8; betmgm:1.77
Vitória SC vs Sporting Lisbon,2025-12-23 15:45:00,Primeira Liga,Goles (Over/Under),Under 2.5,1.96,coolbet,15,0.34,0.0967,2.92,5.97,1.8633,0.00017328409679050403,15,0.015460786585779662,0.014367459166567358,5.844901067181413e-05,15,0.009000243733126002,0.007809004756279858,coolbet:1.96; pinnacle:1.95; tipico_de:1.93; williamhill:1.91; betmgm:1.91; betsson:1.88; nordicbet:1.88; unibet_se:1.82; grosvenor:1.82; casumo:1.82; unibet_nl:1.82; tabtouch:1.82; unibet:1.82; leovegas_se:1.81; leovegas:1.8
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Goles (Over/Under),Over 2.5,1.77,coolbet,14,1.1542,0.075,1.66,3.89,1.695,6.755083049697069e-05,14,0.00954558974881149,0.00729810636288838,2.7493186210891825e-05,14,0.006152865360887931,0.004118347713699915,coolbet:1.77; williamhill:1.75; betmgm:1.71; codere_it:1.7; unibet:1.68; tabtouch:1.68; casumo:1.68; leovegas_se:1.68; leovegas:1.68; unibet_se:1.68; unibet_nl:1.68; grosvenor:1.68; nordicbet:1.68; betsson:1.68
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Goles (Over/Under),Under 2.5,2.11,coolbet,14,1.1542,0.0836,1.91,3.89,2.0264,6.303094350963634e-05,14,0.009345003170854937,0.006499940067474079,2.7493186210891825e-05,14,0.006152865360887917,0.004118347713699899,coolbet:2.11; nordicbet:2.08; betsson:2.08; unibet:2.02; tabtouch:2.02; casumo:2.02; leovegas_se:2.02; leovegas:2.02; unibet_se:2.02; unibet_nl:2.02; grosvenor:2.02; betmgm:2.0; codere_it:1.99; williamhill:1.95
