fixture_id,bookmaker_id,bookmaker,line,over_odds,under_odds,match,league,starts_at,source,side,odds_decimal,event_id,odds_american
1378047.0,1,10Bet,1.5,1.44,2.75, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.44,,
1378047.0,1,10Bet,1.5,1.44,2.75, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.75,,
1378047.0,1,10Bet,2.5,2.3,1.6, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.3,,
1378047.0,1,10Bet,2.5,2.3,1.6, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.6,,
1378047.0,1,10Bet,3.5,4.33,1.2, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,4.33,,
1378047.0,1,10Bet,3.5,4.33,1.2, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.2,,
1378047.0,1,10Bet,0.5,1.09,7.0, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.09,,
1378047.0,1,10Bet,0.5,1.09,7.0, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,7.0,,
1378047.0,1,10Bet,4.5,8.5,1.06, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,8.5,,
1378047.0,1,10Bet,4.5,8.5,1.06, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.06,,
1378047.0,1,10Bet,1.5,3.2,1.3, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,3.2,,
1378047.0,1,10Bet,1.5,3.2,1.3, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.3,,
1378047.0,1,10Bet,2.5,8.0,1.05, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,8.0,,
1378047.0,1,10Bet,2.5,8.0,1.05, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.05,,
1378047.0,1,10Bet,0.5,1.48,2.45, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.48,,
1378047.0,1,10Bet,0.5,1.48,2.45, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.45,,
1378047.0,1,10Bet,1.5,2.4,1.5, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.4,,
1378047.0,1,10Bet,1.5,2.4,1.5, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.5,,
1378047.0,1,10Bet,2.5,5.5,1.11, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,5.5,,
1378047.0,1,10Bet,2.5,5.5,1.11, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.11,,
1378047.0,1,10Bet,0.5,1.3,3.2, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.3,,
1378047.0,1,10Bet,0.5,1.3,3.2, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,3.2,,
1378047.0,7,William Hill,1.5,3.1,1.33, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,3.1,,
1378047.0,7,William Hill,1.5,3.1,1.33, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.33,,
1378047.0,7,William Hill,2.5,9.0,1.06, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,9.0,,
1378047.0,7,William Hill,2.5,9.0,1.06, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.06,,
1378047.0,7,William Hill,0.5,1.44,2.62, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.44,,
1378047.0,7,William Hill,0.5,1.44,2.62, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.62,,
1378047.0,7,William Hill,1.5,2.5,1.44, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.5,,
1378047.0,7,William Hill,1.5,2.5,1.44, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.44,,
1378047.0,7,William Hill,2.5,6.0,1.11, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,6.0,,
1378047.0,7,William Hill,2.5,6.0,1.11, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.11,,
1378047.0,7,William Hill,3.5,17.0,1.02, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,17.0,,
1378047.0,7,William Hill,3.5,17.0,1.02, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.02,,
1378047.0,7,William Hill,0.5,1.35,3.0, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.35,,
1378047.0,7,William Hill,0.5,1.35,3.0, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,3.0,,
1378047.0,8,Bet365,1.5,1.44,2.75, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.44,,
1378047.0,8,Bet365,1.5,1.44,2.75, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.75,,
1378047.0,8,Bet365,2.5,2.3,1.62, vs ,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.3,,
