Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Score_Final,Todas_Las_Cuotas
Brentford vs Sunderland,2026-01-07 14:30:00,Under 2.5,1.9009,1.8364,0.0122,,0.0086,0.0068,,4,0.0086,0.0068,BetPARX,4,0.0645,3.45,118.07,Premier League,Over/Under,,Bovada:1.8000; BetPARX:1.9009; BetRivers:1.8929; BetMGM:1.7519
Brentford vs Sunderland,2026-01-07 14:30:00,Over 2.5,2.05,1.956,0.0115,,0.0081,0.0057,,4,0.0081,0.0057,Bovada,4,0.094,3.24,104.71,Premier League,Over/Under,,Bovada:2.0500; BetPARX:1.9009; BetRivers:1.8929; BetMGM:1.9804
Torino vs Udinese,2026-01-07 14:45:00,Over 2.5,2.35,2.2933,0.0104,,0.0099,0.0028,,3,0.0099,0.0028,BetPARX,3,0.0567,2.96,30.93,Serie A,Over/Under,,BetPARX:2.3500; BetRivers:2.3300; BetMGM:2.2000
Bologna vs Atalanta,2026-01-07 12:30:00,Over 2.5,2.0,1.9218,0.0084,,0.0059,0.0021,,4,0.0059,0.0021,Bovada,4,0.0782,2.37,108.26,Serie A,Over/Under,,Bovada:2.0000; BetPARX:1.9091; BetRivers:1.9009; BetMGM:1.8772
Bournemouth vs Tottenham,2026-01-07 14:30:00,Under 2.5,2.16,2.12,0.0084,,0.0079,0.0015,,3,0.0079,0.0015,BetPARX,3,0.04,2.38,41.59,Premier League,Over/Under,,BetPARX:2.1600; BetRivers:2.1500; BetMGM:2.0500
Parma vs Inter,2026-01-07 14:45:00,Under 2.5,2.32,2.2733,0.0083,,0.0078,0.0028,,3,0.0078,0.0028,BetPARX,3,0.0467,2.34,32.04,Serie A,Over/Under,,BetPARX:2.3200; BetRivers:2.3000; BetMGM:2.2000
Arsenal vs Liverpool,2026-01-08 15:00:00,Over 2.5,1.7692,1.7357,0.0081,,0.0077,0.0022,,3,0.0077,0.0022,BetPARX,3,0.0335,2.31,72.93,Premier League,Over/Under,,BetPARX:1.7692; BetRivers:1.7576; BetMGM:1.6803
Newcastle vs Leeds,2026-01-07 15:15:00,Under 2.5,2.04,2.0041,0.0067,,0.0063,0.0032,,3,0.0063,0.0032,BetPARX,3,0.0359,1.89,49.74,Premier League,Over/Under,,BetPARX:2.0400; BetRivers:2.0200; BetMGM:1.9524
Cremonese vs Cagliari,2026-01-08 12:30:00,Over 2.5,2.23,2.2033,0.0061,,0.0058,0.0,,3,0.0058,0.0,BetPARX,3,0.0267,1.73,36.2,Serie A,Over/Under,,BetPARX:2.2300; BetRivers:2.2300; BetMGM:2.1500
West Ham vs Forest,2026-01-06 15:00:00,Over 2.5,1.9524,1.9228,0.006,,0.0042,0.0017,,4,0.0042,0.0017,Bovada,4,0.0296,1.7,108.09,Premier League,Over/Under,,BetPARX:1.9434; BetRivers:1.9259; Bovada:1.9524; BetMGM:1.8696
Milan vs Genoa,2026-01-08 14:45:00,Over 2.5,2.02,1.9975,0.0057,,0.0054,0.0,,3,0.0054,0.0,BetPARX,3,0.0225,1.61,50.23,Serie A,Over/Under,,BetPARX:2.0200; BetRivers:2.0200; BetMGM:1.9524
