Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Score_Final,Todas_Las_Cuotas
Gimnasia La Plata vs Racing Club,2026-01-24 17:30:00,1X,1.7077,1.6163,,,,,0.0003476438602473366,23,0.021312909375008696,0.018017204669548505,betfair_ex_eu,23,0.0914,3.46,2.04,Primera División,Doble Chance,2.2108,betfair_ex_eu:1.7077; betfair_ex_au:1.7077; betfair_ex_uk:1.7077; pinnacle:1.6948; smarkets:1.6855; nordicbet:1.6475; betsson:1.6475; skybet:1.6364; draftkings:1.6353; fanduel:1.6258; marathonbet:1.6253; ladbrokes_uk:1.6154; betway:1.6; winamax_de:1.5859; betmgm:1.5859; unibet:1.5799; unibet_se:1.5799; paddypower:1.575; betclic_fr:1.5709; leovegas_se:1.5607; bovada:1.5544; winamax_fr:1.5252; virginbet:1.5203
Gimnasia La Plata vs Racing Club,2026-01-24 17:30:00,X2,1.2981,1.2638,,,,,0.0003183523165624383,23,0.01698076601211548,0.0150510386457755,bovada,23,0.0343,2.14,6.89,Primera División,Doble Chance,-0.0493,bovada:1.2981; betfair_ex_eu:1.2981; betfair_ex_au:1.2981; betfair_ex_uk:1.2981; unibet:1.2941; unibet_se:1.2941; smarkets:1.2905; ladbrokes_uk:1.2857; pinnacle:1.2759; leovegas_se:1.2728; skybet:1.2692; betmgm:1.267; fanduel:1.251; winamax_de:1.251; draftkings:1.251; betway:1.2472; nordicbet:1.2472; betsson:1.2472; virginbet:1.2375; marathonbet:1.2365; betclic_fr:1.2255; paddypower:1.2162; winamax_fr:1.2162
