Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Score_Final,Todas_Las_Cuotas
Atlético Madrid vs Mallorca,2026-01-25 08:00:00,1X,1.0853,1.0485,,,,,0.0016015048162502312,34,0.01871278880176208,0.015923675218530803,betfair_ex_uk,34,0.0368,1.96,0.14,La Liga,Doble Chance,36.3571,betfair_ex_uk:1.0853; betfair_ex_eu:1.0853; betfair_ex_au:1.0853; smarkets:1.0753; coral:1.071; betmgm:1.071; marathonbet:1.07; unibet_se:1.062; unibet_nl:1.0617; pinnacle:1.061; codere_it:1.0607; nordicbet:1.0586; betsson:1.0586; draftkings:1.058; winamax_de:1.0518; betway:1.0515; tab:1.0515; ladbrokes_uk:1.0515; bovada:1.0485; fanduel:1.0453; unibet_uk:1.042; tipico_de:1.0419; betclic_fr:1.0352; williamhill:1.0317; tabtouch:1.0286; unibet:1.0286; grosvenor:1.0286; leovegas_se:1.0286; casumo:1.0286; winamax_fr:1.0251; paddypower:1.0185; skybet:1.0185; leovegas:1.0185; virginbet:1.0115
Atlético Madrid vs Mallorca,2026-01-25 08:00:00,X2,4.0082,3.6278,,,,,0.0001928819100452224,34,0.014600543537515954,0.011975437526117476,betfair_ex_uk,34,0.3804,5.35,0.14,La Liga,Doble Chance,36.3571,betfair_ex_uk:4.0082; betfair_ex_eu:4.0082; betfair_ex_au:4.0082; unibet_nl:3.9429; smarkets:3.9101; unibet_se:3.7976; pinnacle:3.7375; tabtouch:3.7108; unibet:3.7108; grosvenor:3.7108; leovegas_se:3.7108; casumo:3.7108; winamax_de:3.7107; nordicbet:3.6828; betsson:3.6828; tipico_de:3.6709; marathonbet:3.6423; leovegas:3.6094; bovada:3.5897; fanduel:3.5625; betclic_fr:3.557; paddypower:3.5484; skybet:3.5484; draftkings:3.5484; virginbet:3.5222; codere_it:3.4297; winamax_fr:3.4138; betway:3.4138; tab:3.4138; ladbrokes_uk:3.4138; coral:3.4138; betmgm:3.4138; unibet_uk:3.3158; williamhill:3.2759
Groningen vs Fortuna Sittard,2026-01-25 08:30:00,1X,1.182,1.1317,,,,,0.0008625824075968399,35,0.02161770498268378,0.017192124970121236,betfair_ex_eu,35,0.0503,2.44,0.23,Eredivisie,Doble Chance,28.0435,betfair_ex_eu:1.182; betfair_ex_au:1.182; betfair_ex_uk:1.182; betmgm:1.1639; smarkets:1.1586; unibet_uk:1.1586; ladbrokes_uk:1.1586; coral:1.1586; nordicbet:1.1548; betsson:1.1548; pinnacle:1.1532; codere_it:1.1457; bovada:1.1405; draftkings:1.1353; unibet_nl:1.1319; unibet_se:1.1319; unibet:1.1285; marathonbet:1.1262; betway:1.1259; tipico_de:1.1248; betvictor:1.1248; skybet:1.1215; sport888:1.1194; williamhill:1.1194; leovegas:1.1176; casumo:1.1176; grosvenor:1.1176; pointsbetau:1.1171; winamax_de:1.1119; tabtouch:1.1087; paddypower:1.1067; leovegas_se:1.0944; virginbet:1.0889; winamax_fr:1.0755; betclic_fr:1.069
Groningen vs Fortuna Sittard,2026-01-25 08:30:00,X2,2.572,2.3619,,,,,0.00035847183073205776,35,0.022039238115969948,0.017637009008550888,betfair_ex_eu,35,0.2101,5.15,0.23,Eredivisie,Doble Chance,28.0435,betfair_ex_eu:2.572; betfair_ex_au:2.572; betfair_ex_uk:2.572; unibet_nl:2.5217; unibet_se:2.5217; smarkets:2.5038; unibet:2.4693; leovegas:2.4693; casumo:2.4693; grosvenor:2.4693; tabtouch:2.4438; leovegas_se:2.4271; virginbet:2.4; pinnacle:2.393; tipico_de:2.349; betvictor:2.349; nordicbet:2.3466; betsson:2.3466; unibet_uk:2.3333; betmgm:2.3333; coral:2.3333; marathonbet:2.3234; bovada:2.3212; paddypower:2.3158; pointsbetau:2.3158; draftkings:2.3021; codere_it:2.2925; skybet:2.2826; ladbrokes_uk:2.2826; betway:2.2044; winamax_de:2.2022; sport888:2.191; williamhill:2.191; betclic_fr:2.1463; winamax_fr:2.1012
Newcastle United vs Aston Villa,2026-01-25 09:00:00,1X,1.3525,1.3032,,,,,0.00021246975826328117,37,0.014538919392810053,0.01173046403088909,betfair_ex_eu,37,0.0493,1.91,0.25,EPL,Doble Chance,18.8,betfair_ex_eu:1.3525; betfair_ex_uk:1.3525; betfair_ex_au:1.3525; smarkets:1.3462; unibet_se:1.3338; unibet_nl:1.3338; nordicbet:1.325; betsson:1.325; marathonbet:1.3248; leovegas:1.3191; pinnacle:1.3183; codere_it:1.3127; leovegas_se:1.3086; unibet_uk:1.3062; draftkings:1.3062; betway:1.3043; tabtouch:1.3004; grosvenor:1.3004; unibet:1.3004; casumo:1.3004; winamax_de:1.2982; ladbrokes_uk:1.2982; betmgm:1.2982; coral:1.2982; mybookieag:1.2874; fanduel:1.2857; paddypower:1.2857; williamhill:1.2857; tab:1.2857; skybet:1.277; bovada:1.277; tipico_de:1.2732; sport888:1.2727; winamax_fr:1.2711; betclic_fr:1.2685; virginbet:1.2669; pointsbetau:1.2649
Newcastle United vs Aston Villa,2026-01-25 09:00:00,X2,1.9,1.8013,,,,,0.00013246859072778728,37,0.013474176432206036,0.009707298143685983,betfair_ex_eu,37,0.0987,2.46,0.25,EPL,Doble Chance,18.8,betfair_ex_eu:1.9; betfair_ex_uk:1.9; betfair_ex_au:1.9; smarkets:1.8874; bovada:1.85; unibet_se:1.8497; unibet_nl:1.8497; marathonbet:1.8249; leovegas:1.8247; leovegas_se:1.8124; pinnacle:1.8099; fanduel:1.8; paddypower:1.8; tipico_de:1.8; tabtouch:1.7997; grosvenor:1.7997; unibet:1.7997; casumo:1.7997; skybet:1.7986; coral:1.7986; draftkings:1.7874; codere_it:1.7867; nordicbet:1.7867; betsson:1.7867; winamax_de:1.7853; betway:1.7832; unibet_uk:1.7746; williamhill:1.7746; pointsbetau:1.7746; tab:1.7746; ladbrokes_uk:1.7718; betmgm:1.7718; virginbet:1.7624; mybookieag:1.7419; betclic_fr:1.7319; sport888:1.7246; winamax_fr:1.7236
Portsmouth vs Southampton,2026-01-25 07:00:00,1X,1.7746,1.6595,,,,,0.0002711883389174632,35,0.018949702701211272,0.01434215394810435,betfair_ex_eu,35,0.1151,3.15,0.6,Championship,Doble Chance,9.5667,betfair_ex_eu:1.7746; betfair_ex_uk:1.7746; smarkets:1.7496; betfair_ex_au:1.7486; leovegas_se:1.7; pinnacle:1.6975; betsson:1.685; nordicbet:1.685; unibet_se:1.675; casumo:1.675; grosvenor:1.675; unibet:1.675; unibet_nl:1.675; fanduel:1.6746; skybet:1.6746; paddypower:1.6746; codere_it:1.6735; draftkings:1.6735; leovegas:1.65; tabtouch:1.65; tipico_de:1.65; unibet_uk:1.6485; ladbrokes_uk:1.6439; coral:1.6439; betmgm:1.6439; marathonbet:1.64; virginbet:1.625; tab:1.625; winamax_de:1.6215; bovada:1.6; williamhill:1.5984; sport888:1.5866; betway:1.5866; betclic_fr:1.5734; winamax_fr:1.535
Portsmouth vs Southampton,2026-01-25 07:00:00,X2,1.3884,1.3224,,,,,0.0003497426660902191,35,0.018904800989888424,0.014857926174275497,betfair_ex_eu,35,0.066,2.51,0.6,Championship,Doble Chance,9.5667,betfair_ex_eu:1.3884; betfair_ex_au:1.3884; betfair_ex_uk:1.3884; coral:1.3696; betmgm:1.3696; smarkets:1.3659; ladbrokes_uk:1.3509; codere_it:1.3471; draftkings:1.3434; pinnacle:1.3415; unibet_uk:1.3357; leovegas_se:1.3357; betsson:1.3237; nordicbet:1.3237; williamhill:1.32; fanduel:1.3171; winamax_de:1.3171; unibet_se:1.3132; casumo:1.3132; grosvenor:1.3132; unibet:1.3132; unibet_nl:1.3132; sport888:1.3119; betway:1.3119; marathonbet:1.3024; tabtouch:1.3018; skybet:1.2982; paddypower:1.2982; leovegas:1.2982; tab:1.294; bovada:1.2931; tipico_de:1.2833; virginbet:1.2831; betclic_fr:1.2646; winamax_fr:1.2495
Western Sydney Wanderers vs Perth Glory,2026-01-25 03:00:00,1X,1.365,1.285,,,,,0.0005950992478231918,31,0.023577051132118606,0.01517841166228088,betfair_ex_uk,31,0.08,3.02,0.66,A-League,Doble Chance,9.1061,betfair_ex_uk:1.365; betfair_ex_au:1.365; betfair_ex_eu:1.365; smarkets:1.3504; pinnacle:1.311; tab:1.3062; draftkings:1.3043; leovegas:1.2928; leovegas_se:1.2928; coral:1.2887; paddypower:1.2857; pointsbetau:1.2857; codere_it:1.2829; unibet_uk:1.2829; ladbrokes_uk:1.2829; grosvenor:1.282; unibet_nl:1.282; casumo:1.282; unibet_se:1.282; tabtouch:1.282; unibet:1.282; nordicbet:1.2711; betsson:1.2711; marathonbet:1.271; bovada:1.2667; betmgm:1.2655; sport888:1.2479; williamhill:1.2479; virginbet:1.2365; winamax_de:1.2264; winamax_fr:1.1769
Western Sydney Wanderers vs Perth Glory,2026-01-25 03:00:00,X2,1.8854,1.774,,,,,0.0002644134565754134,31,0.018974793091131262,0.01599792612642453,betfair_ex_uk,31,0.1114,3.37,0.66,A-League,Doble Chance,9.1061,betfair_ex_uk:1.8854; betfair_ex_eu:1.8854; betfair_ex_au:1.872; smarkets:1.8604; pinnacle:1.8415; codere_it:1.8367; coral:1.8219; bovada:1.8124; draftkings:1.8103; unibet_uk:1.8103; ladbrokes_uk:1.8103; betmgm:1.8103; marathonbet:1.7867; paddypower:1.7746; pointsbetau:1.7746; nordicbet:1.7496; betsson:1.7496; winamax_de:1.7486; sport888:1.7486; williamhill:1.7486; leovegas:1.7374; leovegas_se:1.7374; grosvenor:1.725; unibet_nl:1.725; casumo:1.725; unibet_se:1.725; tabtouch:1.725; unibet:1.725; tab:1.7217; virginbet:1.6624; winamax_fr:1.6485
