Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,Marcador,Resultado,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p
Levante vs Real Sociedad,2025-12-20 10:15:00,La Liga,Goles (Over/Under),Under 2.5,1.94,pinnacle,3,1.0259,0.0667,2.55,3.09,1.8733,pinnacle:1.94; betsson:1.85; codere_it:1.83,1-1,Acertado,0.000131,3,0.013432,0.012458
Monza vs Carrarese,2025-12-20 09:00:00,Serie B,Goles (Over/Under),Under 2.5,1.86,pinnacle,3,0.7009,0.05,2.51,3.51,1.81,pinnacle:1.86; codere_it:1.82; betsson:1.75,4-1,Fallido,0.000143,3,0.014003,0.012394
Lazio vs Cremonese,2025-12-20 12:00:00,Serie A,Goles (Over/Under),Under 2.5,1.83,pinnacle,3,1.114,0.0367,2.51,2.72,1.7933,pinnacle:1.83; betsson:1.82; codere_it:1.73,0-0,Acertado,0.000149,3,0.014235,0.013371
Dundee United vs Hibernian,2025-12-20 10:00:00,Premiership,Goles (Over/Under),Under 2.5,1.97,pinnacle,3,0.8093,0.0667,2.51,3.67,1.9033,pinnacle:1.97; betsson:1.88; codere_it:1.86,1-1,Acertado,0.000122,3,0.013015,0.012071
Torku Konyaspor vs Kayserispor,2025-12-20 06:30:00,Super League,Goles (Over/Under),Over 2.5,1.87,pinnacle,3,1.1812,0.0567,2.48,2.98,1.8133,pinnacle:1.87; betsson:1.81; codere_it:1.76,1-1,Fallido,0.000136,3,0.013653,0.011367
Everton vs Arsenal,2025-12-20 15:00:00,EPL,Goles (Over/Under),Over 2.5,2.1,betsson,2,0.4643,0.05,2.44,4.76,2.05,betsson:2.1; codere_it:2.0,0-1,Fallido,0.000102,2,0.011905,0.011905
Melbourne City vs Melbourne Victory,2025-12-20 03:35:00,A-League,Goles (Over/Under),Under 2.5,2.02,pinnacle,3,1.0101,0.0667,2.41,2.98,1.9533,pinnacle:2.02; betsson:1.92; codere_it:1.92,0-1,Acertado,0.000107,3,0.012155,0.011459
Port Vale vs Peterborough United,2025-12-20 10:00:00,League 1,Goles (Over/Under),Over 2.5,1.99,pinnacle,3,0.4826,0.06,2.36,3.73,1.93,pinnacle:1.99; betsson:1.92; codere_it:1.88,0-1,Fallido,0.000106,3,0.012124,0.010605
Frosinone vs Spezia,2025-12-20 09:00:00,Serie B,Goles (Over/Under),Under 2.5,1.96,pinnacle,3,0.7367,0.0533,2.36,3.38,1.9067,pinnacle:1.96; codere_it:1.91; betsson:1.85,2-1,Fallido,0.000111,3,0.012414,0.010515
Watford vs Stoke City,2025-12-20 10:00:00,Championship,Goles (Over/Under),Over 2.5,1.96,pinnacle,3,0.5503,0.0367,2.34,3.38,1.9233,pinnacle:1.96; betsson:1.95; codere_it:1.86,1-0,Fallido,0.000110,3,0.012360,0.011610
