Partido,Fecha_Hora_Colombia,Liga,Mercado,Tipo_Mercado,Archivo_Origen,Verified_Score,Source
1. FC Saarbrücken vs TSV 1860 München,2025-01-18 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250117_con_resultados.csv,,
1. FC Saarbrücken vs TSV 1860 München,2025-01-18 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250117_con_resultados.csv,,
1. FC Saarbrücken vs TSV 1860 München,2025-01-18 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250117_con_resultados.csv,,
1. FC Saarbrücken vs TSV 1860 München,2025-01-18 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Arminia Bielefeld vs FC Energie Cottbus,2025-01-18 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Arminia Bielefeld vs FC Energie Cottbus,2025-01-18 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Arminia Bielefeld vs FC Energie Cottbus,2025-01-18 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Arminia Bielefeld vs FC Energie Cottbus,2025-01-18 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Wehen Wiesbaden vs SC Verl,2025-01-18 10:30:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Wehen Wiesbaden vs SC Verl,2025-01-18 10:30:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Wehen Wiesbaden vs SC Verl,2025-01-18 10:30:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Wehen Wiesbaden vs SC Verl,2025-01-18 10:30:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250117_con_resultados.csv,,
TSV 1860 München vs VfB Stuttgart II,2025-01-25 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250124_con_resultados.csv,,
TSV 1860 München vs VfB Stuttgart II,2025-01-25 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250124_con_resultados.csv,,
TSV 1860 München vs VfB Stuttgart II,2025-01-25 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250124_con_resultados.csv,,
TSV 1860 München vs VfB Stuttgart II,2025-01-25 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250124_con_resultados.csv,,
Waldhof Mannheim vs SC Verl,2025-02-01 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
Waldhof Mannheim vs SC Verl,2025-02-01 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
FC Viktoria Köln 1904 vs TSV 1860 München,2025-02-01 10:30:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
FC Viktoria Köln 1904 vs TSV 1860 München,2025-02-01 10:30:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
FC Viktoria Köln 1904 vs TSV 1860 München,2025-02-01 10:30:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250131_con_resultados.csv,,
FC Viktoria Köln 1904 vs TSV 1860 München,2025-02-01 10:30:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250131_con_resultados.csv,,
TSV 1860 München vs FC Ingolstadt 04,2025-02-08 10:30:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
TSV 1860 München vs FC Ingolstadt 04,2025-02-08 10:30:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
TSV 1860 München vs FC Ingolstadt 04,2025-02-08 10:30:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250207_con_resultados.csv,,
TSV 1860 München vs FC Ingolstadt 04,2025-02-08 10:30:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250207_con_resultados.csv,,
FC Viktoria Köln 1904 vs Alemannia Aachen,2025-02-14 13:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
FC Viktoria Köln 1904 vs Alemannia Aachen,2025-02-14 13:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
FC Viktoria Köln 1904 vs Alemannia Aachen,2025-02-14 13:00:00,3. Liga,Over 2.25,Goles (Over/Under),historical_20250214_con_resultados.csv,,
FC Viktoria Köln 1904 vs Alemannia Aachen,2025-02-14 13:00:00,3. Liga,Under 2.25,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Hannover 96 vs VfL Osnabrück,2025-02-15 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Hannover 96 vs VfL Osnabrück,2025-02-15 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Hannover 96 vs VfL Osnabrück,2025-02-15 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Hannover 96 vs VfL Osnabrück,2025-02-15 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Wehen Wiesbaden vs Rot-Weiss Essen,2025-02-15 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Wehen Wiesbaden vs Rot-Weiss Essen,2025-02-15 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Wehen Wiesbaden vs Rot-Weiss Essen,2025-02-15 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Wehen Wiesbaden vs Rot-Weiss Essen,2025-02-15 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
SpVgg Unterhaching vs 1. FC Saarbrücken,2025-02-16 07:30:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
SpVgg Unterhaching vs 1. FC Saarbrücken,2025-02-16 07:30:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
SpVgg Unterhaching vs 1. FC Saarbrücken,2025-02-16 07:30:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
SpVgg Unterhaching vs 1. FC Saarbrücken,2025-02-16 07:30:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
TSV 1860 München vs Arminia Bielefeld,2025-02-21 13:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
TSV 1860 München vs Arminia Bielefeld,2025-02-21 13:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Alemannia Aachen vs Borussia Dortmund II,2025-02-22 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Alemannia Aachen vs Borussia Dortmund II,2025-02-22 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Erzgebirge Aue vs SpVgg Unterhaching,2025-02-22 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Erzgebirge Aue vs SpVgg Unterhaching,2025-02-22 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Erzgebirge Aue vs SpVgg Unterhaching,2025-02-22 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Erzgebirge Aue vs SpVgg Unterhaching,2025-02-22 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Rot-Weiss Essen vs FC Ingolstadt 04,2025-02-22 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Rot-Weiss Essen vs FC Ingolstadt 04,2025-02-22 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Rot-Weiss Essen vs FC Ingolstadt 04,2025-02-22 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Rot-Weiss Essen vs FC Ingolstadt 04,2025-02-22 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250221_con_resultados.csv,,
1. FC Saarbrücken vs Hannover 96,2025-02-22 10:30:00,3. Liga,Over 3.0,Goles (Over/Under),historical_20250221_con_resultados.csv,,
1. FC Saarbrücken vs Hannover 96,2025-02-22 10:30:00,3. Liga,Under 3.0,Goles (Over/Under),historical_20250221_con_resultados.csv,,
1. FC Saarbrücken vs Hannover 96,2025-02-22 10:30:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
1. FC Saarbrücken vs Hannover 96,2025-02-22 10:30:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Borussia Dortmund II vs Rot-Weiss Essen,2025-03-01 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Borussia Dortmund II vs Rot-Weiss Essen,2025-03-01 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Borussia Dortmund II vs Rot-Weiss Essen,2025-03-01 08:00:00,3. Liga,Over 3.0,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Borussia Dortmund II vs Rot-Weiss Essen,2025-03-01 08:00:00,3. Liga,Under 3.0,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Hannover 96 vs TSV 1860 München,2025-03-01 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Hannover 96 vs TSV 1860 München,2025-03-01 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Hannover 96 vs TSV 1860 München,2025-03-01 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Hannover 96 vs TSV 1860 München,2025-03-01 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Wehen Wiesbaden vs Erzgebirge Aue,2025-03-01 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Wehen Wiesbaden vs Erzgebirge Aue,2025-03-01 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Wehen Wiesbaden vs Erzgebirge Aue,2025-03-01 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Wehen Wiesbaden vs Erzgebirge Aue,2025-03-01 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Waldhof Mannheim vs Alemannia Aachen,2025-03-02 07:30:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Waldhof Mannheim vs Alemannia Aachen,2025-03-02 07:30:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Sydney FC vs Adelaide United,2025-02-01 01:00:00,A-League,Under 3.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
Sydney FC vs Adelaide United,2025-02-01 01:00:00,A-League,Over 3.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
Central Coast Mariners vs Newcastle Jets FC,2025-02-01 03:35:00,A-League,Over 2.75,Goles (Over/Under),historical_20250131_con_resultados.csv,,
Central Coast Mariners vs Newcastle Jets FC,2025-02-01 03:35:00,A-League,Under 2.75,Goles (Over/Under),historical_20250131_con_resultados.csv,,
Central Coast Mariners vs Newcastle Jets FC,2025-02-01 03:35:00,A-League,Over 2.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
Central Coast Mariners vs Newcastle Jets FC,2025-02-01 03:35:00,A-League,Under 2.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
Perth Glory vs Melbourne Victory,2025-02-01 05:45:00,A-League,Under 3.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
Perth Glory vs Melbourne Victory,2025-02-01 05:45:00,A-League,Over 3.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
Perth Glory vs Melbourne Victory,2025-02-01 05:45:00,A-League,Over 3.25,Goles (Over/Under),historical_20250131_con_resultados.csv,,
Perth Glory vs Melbourne Victory,2025-02-01 05:45:00,A-League,Under 3.25,Goles (Over/Under),historical_20250131_con_resultados.csv,,
Macarthur FC vs Western United FC,2025-02-09 01:00:00,A-League,Over 3.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Macarthur FC vs Western United FC,2025-02-09 01:00:00,A-League,Under 3.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Macarthur FC vs Western United FC,2025-02-09 01:00:00,A-League,Under 3.25,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Macarthur FC vs Western United FC,2025-02-09 01:00:00,A-League,Over 3.25,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Melbourne City vs Perth Glory,2025-02-15 01:00:00,A-League,Over 3.25,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Melbourne City vs Perth Glory,2025-02-15 01:00:00,A-League,Under 3.25,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Melbourne City vs Perth Glory,2025-02-15 01:00:00,A-League,Over 3.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Melbourne City vs Perth Glory,2025-02-15 01:00:00,A-League,Under 3.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Western United FC vs Auckland FC,2025-02-15 02:00:00,A-League,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Western United FC vs Auckland FC,2025-02-15 02:00:00,A-League,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Western United FC vs Auckland FC,2025-02-15 02:00:00,A-League,Over 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Western United FC vs Auckland FC,2025-02-15 02:00:00,A-League,Under 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Adelaide United vs Newcastle Jets FC,2025-02-15 03:35:00,A-League,Over 3.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Adelaide United vs Newcastle Jets FC,2025-02-15 03:35:00,A-League,Under 3.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Western Sydney Wanderers vs Macarthur FC,2025-02-16 01:00:00,A-League,Over 3.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Western Sydney Wanderers vs Macarthur FC,2025-02-16 01:00:00,A-League,Under 3.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Western Sydney Wanderers vs Macarthur FC,2025-02-16 01:00:00,A-League,Over 3.25,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Western Sydney Wanderers vs Macarthur FC,2025-02-16 01:00:00,A-League,Under 3.25,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Auckland FC vs Wellington Phoenix FC,2025-02-21 23:00:00,A-League,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Auckland FC vs Wellington Phoenix FC,2025-02-21 23:00:00,A-League,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Melbourne Victory vs Melbourne City,2025-02-22 03:35:00,A-League,Over 2.75,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Melbourne Victory vs Melbourne City,2025-02-22 03:35:00,A-League,Under 2.75,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Melbourne Victory vs Melbourne City,2025-02-22 03:35:00,A-League,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Melbourne Victory vs Melbourne City,2025-02-22 03:35:00,A-League,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Perth Glory vs Sydney FC,2025-02-22 05:45:00,A-League,Over 3.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Perth Glory vs Sydney FC,2025-02-22 05:45:00,A-League,Under 3.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Perth Glory vs Sydney FC,2025-02-22 05:45:00,A-League,Over 3.75,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Perth Glory vs Sydney FC,2025-02-22 05:45:00,A-League,Under 3.75,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Western United FC vs Adelaide United,2025-02-23 01:00:00,A-League,Over 3.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Western United FC vs Adelaide United,2025-02-23 01:00:00,A-League,Under 3.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Auckland FC vs Adelaide United,2025-02-28 23:00:00,A-League,Over 3.0,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Auckland FC vs Adelaide United,2025-02-28 23:00:00,A-League,Under 3.0,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Auckland FC vs Adelaide United,2025-02-28 23:00:00,A-League,Over 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Auckland FC vs Adelaide United,2025-02-28 23:00:00,A-League,Under 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Auckland FC vs Adelaide United,2025-02-28 23:00:00,A-League,Over 3.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Auckland FC vs Adelaide United,2025-02-28 23:00:00,A-League,Under 3.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Brisbane Roar vs Melbourne Victory,2025-03-01 01:00:00,A-League,Over 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Brisbane Roar vs Melbourne Victory,2025-03-01 01:00:00,A-League,Under 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Brisbane Roar vs Melbourne Victory,2025-03-01 01:00:00,A-League,Over 3.0,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Brisbane Roar vs Melbourne Victory,2025-03-01 01:00:00,A-League,Under 3.0,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Macarthur FC vs Sydney FC,2025-03-01 03:35:00,A-League,Over 3.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Macarthur FC vs Sydney FC,2025-03-01 03:35:00,A-League,Under 3.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Macarthur FC vs Sydney FC,2025-03-01 03:35:00,A-League,Over 3.25,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Macarthur FC vs Sydney FC,2025-03-01 03:35:00,A-League,Under 3.25,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Western Sydney Wanderers vs Perth Glory,2025-03-02 01:00:00,A-League,Over 3.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Western Sydney Wanderers vs Perth Glory,2025-03-02 01:00:00,A-League,Under 3.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Sturm Graz vs Austria Wien,2025-02-07 14:30:00,Austrian Bundesliga,Under 2.25,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Sturm Graz vs Austria Wien,2025-02-07 14:30:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Sturm Graz vs Austria Wien,2025-02-07 14:30:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Sturm Graz vs Austria Wien,2025-02-07 14:30:00,Austrian Bundesliga,Over 2.25,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Rapid Wien vs Wolfsberger AC,2025-02-08 11:00:00,Austrian Bundesliga,Under 2.75,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Rapid Wien vs Wolfsberger AC,2025-02-08 11:00:00,Austrian Bundesliga,Over 2.75,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Rapid Wien vs Wolfsberger AC,2025-02-08 11:00:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Rapid Wien vs Wolfsberger AC,2025-02-08 11:00:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Rheindorf Altach vs Grazer AK,2025-02-08 11:00:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Rheindorf Altach vs Grazer AK,2025-02-08 11:00:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Austria Klagenfurt vs RB Salzburg,2025-02-09 08:30:00,Austrian Bundesliga,Over 3.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Austria Klagenfurt vs RB Salzburg,2025-02-09 08:30:00,Austrian Bundesliga,Under 3.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Austria Klagenfurt vs RB Salzburg,2025-02-09 08:30:00,Austrian Bundesliga,Under 3.0,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Austria Klagenfurt vs RB Salzburg,2025-02-09 08:30:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Austria Klagenfurt vs RB Salzburg,2025-02-09 08:30:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Austria Klagenfurt vs RB Salzburg,2025-02-09 08:30:00,Austrian Bundesliga,Over 3.0,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Austria Klagenfurt vs RB Salzburg,2025-02-09 08:30:00,Austrian Bundesliga,Under 3.25,Goles (Over/Under),historical_20250207_con_resultados.csv,,
Austria Klagenfurt vs RB Salzburg,2025-02-09 08:30:00,Austrian Bundesliga,Over 3.25,Goles (Over/Under),historical_20250207_con_resultados.csv,,
WSG Tirol vs Hartberg,2025-02-09 08:30:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
WSG Tirol vs Hartberg,2025-02-09 08:30:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
FC Blau-Weiß Linz vs Rheindorf Altach,2025-02-15 11:00:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
FC Blau-Weiß Linz vs Rheindorf Altach,2025-02-15 11:00:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
FC Blau-Weiß Linz vs Rheindorf Altach,2025-02-15 11:00:00,Austrian Bundesliga,Over 2.0,Goles (Over/Under),historical_20250214_con_resultados.csv,,
FC Blau-Weiß Linz vs Rheindorf Altach,2025-02-15 11:00:00,Austrian Bundesliga,Under 2.0,Goles (Over/Under),historical_20250214_con_resultados.csv,,
RB Salzburg vs WSG Tirol,2025-02-15 11:00:00,Austrian Bundesliga,Over 3.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
RB Salzburg vs WSG Tirol,2025-02-15 11:00:00,Austrian Bundesliga,Under 3.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
RB Salzburg vs WSG Tirol,2025-02-15 11:00:00,Austrian Bundesliga,Over 3.0,Goles (Over/Under),historical_20250214_con_resultados.csv,,
RB Salzburg vs WSG Tirol,2025-02-15 11:00:00,Austrian Bundesliga,Under 3.0,Goles (Over/Under),historical_20250214_con_resultados.csv,,
RB Salzburg vs WSG Tirol,2025-02-15 11:00:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
RB Salzburg vs WSG Tirol,2025-02-15 11:00:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Wolfsberger AC vs Sturm Graz,2025-02-15 11:00:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Wolfsberger AC vs Sturm Graz,2025-02-15 11:00:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Grazer AK vs LASK,2025-02-16 08:30:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Grazer AK vs LASK,2025-02-16 08:30:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Hartberg vs Austria Klagenfurt,2025-02-16 08:30:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Hartberg vs Austria Klagenfurt,2025-02-16 08:30:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Austria Klagenfurt vs Grazer AK,2025-02-22 11:00:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Austria Klagenfurt vs Grazer AK,2025-02-22 11:00:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Austria Klagenfurt vs Grazer AK,2025-02-22 11:00:00,Austrian Bundesliga,Over 2.25,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Austria Klagenfurt vs Grazer AK,2025-02-22 11:00:00,Austrian Bundesliga,Under 2.25,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Austria Wien vs RB Salzburg,2025-02-22 11:00:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Austria Wien vs RB Salzburg,2025-02-22 11:00:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
WSG Tirol vs Wolfsberger AC,2025-02-22 11:00:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
WSG Tirol vs Wolfsberger AC,2025-02-22 11:00:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
WSG Tirol vs Wolfsberger AC,2025-02-22 11:00:00,Austrian Bundesliga,Over 2.25,Goles (Over/Under),historical_20250221_con_resultados.csv,,
WSG Tirol vs Wolfsberger AC,2025-02-22 11:00:00,Austrian Bundesliga,Under 2.25,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Rheindorf Altach vs Hartberg,2025-02-23 08:30:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Rheindorf Altach vs Hartberg,2025-02-23 08:30:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Rheindorf Altach vs Hartberg,2025-02-23 08:30:00,Austrian Bundesliga,Over 2.25,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Rheindorf Altach vs Hartberg,2025-02-23 08:30:00,Austrian Bundesliga,Under 2.25,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Sturm Graz vs FC Blau-Weiß Linz,2025-02-23 08:30:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Sturm Graz vs FC Blau-Weiß Linz,2025-02-23 08:30:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Grazer AK vs Austria Wien,2025-03-01 11:00:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Grazer AK vs Austria Wien,2025-03-01 11:00:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Hartberg vs Wolfsberger AC,2025-03-01 11:00:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Hartberg vs Wolfsberger AC,2025-03-01 11:00:00,Austrian Bundesliga,Under 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Rapid Wien vs Rheindorf Altach,2025-03-01 11:00:00,Austrian Bundesliga,Over 2.75,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Rapid Wien vs Rheindorf Altach,2025-03-01 11:00:00,Austrian Bundesliga,Under 2.75,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Rapid Wien vs Rheindorf Altach,2025-03-01 11:00:00,Austrian Bundesliga,Over 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
