Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,Todas_Las_Cuotas
Crystal Palace vs Tottenham Hotspur,2025-12-28 11:30:00,EPL,Doble Chance,1X,1.3659,betfair_ex_au,38,20.625,0.0625,2.33,0.24,1.3034,0.00032183799709858485,38,0.017826998240775254,0.013717109701236976,,,,,betfair_ex_au:1.3659; betfair_ex_uk:1.3659; betfair_ex_eu:1.3659; smarkets:1.3509; unibet_se:1.3395; unibet_nl:1.3395; marathonbet:1.3366; leovegas:1.3246; leovegas_se:1.3208; pinnacle:1.3178; tipico_de:1.3171; betsson:1.3131; nordicbet:1.3131; grosvenor:1.3058; unibet:1.3058; tabtouch:1.3058; casumo:1.3058; coolbet:1.3058; winamax_de:1.3054; draftkings:1.3054; codere_it:1.2982; williamhill:1.2982; pointsbetau:1.2982; coral:1.2982; bovada:1.2908; fanduel:1.2833; paddypower:1.2833; skybet:1.2833; sport888:1.2833; unibet_uk:1.2832; betway:1.2789; betmgm:1.2789; ladbrokes_uk:1.2789; winamax_fr:1.2645; mybookieag:1.2645; tab:1.2645; betclic_fr:1.2573; virginbet:1.2308
Crystal Palace vs Tottenham Hotspur,2025-12-28 11:30:00,EPL,Doble Chance,X2,1.8117,betfair_ex_au,38,20.625,0.0818,2.29,0.24,1.7299,0.00013017948753148566,38,0.013260511568212743,0.00988474261533922,,,,,betfair_ex_au:1.8117; betfair_ex_uk:1.8117; betfair_ex_eu:1.8117; smarkets:1.7867; unibet_se:1.7746; unibet_nl:1.7746; pinnacle:1.7636; marathonbet:1.7499; winamax_de:1.7496; betsson:1.7496; nordicbet:1.7496; leovegas_se:1.7496; leovegas:1.7496; draftkings:1.7374; codere_it:1.7367; coolbet:1.7367; williamhill:1.7246; pointsbetau:1.7246; grosvenor:1.7246; unibet:1.7246; tabtouch:1.7246; casumo:1.7246; coral:1.7246; betmgm:1.7246; ladbrokes_uk:1.7246; bovada:1.7236; tab:1.7217; unibet_uk:1.7117; betclic_fr:1.7064; betway:1.7; fanduel:1.6985; paddypower:1.6985; mybookieag:1.6891; winamax_fr:1.6867; skybet:1.6746; tipico_de:1.6746; sport888:1.65; virginbet:1.6366
Nottingham Forest vs Manchester City,2025-12-27 07:30:00,EPL,Doble Chance,1X,2.5654,betfair_ex_eu,38,14.6667,0.2123,3.83,0.33,2.3531,0.00018764159373237636,38,0.015919737568889144,0.011953356611230837,,,,,betfair_ex_eu:2.5654; betfair_ex_uk:2.5654; betfair_ex_au:2.5654; smarkets:2.5255; betsson:2.419; nordicbet:2.419; coolbet:2.4133; tipico_de:2.4124; pinnacle:2.3966; marathonbet:2.3938; unibet_se:2.3814; unibet_nl:2.3814; leovegas:2.3814; fanduel:2.374; tab:2.3684; pointsbetau:2.3639; leovegas_se:2.349; bovada:2.337; skybet:2.3333; winamax_de:2.333; unibet:2.3305; tabtouch:2.3305; grosvenor:2.3305; casumo:2.3305; codere_it:2.3234; paddypower:2.3205; ladbrokes_uk:2.3205; betmgm:2.3205; coral:2.3205; draftkings:2.3118; unibet_uk:2.2826; betclic_fr:2.2678; winamax_fr:2.2322; mybookieag:2.2322; betway:2.2291; sport888:2.2222; williamhill:2.2222; virginbet:2.21
Nottingham Forest vs Manchester City,2025-12-27 07:30:00,EPL,Doble Chance,X2,1.2035,betfair_ex_eu,38,14.6667,0.041,1.89,0.33,1.1625,0.0004190237364755665,38,0.016347623537903314,0.012408381743237832,,,,,betfair_ex_eu:1.2035; betfair_ex_uk:1.2035; betfair_ex_au:1.2035; smarkets:1.1981; unibet_se:1.1846; unibet_nl:1.1846; pinnacle:1.183; marathonbet:1.182; betsson:1.1769; nordicbet:1.1769; leovegas:1.1743; betmgm:1.1736; bovada:1.1697; ladbrokes_uk:1.1683; coral:1.1683; winamax_de:1.1661; codere_it:1.1639; leovegas_se:1.1612; pointsbetau:1.1608; draftkings:1.1608; unibet_uk:1.1586; betway:1.1586; williamhill:1.153; tipico_de:1.1529; tab:1.1529; paddypower:1.1522; unibet:1.1509; tabtouch:1.1509; grosvenor:1.1509; casumo:1.1509; coolbet:1.1501; sport888:1.148; skybet:1.1428; mybookieag:1.1405; betclic_fr:1.1391; fanduel:1.1339; winamax_fr:1.13; virginbet:1.0937
Liverpool vs Wolverhampton Wanderers,2025-12-27 10:00:00,EPL,Doble Chance,1X,1.0699,betfair_ex_au,37,7.7377,0.0379,1.67,0.61,1.032,0.0016178326930884502,37,0.01598349607465736,0.012521181264200617,,,,,betfair_ex_au:1.0699; betfair_ex_eu:1.0699; betfair_ex_uk:1.0699; smarkets:1.0587; unibet_se:1.0534; unibet_nl:1.0534; marathonbet:1.0488; pinnacle:1.0428; leovegas:1.0404; coolbet:1.0389; betsson:1.038; nordicbet:1.038; codere_it:1.0368; tipico_de:1.0345; unibet_uk:1.0343; leovegas_se:1.0332; draftkings:1.0317; bovada:1.0317; williamhill:1.0272; ladbrokes_uk:1.0272; coral:1.0272; betmgm:1.0272; tabtouch:1.0261; unibet:1.0261; casumo:1.0261; grosvenor:1.0261; winamax_de:1.0244; skybet:1.0244; betway:1.0139; sport888:1.0139; pointsbetau:1.013; mybookieag:1.0124; betclic_fr:1.0105; fanduel:1.0098; paddypower:1.0098; tab:1.0098; winamax_fr:1.0059
Liverpool vs Wolverhampton Wanderers,2025-12-27 10:00:00,EPL,Doble Chance,X2,5.0092,betfair_ex_au,37,7.7377,0.6188,6.43,0.61,4.3904,0.0002105895253335316,37,0.014283895282411311,0.011277079516470072,,,,,betfair_ex_au:5.0092; betfair_ex_eu:5.0092; betfair_ex_uk:5.0092; smarkets:4.9272; unibet_se:4.6667; unibet_nl:4.6667; betsson:4.6086; nordicbet:4.6086; pinnacle:4.4908; tabtouch:4.443; unibet:4.443; casumo:4.443; grosvenor:4.443; leovegas:4.443; leovegas_se:4.443; marathonbet:4.4348; winamax_de:4.4211; paddypower:4.4211; skybet:4.4211; tab:4.4211; coolbet:4.4211; tipico_de:4.375; fanduel:4.2778; draftkings:4.2778; bovada:4.2778; codere_it:4.2581; pointsbetau:4.2162; betmgm:4.1528; unibet_uk:4.0857; winamax_fr:4.0857; williamhill:4.0857; ladbrokes_uk:4.0857; coral:4.0857; betclic_fr:4.046; betway:4.0; sport888:4.0; mybookieag:3.9388
Chelsea vs Aston Villa,2025-12-27 12:30:00,EPL,Doble Chance,1X,1.3019,betfair_ex_eu,38,7.6613,0.0594,2.28,0.62,1.2425,0.0003989115058022654,38,0.018446907459744376,0.012758445644297534,,,,,betfair_ex_eu:1.3019; betfair_ex_uk:1.3019; betfair_ex_au:1.3019; smarkets:1.292; unibet_se:1.2692; unibet_nl:1.2692; pinnacle:1.263; marathonbet:1.2621; leovegas:1.2548; betsson:1.2509; nordicbet:1.2509; winamax_de:1.2502; codere_it:1.2488; draftkings:1.2478; bovada:1.2455; leovegas_se:1.2455; coolbet:1.2418; unibet_uk:1.2388; paddypower:1.2388; williamhill:1.2388; ladbrokes_uk:1.2388; coral:1.2388; betmgm:1.2388; tabtouch:1.2358; unibet:1.2358; casumo:1.2358; grosvenor:1.2358; pointsbetau:1.2352; tipico_de:1.2316; skybet:1.2298; fanduel:1.2214; tab:1.2214; mybookieag:1.2199; winamax_fr:1.2162; betway:1.2133; sport888:1.2103; betclic_fr:1.1725; virginbet:1.1691
Chelsea vs Aston Villa,2025-12-27 12:30:00,EPL,Doble Chance,X2,2.0488,betfair_ex_eu,38,7.6613,0.0857,2.72,0.62,1.9631,0.000139679259451089,38,0.013909398118527325,0.012275646987015573,,,,,betfair_ex_eu:2.0488; betfair_ex_uk:2.0488; betfair_ex_au:2.0488; unibet_se:2.0356; unibet_nl:2.0356; leovegas:2.0222; pinnacle:2.022; betsson:2.0124; nordicbet:2.0124; smarkets:2.0118; marathonbet:2.006; leovegas_se:1.9987; tabtouch:1.9855; unibet:1.9855; casumo:1.9855; grosvenor:1.9855; coolbet:1.9775; winamax_de:1.9747; tipico_de:1.9747; bovada:1.9747; pointsbetau:1.9722; codere_it:1.9487; unibet_uk:1.9355; williamhill:1.9355; coral:1.9355; betmgm:1.9355; fanduel:1.9247; tab:1.9247; ladbrokes_uk:1.9118; draftkings:1.9118; betclic_fr:1.9066; winamax_fr:1.8997; betway:1.8947; paddypower:1.8874; skybet:1.8874; mybookieag:1.8868; virginbet:1.8854; sport888:1.8667
Parma vs Fiorentina,2025-12-27 06:30:00,Serie A,Doble Chance,X2,1.3714,betfair_ex_au,37,7.3188,0.0591,2.18,0.69,1.3123,0.00027227382110275004,37,0.0165351017275179,0.012850285831968861,,,,,betfair_ex_au:1.3714; betfair_ex_uk:1.3714; betfair_ex_eu:1.3714; smarkets:1.3557; coolbet:1.3483; unibet_se:1.3378; unibet_nl:1.3378; nordicbet:1.3368; betsson:1.3368; marathonbet:1.3347; pinnacle:1.332; winamax_de:1.3211; codere_it:1.3193; bovada:1.3114; unibet_uk:1.3037; pointsbetau:1.3037; betway:1.3037; williamhill:1.3037; tipico_de:1.3037; grosvenor:1.3037; leovegas_se:1.3037; unibet:1.3037; tabtouch:1.3037; casumo:1.3037; betmgm:1.3037; coral:1.3037; ladbrokes_uk:1.3037; skybet:1.3019; fanduel:1.3019; tab:1.3019; winamax_fr:1.2868; paddypower:1.2857; leovegas:1.2849; betclic_fr:1.2799; draftkings:1.2692; sport888:1.267; virginbet:1.2437
AC Milan vs Hellas Verona,2025-12-28 06:30:00,Serie A,Doble Chance,1X,1.1046,betfair_ex_au,37,7.0548,0.0422,2.18,0.73,1.0624,0.0017268744189749851,37,0.020567821104730086,0.0169327115694541,,,,,betfair_ex_au:1.1046; betfair_ex_eu:1.1046; betfair_ex_uk:1.1046; smarkets:1.0938; coral:1.0938; coolbet:1.0864; unibet_se:1.0839; unibet_nl:1.0839; pinnacle:1.0791; marathonbet:1.0779; codere_it:1.0768; betsson:1.073; nordicbet:1.073; bovada:1.0693; tab:1.0693; winamax_de:1.0692; betmgm:1.0692; unibet_uk:1.0633; tipico_de:1.063; ladbrokes_uk:1.0597; pointsbetau:1.0573; betway:1.0561; skybet:1.0497; grosvenor:1.0488; leovegas_se:1.0488; unibet:1.0488; casumo:1.0488; tabtouch:1.0488; sport888:1.0444; betclic_fr:1.0427; williamhill:1.0389; draftkings:1.0385; leovegas:1.0377; winamax_fr:1.0367; fanduel:1.0353; paddypower:1.0266; virginbet:1.0026
