Partido,Fecha_Hora_COT,Score_Final,Diferencia_Cuota_Promedio,Mercado,Cuota,Casa_Apuestas,Margen_Casa_Pct,Margen_Mercado_Promedio_Pct,Ventaja_Margen_Pct,Cuota_Promedio_Mercado,Bwin_Cuota_1,Bwin_Cuota_X,Bwin_Cuota_2,Bwin_Margen_Pct
"Heerenveen vs AZ Alkmaar","2025-11-23 06:15",1.2099,0.0783,"1X",1.71,"pinnacle",3.43,7.58,4.15,1.6317,,,,
"Heerenveen vs AZ Alkmaar","2025-11-23 06:15",1.2099,0.0533,"X2",1.43,"pinnacle",3.43,7.58,4.15,1.3767,,,,
"Hellas Verona vs Parma","2025-11-23 06:30",0.4086,0.03,"1X",1.33,"marathonbet",3.94,5.55,1.61,1.3,,,,
"Hellas Verona vs Parma","2025-11-23 06:30",0.7025,0.0467,"X2",1.67,"pinnacle",3.26,5.55,2.29,1.6233,,,,
"Oviedo vs Rayo Vallecano","2025-11-23 08:00",0.6911,0.0417,"1X",1.72,"pinnacle",3.27,5.53,2.26,1.6783,,,,
"Oviedo vs Rayo Vallecano","2025-11-23 08:00",0.7724,0.0383,"X2",1.34,"marathonbet",3.12,5.53,2.41,1.3017,,,,
"Feyenoord vs NEC Nijmegen","2025-11-23 08:30",1.0495,0.03,"1X",1.11,"pinnacle",3.84,7.87,4.03,1.08,,,,
"Feyenoord vs NEC Nijmegen","2025-11-23 08:30",1.0495,0.2133,"X2",3.04,"pinnacle",3.84,7.87,4.03,2.8267,,,,
"SC Telstar vs FC Utrecht","2025-11-23 08:30",1.3482,0.085,"1X",1.78,"pinnacle",3.36,7.89,4.53,1.695,,,,
"SC Telstar vs FC Utrecht","2025-11-23 08:30",1.3482,0.0533,"X2",1.36,"pinnacle",3.36,7.89,4.53,1.3067,,,,
"Auxerre vs Lyon","2025-11-23 09:00",0.6834,0.0433,"1X",1.8,"marathonbet",3.19,5.37,2.18,1.7567,,,,
"Auxerre vs Lyon","2025-11-23 09:00",0.6834,0.0267,"X2",1.32,"marathonbet",3.19,5.37,2.18,1.2933,,,,
"Cremonese vs AS Roma","2025-11-23 09:00",0.526,0.0467,"1X",2.34,"pinnacle",3.65,5.57,1.92,2.2933,,,,
"Cremonese vs AS Roma","2025-11-23 09:00",0.2545,0.0217,"X2",1.16,"betsson",4.44,5.57,1.13,1.1383,,,,
"Leeds United vs Aston Villa","2025-11-23 09:00",0.6828,0.0433,"1X",1.59,"marathonbet",3.09,5.2,2.11,1.5467,,,,
"Leeds United vs Aston Villa","2025-11-23 09:00",0.5805,0.0317,"X2",1.44,"pinnacle",3.29,5.2,1.91,1.4083,,,,
"RB Leipzig vs Werder Bremen","2025-11-23 09:30",0.8924,0.0229,"1X",1.15,"marathonbet",2.88,5.45,2.57,1.1271,1.46,5.0,5.75,5.88
"RB Leipzig vs Werder Bremen","2025-11-23 09:30",0.3325,0.1022,"X2",2.89,"codere_it",4.09,5.45,1.36,2.7878,1.46,5.0,5.75,5.88
"Real Betis vs Girona","2025-11-23 10:15",0.1578,0.02,"1X",1.17,"betsson",4.31,4.99,0.68,1.15,,,,
"Real Betis vs Girona","2025-11-23 10:15",0.5449,0.042,"X2",2.56,"marathonbet",3.23,4.99,1.76,2.518,,,,
"Groningen vs FC Zwolle","2025-11-23 10:45",0.525,0.0367,"1X",1.15,"betsson",5.39,8.22,2.83,1.1133,,,,
"Groningen vs FC Zwolle","2025-11-23 10:45",0.3301,0.0883,"X2",2.4,"codere_it",6.18,8.22,2.04,2.3117,,,,
"Brest vs Metz","2025-11-23 11:15",0.489,0.0217,"1X",1.23,"pinnacle",3.62,5.39,1.77,1.2083,,,,
"Brest vs Metz","2025-11-23 11:15",0.7387,0.0867,"X2",2.12,"marathonbet",3.1,5.39,2.29,2.0333,,,,
"Nantes vs Lorient","2025-11-23 11:15",0.6577,0.0383,"1X",1.54,"pinnacle",3.33,5.52,2.19,1.5017,,,,
"Nantes vs Lorient","2025-11-23 11:15",0.6985,0.03,"X2",1.49,"marathonbet",3.25,5.52,2.27,1.46,,,,
"Toulouse vs Angers","2025-11-23 11:15",0.04,0.035,"1X",1.18,"betsson",5.25,5.46,0.21,1.145,,,,
"Toulouse vs Angers","2025-11-23 11:15",-0.1613,0.055,"X2",2.31,"winamax_de",6.51,5.46,-1.05,2.255,,,,
"Arsenal vs Tottenham Hotspur","2025-11-23 11:30",0.7197,0.015,"1X",1.1,"marathonbet",2.89,4.97,2.08,1.085,,,,
"Arsenal vs Tottenham Hotspur","2025-11-23 11:30",0.7197,0.0733,"X2",3.03,"marathonbet",2.89,4.97,2.08,2.9567,,,,
"FC St. Pauli vs Union Berlin","2025-11-23 11:30",0.6316,0.0244,"1X",1.44,"pinnacle",3.23,5.27,2.04,1.4156,2.55,3.1,2.87,6.32
"FC St. Pauli vs Union Berlin","2025-11-23 11:30",0.7055,0.0428,"X2",1.57,"marathonbet",3.09,5.27,2.18,1.5272,2.55,3.1,2.87,6.32
"Lazio vs Lecce","2025-11-23 12:00",0.2925,0.025,"1X",1.16,"codere_it",4.41,5.7,1.29,1.135,,,,
