fixture_id,league_id,league_name,bookmaker_id,bookmaker,home_odds,draw_odds,away_odds,odds_1x,odds_x2,prob_1x,prob_x2
1379150,39,Premier League,1,10Bet,2.3,3.35,3.1,1.3637,1.6101,73.33,62.11
1379150,39,Premier League,7,William Hill,2.3,3.3,2.9,1.3554,1.5435,73.78,64.79
1379150,39,Premier League,8,Bet365,2.35,3.6,2.88,1.4218,1.6,70.33,62.5
1379150,39,Premier League,2,Marathonbet,2.39,3.54,3.02,1.4267,1.6297,70.09,61.36
1379150,39,Premier League,16,Unibet,2.32,3.55,2.95,1.4031,1.6112,71.27,62.07
1379150,39,Premier League,3,Betfair,2.3,3.5,2.9,1.3879,1.5859,72.05,63.06
1379150,39,Premier League,13,188Bet,2.4,3.5,2.95,1.4237,1.6008,70.24,62.47
1379150,39,Premier League,4,Pinnacle,2.41,3.59,3.0,1.442,1.6343,69.35,61.19
1379150,39,Premier League,5,SBO,2.36,3.28,2.83,1.3725,1.5192,72.86,65.82
1379150,39,Premier League,11,1xBet,2.43,3.6,3.07,1.4507,1.657,68.93,60.35
1379150,39,Premier League,32,Betano,2.37,3.5,2.95,1.4131,1.6008,70.77,62.47
1379150,39,Premier League,34,Superbet,2.35,3.5,3.0,1.406,1.6154,71.12,61.9
1379153,39,Premier League,1,10Bet,2.15,3.3,3.45,1.3018,1.6867,76.82,59.29
1379153,39,Premier League,7,William Hill,2.15,3.2,3.5,1.286,1.6716,77.76,59.82
1379153,39,Premier League,8,Bet365,2.1,3.3,3.6,1.2833,1.7217,77.92,58.08
1379153,39,Premier League,2,Marathonbet,2.18,3.36,3.64,1.3222,1.7472,75.63,57.23
1379153,39,Premier League,16,Unibet,2.14,3.3,3.55,1.2982,1.7102,77.03,58.47
1379153,39,Premier League,3,Betfair,2.1,3.4,3.6,1.2982,1.7486,77.03,57.19
1379153,39,Premier League,13,188Bet,2.14,3.35,3.6,1.3058,1.7353,76.58,57.63
1379153,39,Premier League,4,Pinnacle,2.17,3.35,3.72,1.3169,1.7627,75.94,56.73
1379153,39,Premier League,5,SBO,2.16,3.2,3.28,1.2896,1.6198,77.54,61.74
1379153,39,Premier League,11,1xBet,2.22,3.4,3.68,1.3431,1.7672,74.45,56.59
1379153,39,Premier League,32,Betano,2.15,3.25,3.6,1.294,1.708,77.28,58.55
1379153,39,Premier League,34,Superbet,2.15,3.3,3.65,1.3018,1.7331,76.82,57.7
1379154,39,Premier League,1,10Bet,1.51,4.3,6.0,1.1176,2.5049,89.48,39.92
1379154,39,Premier League,7,William Hill,1.55,4.0,5.5,1.1171,2.3158,89.52,43.18
1379154,39,Premier League,8,Bet365,1.57,4.2,5.75,1.1428,2.4271,87.5,41.2
1379154,39,Premier League,2,Marathonbet,1.59,4.3,5.85,1.1608,2.4783,86.15,40.35
