Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Score_Final,Todas_Las_Cuotas
1. FC Nürnberg vs Fortuna Düsseldorf,2026-03-07 07:00:00,1X,1.4634,1.3729,,,,,0.0004211256924725565,37,0.021509783530053814,0.016938807657908977,betfair_ex_eu,37,0.0905,2.98,0.08,Bundesliga 2,Doble Chance,91.875,betfair_ex_eu:1.4634; betfair_ex_uk:1.4634; betfair_ex_au:1.456; smarkets:1.4409; pinnacle:1.4072; coolbet:1.4034; betmgm:1.4034; draftkings:1.4034; codere_it:1.392; unibet:1.3883; grosvenor:1.3883; unibet_se:1.3883; casumo:1.3883; tabtouch:1.3883; unibet_nl:1.3883; unibet_uk:1.3879; leovegas_se:1.3772; bovada:1.3772; leovegas:1.3696; betsson:1.3696; nordicbet:1.3696; pointsbetau:1.3696; winamax_de:1.3655; fanduel:1.3655; marathonbet:1.3644; tipico_de:1.3509; sport888:1.3357; williamhill:1.3357; betway:1.3357; betvictor:1.3357; paddypower:1.3319; virginbet:1.3246; coral:1.32; ladbrokes_uk:1.32; skybet:1.3171; betclic_fr:1.3141; winamax_fr:1.2982
1. FC Nürnberg vs Fortuna Düsseldorf,2026-03-07 07:00:00,X2,1.712,1.5907,,,,,0.0003569260047521819,37,0.02150164908436239,0.015586885788300907,betfair_ex_eu,37,0.1213,3.47,0.08,Bundesliga 2,Doble Chance,91.875,betfair_ex_eu:1.712; betfair_ex_uk:1.712; betfair_ex_au:1.712; smarkets:1.6868; pinnacle:1.6645; tipico_de:1.6439; coolbet:1.6364; fanduel:1.6214; bovada:1.6112; marathonbet:1.6091; betmgm:1.6062; draftkings:1.6062; codere_it:1.5961; betway:1.5938; pointsbetau:1.5859; unibet_uk:1.5859; unibet:1.5809; grosvenor:1.5809; unibet_se:1.5809; casumo:1.5809; tabtouch:1.5809; unibet_nl:1.5809; betsson:1.5799; nordicbet:1.5799; paddypower:1.5799; winamax_de:1.575; leovegas_se:1.5654; sport888:1.5651; williamhill:1.5651; betvictor:1.5651; leovegas:1.5556; skybet:1.5355; betclic_fr:1.5254; virginbet:1.5049; coral:1.5; ladbrokes_uk:1.5; winamax_fr:1.4893
SC Paderborn vs Eintracht Braunschweig,2026-03-07 07:00:00,1X,1.1487,1.101,,,,,0.0009813480937200367,37,0.02039781144643565,0.015701748160324422,betfair_ex_eu,37,0.0477,2.23,0.57,Bundesliga 2,Doble Chance,12.5088,betfair_ex_eu:1.1487; betfair_ex_uk:1.1487; betfair_ex_au:1.1487; pinnacle:1.1272; smarkets:1.1256; betmgm:1.125; draftkings:1.1194; coolbet:1.1186; codere_it:1.1137; unibet_uk:1.1137; unibet:1.1087; unibet_nl:1.1087; grosvenor:1.1087; unibet_se:1.1087; casumo:1.1087; tabtouch:1.1087; leovegas_se:1.1087; fanduel:1.1075; bovada:1.1075; betway:1.103; tipico_de:1.1025; leovegas:1.0998; winamax_de:1.0966; ladbrokes_uk:1.0944; coral:1.0944; betsson:1.0931; nordicbet:1.0931; pointsbetau:1.0922; marathonbet:1.0879; paddypower:1.0723; sport888:1.0723; williamhill:1.0723; betvictor:1.0723; virginbet:1.0712; betclic_fr:1.0612; skybet:1.05; winamax_fr:1.0436
SC Paderborn vs Eintracht Braunschweig,2026-03-07 07:00:00,X2,2.9115,2.5237,,,,,0.0004435485352751485,37,0.024141567659797986,0.018920957181116468,betfair_ex_eu,37,0.3878,6.43,0.57,Bundesliga 2,Doble Chance,12.5088,betfair_ex_eu:2.9115; betfair_ex_uk:2.9115; betfair_ex_au:2.9115; smarkets:2.8437; pinnacle:2.7005; tipico_de:2.6937; marathonbet:2.6498; coolbet:2.6239; codere_it:2.6075; unibet_uk:2.5714; draftkings:2.5714; betvictor:2.5514; fanduel:2.5385; bovada:2.5385; pointsbetau:2.5298; betmgm:2.5244; betsson:2.5039; nordicbet:2.5039; winamax_de:2.495; paddypower:2.4706; betway:2.47; williamhill:2.436; skybet:2.4271; sport888:2.4271; unibet:2.4162; unibet_nl:2.4162; grosvenor:2.4162; unibet_se:2.4162; casumo:2.4162; tabtouch:2.4162; leovegas_se:2.4162; betclic_fr:2.4; leovegas:2.3814; ladbrokes_uk:2.3333; coral:2.3333; virginbet:2.3305; winamax_fr:2.2728
Cardiff City vs Lincoln City,2026-03-07 07:30:00,1X,1.44,1.3535,,,,,0.0004032972660180907,34,0.020905435389911103,0.01641147845375583,betfair_ex_uk,34,0.0865,2.89,0.69,League 1,Doble Chance,8.9275,betfair_ex_uk:1.44; betfair_ex_eu:1.44; betfair_ex_au:1.44; smarkets:1.4328; draftkings:1.38; skybet:1.3797; pinnacle:1.379; coolbet:1.3696; paddypower:1.3696; betvictor:1.3696; betmgm:1.3696; ladbrokes_uk:1.3696; coral:1.3696; unibet_uk:1.354; pointsbetau:1.354; betsson:1.3537; nordicbet:1.3537; betway:1.3468; bovada:1.346; marathonbet:1.3444; tab:1.3382; tipico_de:1.3378; sport888:1.3295; williamhill:1.3295; leovegas:1.328; codere_it:1.32; unibet:1.3131; grosvenor:1.3131; casumo:1.3131; tabtouch:1.3131; unibet_nl:1.3131; unibet_se:1.3131; leovegas_se:1.3054; virginbet:1.2905
Cardiff City vs Lincoln City,2026-03-07 07:30:00,X2,1.6941,1.6113,,,,,0.00026088392544248133,34,0.018431436035730813,0.01533446764261926,betfair_ex_uk,34,0.0828,2.96,0.69,League 1,Doble Chance,8.9275,betfair_ex_uk:1.6941; betfair_ex_eu:1.6941; betfair_ex_au:1.6941; smarkets:1.68; leovegas:1.6716; unibet:1.6466; leovegas_se:1.6466; grosvenor:1.6466; casumo:1.6466; tabtouch:1.6466; unibet_nl:1.6466; unibet_se:1.6466; pinnacle:1.6297; virginbet:1.6215; skybet:1.6195; betvictor:1.6154; ladbrokes_uk:1.6154; coral:1.6154; unibet_uk:1.6078; draftkings:1.6047; coolbet:1.6008; betmgm:1.6008; marathonbet:1.5942; paddypower:1.5859; pointsbetau:1.5651; sport888:1.56; williamhill:1.56; codere_it:1.5576; tipico_de:1.5576; betsson:1.5546; nordicbet:1.5546; bovada:1.5544; betway:1.5269; tab:1.5213
Blackburn Rovers vs Portsmouth,2026-03-07 07:30:00,1X,1.4567,1.3793,,,,,0.00029190680045730215,37,0.018011390448970214,0.013624210561658313,betfair_ex_uk,37,0.0774,2.51,0.91,Championship,Doble Chance,6.0769,betfair_ex_uk:1.4567; betfair_ex_eu:1.4567; betfair_ex_au:1.4567; smarkets:1.4345; pinnacle:1.42; draftkings:1.413; coolbet:1.4092; leovegas_se:1.4035; betsson:1.3959; nordicbet:1.3959; codere_it:1.394; unibet_uk:1.3876; ladbrokes_uk:1.3876; coral:1.3839; unibet:1.3781; casumo:1.3781; unibet_se:1.3781; grosvenor:1.3781; unibet_nl:1.3781; betvictor:1.3724; marathonbet:1.3718; tabtouch:1.3685; fanduel:1.3685; skybet:1.3685; betmgm:1.3685; williamhill:1.3685; betway:1.3636; bovada:1.3559; tab:1.3527; paddypower:1.3486; sport888:1.3486; winamax_de:1.3459; leovegas:1.3431; tipico_de:1.3333; betclic_fr:1.3302; winamax_fr:1.3204; virginbet:1.3178
Blackburn Rovers vs Portsmouth,2026-03-07 07:30:00,X2,1.5866,1.5207,,,,,0.0001615127980685011,37,0.014197858301830247,0.010998446009795599,betfair_ex_uk,37,0.0659,2.17,0.91,Championship,Doble Chance,6.0769,betfair_ex_uk:1.5866; betfair_ex_eu:1.5866; betfair_ex_au:1.5866; smarkets:1.5746; pinnacle:1.5619; leovegas_se:1.5484; codere_it:1.5484; draftkings:1.5464; betsson:1.5427; nordicbet:1.5427; unibet_uk:1.535; betvictor:1.5294; fanduel:1.5246; coral:1.5246; tab:1.5246; unibet:1.5234; casumo:1.5234; unibet_se:1.5234; grosvenor:1.5234; unibet_nl:1.5234; coolbet:1.5234; ladbrokes_uk:1.5213; marathonbet:1.5126; tabtouch:1.5116; betmgm:1.5116; paddypower:1.5; skybet:1.4983; williamhill:1.4983; bovada:1.4983; betclic_fr:1.493; tipico_de:1.4874; leovegas:1.4866; winamax_de:1.4824; sport888:1.4746; betway:1.4694; virginbet:1.4615; winamax_fr:1.4573
Huddersfield Town vs Rotherham United,2026-03-07 07:30:00,1X,1.1781,1.1338,,,,,0.00037148531214976357,34,0.014795686215790993,0.011664975058305726,betfair_ex_eu,34,0.0443,1.7,1.01,League 1,Doble Chance,5.9901,betfair_ex_eu:1.1781; betfair_ex_uk:1.1781; betfair_ex_au:1.1738; unibet_uk:1.1595; smarkets:1.1589; pinnacle:1.1571; draftkings:1.1488; skybet:1.1429; betsson:1.1411; nordicbet:1.1411; ladbrokes_uk:1.1396; coral:1.1396; coolbet:1.1362; paddypower:1.1358; betway:1.1314; pointsbetau:1.1313; betvictor:1.1309; betmgm:1.1309; marathonbet:1.1294; unibet:1.1223; leovegas:1.1223; casumo:1.1223; grosvenor:1.1223; unibet_nl:1.1223; unibet_se:1.1223; tabtouch:1.1223; bovada:1.1215; williamhill:1.1172; tab:1.1172; codere_it:1.117; tipico_de:1.117; leovegas_se:1.1132; sport888:1.1125; virginbet:1.0937
Huddersfield Town vs Rotherham United,2026-03-07 07:30:00,X2,2.4314,2.2357,,,,,0.0003081996675749106,34,0.020549133136451337,0.017268072921642712,betfair_ex_eu,34,0.1957,4.59,1.01,League 1,Doble Chance,5.9901,betfair_ex_eu:2.4314; betfair_ex_uk:2.4314; betfair_ex_au:2.4128; smarkets:2.3819; leovegas:2.3333; unibet:2.3158; casumo:2.3158; grosvenor:2.3158; unibet_nl:2.3158; unibet_se:2.3158; tabtouch:2.3158; leovegas_se:2.2989; pinnacle:2.2728; virginbet:2.2645; draftkings:2.2541; betvictor:2.2473; ladbrokes_uk:2.2377; coral:2.2377; marathonbet:2.2355; skybet:2.2222; betmgm:2.2044; unibet_uk:2.191; coolbet:2.1875; tipico_de:2.1618; paddypower:2.1591; pointsbetau:2.1429; bovada:2.1429; betsson:2.1173; nordicbet:2.1173; codere_it:2.1081; sport888:2.093; williamhill:2.093; tab:2.093; betway:2.0479
