vol_bin,count,mean_net,std_net,mean_vol
"(1.499, 1.74]",18,-0.09777777777777777,0.9437818513865033,1.6194444444444445
"(1.74, 1.956]",14,-0.05142857142857144,0.9892410233091844,1.8628571428571428
"(1.956, 2.17]",18,-0.2822222222222222,0.9277775820906999,2.057777777777778
"(2.17, 2.416]",14,-0.14428571428571432,1.029306818918697,2.2885714285714287
"(2.416, 3.26]",16,0.205625,0.9707589384943446,2.690625
