,mean_acertado,mean_fallido,median_acertado,median_fallido,tstat,t_p,mw_stat,mw_p,count_acertado,count_fallido
Mejor_Cuota,1.89,1.9868292682926827,1.92,1.95,-2.7082634121892473,0.008382803028386293,533.5,0.010532055995424585,39,41
Volatilidad_Pct,2.134615384615384,2.051463414634146,2.09,2.03,0.9461920186462341,0.34706913203962675,880.5,0.4383347985383398,39,41
Margen_Casa_Pct,4.394358974358975,4.309512195121951,4.21,3.73,0.28363521357770516,0.7774414499250836,824.5,0.8134771919177313,39,41
Cuota_Promedio_Mercado,1.844823076923077,1.9424365853658536,1.87,1.9067,-2.809298196031167,0.006319322750709958,504.5,0.004580957448434067,39,41
Num_Casas,2.641025641025641,2.707317073170732,3.0,3.0,-0.6255282924981908,0.5334700918447424,746.5,0.5333721734255165,39,41
Score_Final,0.532474358974359,0.5690731707317074,0.4841,0.4865,-0.4681910875108866,0.640981682112501,741.0,0.5766064544015135,39,41
