event_id,match,league,starts_at,bookmaker,bookmaker_id,line,side,odds_american,odds_decimal,source
QVnhFwnO5x9nB794KJ0p,Leverkusen vs Stuttgart,Bundesliga,2026-01-10T17:30:00.000Z,BetPARX,betparx,3.5,under,-167,1.5988023952095807,SportsGameOdds
QVnhFwnO5x9nB794KJ0p,Leverkusen vs Stuttgart,Bundesliga,2026-01-10T17:30:00.000Z,BetRivers,betrivers,3.5,under,-167,1.5988023952095807,SportsGameOdds
QVnhFwnO5x9nB794KJ0p,Leverkusen vs Stuttgart,Bundesliga,2026-01-10T17:30:00.000Z,BetMGM,betmgm,3.5,under,-161,1.62111801242236,SportsGameOdds
tSxQa9NoqeFwjA0GKyzG,M'gladbach vs Augsburg,Bundesliga,2026-01-11T14:30:00.000Z,BetPARX,betparx,2.5,over,-133,1.7518796992481203,SportsGameOdds
tSxQa9NoqeFwjA0GKyzG,M'gladbach vs Augsburg,Bundesliga,2026-01-11T14:30:00.000Z,BetRivers,betrivers,2.5,over,-135,1.7407407407407407,SportsGameOdds
tSxQa9NoqeFwjA0GKyzG,M'gladbach vs Augsburg,Bundesliga,2026-01-11T14:30:00.000Z,BetMGM,betmgm,2.5,over,-137,1.72992700729927,SportsGameOdds
tSxQa9NoqeFwjA0GKyzG,M'gladbach vs Augsburg,Bundesliga,2026-01-11T14:30:00.000Z,Bovada,bovada,2.5,over,-120,1.8333333333333335,SportsGameOdds
tSxQa9NoqeFwjA0GKyzG,M'gladbach vs Augsburg,Bundesliga,2026-01-11T14:30:00.000Z,BetPARX,betparx,2.5,under,+104,2.04,SportsGameOdds
tSxQa9NoqeFwjA0GKyzG,M'gladbach vs Augsburg,Bundesliga,2026-01-11T14:30:00.000Z,BetRivers,betrivers,2.5,under,+102,2.02,SportsGameOdds
tSxQa9NoqeFwjA0GKyzG,M'gladbach vs Augsburg,Bundesliga,2026-01-11T14:30:00.000Z,BetMGM,betmgm,2.5,under,-102,1.9803921568627452,SportsGameOdds
tSxQa9NoqeFwjA0GKyzG,M'gladbach vs Augsburg,Bundesliga,2026-01-11T14:30:00.000Z,Bovada,bovada,2.5,under,+100,2.0,SportsGameOdds
