Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Score_Final,Todas_Las_Cuotas
Melbourne Victory vs Sydney FC,2026-01-26 01:40:00,1X,1.4081,1.3433,,,,,0.0002916526109107216,32,0.01748101079525877,0.01270700704675128,betfair_ex_uk,32,0.0648,2.35,1.79,A-League,Doble Chance,2.7933,betfair_ex_uk:1.4081; betfair_ex_au:1.4081; betfair_ex_eu:1.4081; smarkets:1.3853; pinnacle:1.3704; coral:1.3655; pointsbetau:1.3655; coolbet:1.3648; draftkings:1.353; codere_it:1.3509; unibet_uk:1.3509; bovada:1.3506; ladbrokes_uk:1.3461; betmgm:1.3461; leovegas_se:1.3429; leovegas:1.3429; unibet:1.339; casumo:1.3351; grosvenor:1.3351; unibet_nl:1.3351; unibet_se:1.3351; tabtouch:1.3351; tab:1.3319; marathonbet:1.328; nordicbet:1.3273; betsson:1.3273; sport888:1.3171; williamhill:1.3171; paddypower:1.3125; winamax_de:1.2982; virginbet:1.2867; winamax_fr:1.2645
Melbourne Victory vs Sydney FC,2026-01-26 01:40:00,X2,1.7804,1.6585,,,,,0.0002925391145668983,32,0.019690079587729357,0.013709849798003566,smarkets,32,0.1219,3.29,2.04,A-League,Doble Chance,2.3284,smarkets:1.7804; betfair_ex_uk:1.7623; betfair_ex_au:1.7623; betfair_ex_eu:1.7623; pinnacle:1.7252; draftkings:1.6908; coolbet:1.6908; paddypower:1.6716; nordicbet:1.669; betsson:1.669; coral:1.6657; pointsbetau:1.6657; marathonbet:1.6551; bovada:1.6549; leovegas_se:1.6549; unibet:1.6549; leovegas:1.6549; codere_it:1.6439; tab:1.6439; unibet_uk:1.6439; casumo:1.6405; grosvenor:1.6405; unibet_nl:1.6405; unibet_se:1.6405; tabtouch:1.6405; ladbrokes_uk:1.6364; betmgm:1.6364; sport888:1.5938; williamhill:1.5938; winamax_de:1.5795; virginbet:1.5795; winamax_fr:1.5293
