Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Union Berlin vs 1. FC Heidenheim,2025-11-29 09:30:00,Bundesliga,Goles (Over/Under),Over 2.5,1.89,pinnacle,3,0.7491,0.0333,1.54,2.91,1.8567,pinnacle:1.89; codere_it:1.86; betsson:1.82
Union Berlin vs 1. FC Heidenheim,2025-11-29 09:30:00,Bundesliga,Goles (Over/Under),Under 2.5,2.0,pinnacle,3,0.7491,0.0467,1.88,2.91,1.9533,pinnacle:2.0; betsson:1.95; codere_it:1.91
Brentford vs Burnley,2025-11-29 10:00:00,EPL,Goles (Over/Under),Over 2.5,1.87,pinnacle,3,0.6107,0.0333,1.28,2.98,1.8367,pinnacle:1.87; betsson:1.82; codere_it:1.82
Brentford vs Burnley,2025-11-29 10:00:00,EPL,Goles (Over/Under),Under 2.5,2.02,pinnacle,3,0.6107,0.0333,1.26,2.98,1.9867,pinnacle:2.02; betsson:1.98; codere_it:1.96
Barcelona vs Alavés,2025-11-29 10:15:00,La Liga,Goles (Over/Under),Over 3.5,1.97,pinnacle,3,0.5634,0.01,0.42,3.39,1.96,pinnacle:1.97; codere_it:1.96; betsson:1.95
Barcelona vs Alavés,2025-11-29 10:15:00,La Liga,Goles (Over/Under),Under 3.5,1.9,pinnacle,3,0.5634,0.0567,2.18,3.39,1.8433,pinnacle:1.9; betsson:1.82; codere_it:1.81
Sunderland vs Bournemouth,2025-11-29 10:00:00,EPL,Goles (Over/Under),Over 2.5,1.98,pinnacle,3,0.5478,0.0333,1.47,3.14,1.9467,pinnacle:1.98; betsson:1.95; codere_it:1.91
Sunderland vs Bournemouth,2025-11-29 10:00:00,EPL,Goles (Over/Under),Under 2.5,1.9,pinnacle,3,0.5478,0.03,1.16,3.14,1.87,pinnacle:1.9; codere_it:1.86; betsson:1.85
Union Berlin vs 1. FC Heidenheim,2025-11-29 09:30:00,Bundesliga,Doble Chance,1X,1.18,marathonbet,5,0.5437,0.015,0.86,3.09,1.165,marathonbet:1.18; pinnacle:1.17; bwin:1.165; codere_it:1.16; betsson:1.15
Brisbane Roar vs Melbourne Victory,2025-11-28 03:35:00,A-League,Goles (Over/Under),Over 2.5,1.92,pinnacle,3,0.5372,0.0367,1.52,4.17,1.8833,pinnacle:1.92; betsson:1.88; codere_it:1.85
