group,n,bd_min,bd_max,sum_contribs,rendimiento,mean_net
1,8,3.8e-05,4.8e-05,4.36,-3.64,-0.455
2,8,5e-05,6.6e-05,5.53,-2.47,-0.30875
3,8,6.6e-05,7e-05,5.65,-2.35,-0.29375
4,8,7.2e-05,7.8e-05,11.59,3.59,0.44875
5,8,7.9e-05,8.6e-05,3.84,-4.16,-0.52
6,8,8.6e-05,9.6e-05,3.43,-4.57,-0.57125
7,8,9.7e-05,0.000106,10.9,2.9,0.3625
8,8,0.000107,0.00012,10.1,2.1,0.2625
9,8,0.000122,0.000143,7.17,-0.83,-0.10375
10,8,0.000148,0.000218,11.14,3.14,0.3925
