Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Andorra CF vs Deportivo La Coruña,2025-12-20 08:00:00,La Liga 2,Goles (Over/Under),Over 2.5,1.96,pinnacle,3,1.3604,0.0533,1.98,2.83,1.9067,pinnacle:1.96; betsson:1.88; codere_it:1.88
Andorra CF vs Deportivo La Coruña,2025-12-20 08:00:00,La Liga 2,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,1.3604,0.0833,3.26,2.83,1.8467,pinnacle:1.93; betsson:1.82; codere_it:1.79
Torku Konyaspor vs Kayserispor,2025-12-20 06:30:00,Super League,Goles (Over/Under),Over 2.5,1.87,pinnacle,3,1.1812,0.0567,2.48,2.98,1.8133,pinnacle:1.87; betsson:1.81; codere_it:1.76
Torku Konyaspor vs Kayserispor,2025-12-20 06:30:00,Super League,Goles (Over/Under),Under 2.5,2.02,pinnacle,3,1.1812,0.07,2.55,2.98,1.95,pinnacle:2.02; codere_it:1.92; betsson:1.91
Lazio vs Cremonese,2025-12-20 12:00:00,Serie A,Goles (Over/Under),Over 2.5,2.08,pinnacle,3,1.114,0.0767,2.77,2.72,2.0033,pinnacle:2.08; betsson:1.98; codere_it:1.95
Lazio vs Cremonese,2025-12-20 12:00:00,Serie A,Goles (Over/Under),Under 2.5,1.83,pinnacle,3,1.114,0.0367,2.51,2.72,1.7933,pinnacle:1.83; betsson:1.82; codere_it:1.73
Wolverhampton Wanderers vs Brentford,2025-12-20 10:00:00,EPL,Goles (Over/Under),Over 2.5,2.05,pinnacle,3,1.0459,0.0567,3.02,2.83,1.9933,pinnacle:2.05; betsson:2.02; codere_it:1.91
Wolverhampton Wanderers vs Brentford,2025-12-20 10:00:00,EPL,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,1.0459,0.05,1.98,2.83,1.8,pinnacle:1.85; betsson:1.78; codere_it:1.77
VfL Wolfsburg vs SC Freiburg,2025-12-20 09:30:00,Bundesliga,Goles (Over/Under),Over 2.5,1.85,pinnacle,3,1.0389,0.0467,2.57,2.83,1.8033,pinnacle:1.85; betsson:1.82; codere_it:1.74
VfL Wolfsburg vs SC Freiburg,2025-12-20 09:30:00,Bundesliga,Goles (Over/Under),Under 2.5,2.05,pinnacle,3,1.0389,0.06,2.28,2.83,1.99,pinnacle:2.05; betsson:1.98; codere_it:1.94
