Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Snapshot_Date,Todas_Las_Cuotas,Score,Total_Goles,Acerto,Bookmaker
Hatayspor vs Galatasaray,2025-01-17 12:00:00,Under 3.5,1.86,1.79,6.162883570508218e-05,10.0,0.011087347770179,0.0088670313790104,0.0001375382438267,10.0,0.016456708899502,0.0138844772626228,matchbook,10.0,0.07,0.0523,6.4,Süper Lig,Goles (Over/Under),2025-01-17,matchbook:1.8600; onexbet:1.8500; betus:1.8400; tipico_de:1.8300; nordicbet:1.7900; betsson:1.7900; coolbet:1.7800; betrivers:1.7200; unibet_eu:1.7200; unibet:1.7200,1-1,2.0,Sí,
Hatayspor vs Galatasaray,2025-01-17 12:00:00,Over 3.5,2.12,2.001,6.162883570508218e-05,10.0,0.011087347770179,0.0088670313790103,0.0001265066329692,10.0,0.015900341012488,0.0123442339598965,matchbook,10.0,0.119,0.0633,5.31,Süper Lig,Goles (Over/Under),2025-01-17,matchbook:2.1200; onexbet:2.0600; betrivers:2.0200; unibet_eu:2.0200; unibet:2.0200; coolbet:2.0100; nordicbet:1.9800; betsson:1.9800; tipico_de:1.9000; betus:1.9000,1-1,2.0,No,
Hatayspor vs Galatasaray,2025-01-17 12:00:00,Over 3.25,1.89,1.845,3.895640498117624e-05,4.0,0.0088218225041952,0.0074398386476493,2.8377159448879992e-05,4.0,0.0075117131042105,0.0065053343741867,bovada,4.0,0.045,0.026,4.72,Süper Lig,Goles (Over/Under),2025-01-17,bovada:1.8900; pinnacle:1.8300; betonlineag:1.8300; lowvig:1.8300,1-1,2.0,No,
Hatayspor vs Galatasaray,2025-01-17 12:00:00,Under 3.25,2.05,2.0,3.895640498117624e-05,4.0,0.0088218225041951,0.0074398386476493,6.123546658773506e-05,4.0,0.0110649476930318,0.0089467989258811,pinnacle,4.0,0.05,0.0436,3.43,Süper Lig,Goles (Over/Under),2025-01-17,pinnacle:2.0500; betonlineag:2.0100; lowvig:2.0100; bovada:1.9300,1-1,2.0,Sí,
Fortuna Düsseldorf vs SV Darmstadt 98,2025-01-17 12:30:00,Under 2.5,2.2,2.1533,8.145105753063733e-06,9.0,0.0040015487703275,0.0033393464385539,7.073078251975074e-06,9.0,0.0037496601434236,0.0021958983999963,tipico_de,9.0,0.0467,0.0176,7.95,Bundesliga 2,Goles (Over/Under),2025-01-17,tipico_de:2.2000; betsson:2.1500; nordicbet:2.1500; williamhill:2.1500; unibet:2.1500; unibet_eu:2.1500; betrivers:2.1500; playup:2.1500; onexbet:2.1300,2-2,4.0,No,
Fortuna Düsseldorf vs SV Darmstadt 98,2025-01-17 12:30:00,Over 2.5,1.7,1.6522,8.145105753063733e-06,9.0,0.0040015487703275,0.0033393464385539,4.9904873110606006e-05,9.0,0.009759889947848,0.0074037595716852,williamhill,9.0,0.0478,0.0266,5.77,Bundesliga 2,Goles (Over/Under),2025-01-17,williamhill:1.7000; playup:1.6800; betsson:1.6600; nordicbet:1.6600; tipico_de:1.6500; unibet:1.6400; unibet_eu:1.6400; betrivers:1.6400; onexbet:1.6000,2-2,4.0,Sí,
Jahn Regensburg vs Hannover 96,2025-01-17 12:30:00,Under 2.5,1.98,1.8847,1.5547025557434274e-05,15.0,0.005576025210505,0.005018821988755,8.660110281896342e-05,15.0,0.0131376686258288,0.0122219676399015,matchbook,15.0,0.0953,0.0472,4.56,Bundesliga 2,Goles (Over/Under),2025-01-17,matchbook:1.9800; pinnacle:1.9500; lowvig:1.9300; betonlineag:1.9300; onexbet:1.9100; bovada:1.9100; williamhill:1.9100; tipico_de:1.8500; betsson:1.8500; nordicbet:1.8500; coolbet:1.8500; playup:1.8500; unibet:1.8400; unibet_eu:1.8300; betrivers:1.8300,0-1,1.0,Sí,
Fortuna Düsseldorf vs SV Darmstadt 98,2025-01-17 12:30:00,Over 2.75,1.88,1.8625,1.1972596290874194e-05,4.0,0.0048907746894757,0.0044900786698526,1.5745688810254825e-05,4.0,0.0055937937648889,0.0047388315125651,pinnacle,4.0,0.0175,0.0192,4.47,Bundesliga 2,Goles (Over/Under),2025-01-17,pinnacle:1.8800; lowvig:1.8700; betonlineag:1.8700; bovada:1.8300,2-2,4.0,Sí,
Fortuna Düsseldorf vs SV Darmstadt 98,2025-01-17 12:30:00,Under 2.75,2.01,1.9775,1.1972596290874194e-05,4.0,0.0048907746894757,0.0044900786698526,2.511703270712223e-05,4.0,0.0070869306852622,0.0070321469575201,pinnacle,4.0,0.0325,0.0277,4.4,Bundesliga 2,Goles (Over/Under),2025-01-17,pinnacle:2.0100; bovada:2.0000; lowvig:1.9500; betonlineag:1.9500,2-2,4.0,No,
Jahn Regensburg vs Hannover 96,2025-01-17 12:30:00,Over 2.5,2.0,1.902,1.5547025557434274e-05,15.0,0.005576025210505,0.005018821988755,3.844590251658319e-05,15.0,0.0087604631420497,0.0058424340632608,matchbook,15.0,0.098,0.0325,4.64,Bundesliga 2,Goles (Over/Under),2025-01-17,matchbook:2.0000; pinnacle:1.9300; coolbet:1.9300; bovada:1.9100; tipico_de:1.9000; betsson:1.9000; nordicbet:1.9000; playup:1.9000; onexbet:1.8900; lowvig:1.8900; betonlineag:1.8900; unibet:1.8800; unibet_eu:1.8800; betrivers:1.8800; williamhill:1.8500,0-1,1.0,No,
Hannover 96 vs Erzgebirge Aue,2025-01-17 13:00:00,Under 2.75,2.04,2.0175,8.200129403876601e-06,4.0,0.004044583215798,0.0034917659659927,4.799418171156153e-05,4.0,0.0097966674636249,0.0084841628959276,pinnacle,4.0,0.0225,0.039,4.58,3. Liga,Goles (Over/Under),2025-01-17,pinnacle:2.0400; lowvig:2.0400; betonlineag:2.0400; bovada:1.9500,2-1,3.0,No,
Hannover 96 vs Erzgebirge Aue,2025-01-17 13:00:00,Over 2.75,1.84,1.815,8.200129403876601e-06,4.0,0.004044583215798,0.0034917659659928,1.031793479513895e-05,4.0,0.0045207063884848,0.0037616435796835,pinnacle,4.0,0.025,0.015,5.63,3. Liga,Goles (Over/Under),2025-01-17,pinnacle:1.8400; lowvig:1.8100; betonlineag:1.8100; bovada:1.8000,2-1,3.0,Sí,
Hannover 96 vs Erzgebirge Aue,2025-01-17 13:00:00,Under 2.5,2.25,2.2,9.625930595006174e-06,5.0,0.0043377682986751,0.0036649506928276,2.1551358013341416e-05,5.0,0.0065380209706921,0.0041907446558609,tipico_de,5.0,0.05,0.0316,6.94,3. Liga,Goles (Over/Under),2025-01-17,tipico_de:2.2500; betsson:2.2000; nordicbet:2.2000; coolbet:2.2000; playup:2.1500,2-1,3.0,No,
Hannover 96 vs Erzgebirge Aue,2025-01-17 13:00:00,Over 2.5,1.63,1.622,9.625930595006174e-06,5.0,0.0043377682986751,0.0036649506928276,1.0592366178856054e-05,5.0,0.0044700050159257,0.0036696205407861,betsson,5.0,0.008,0.0117,7.86,3. Liga,Goles (Over/Under),2025-01-17,betsson:1.6300; nordicbet:1.6300; playup:1.6300; tipico_de:1.6200; coolbet:1.6000,2-1,3.0,Sí,
Montpellier vs AS Monaco,2025-01-17 13:00:00,Over 3.5,2.28,2.1822,1.638364212038926e-05,9.0,0.0056871006022337,0.0035741476466398,8.628261261881933e-05,9.0,0.0130966292648192,0.0094068968322904,matchbook,9.0,0.0978,0.0612,3.38,Ligue 1,Goles (Over/Under),2025-01-17,matchbook:2.2800; onexbet:2.2500; nordicbet:2.2000; betsson:2.2000; unibet:2.1700; betrivers:2.1700; unibet_eu:2.1700; playup:2.1500; tipico_de:2.0500,2-1,3.0,No,
Montpellier vs AS Monaco,2025-01-17 13:00:00,Under 3.5,1.76,1.7056,1.638364212038926e-05,9.0,0.0056871006022337,0.0035741476466397,4.589373709523468e-05,9.0,0.009450488291133,0.0074083505456054,matchbook,9.0,0.0544,0.0279,5.6,Ligue 1,Goles (Over/Under),2025-01-17,matchbook:1.7600; onexbet:1.7500; tipico_de:1.7000; unibet:1.7000; betrivers:1.7000; unibet_eu:1.7000; nordicbet:1.6800; betsson:1.6800; playup:1.6800,2-1,3.0,Sí,
Montpellier vs AS Monaco,2025-01-17 13:00:00,Over 3.25,2.02,1.938,3.8018109824848e-05,5.0,0.0087183980465642,0.0084884087854738,0.0001025483216869,5.0,0.0143126365672051,0.0130767619416699,pinnacle,5.0,0.082,0.0542,3.56,Ligue 1,Goles (Over/Under),2025-01-17,pinnacle:2.0200; bovada:1.9800; betonlineag:1.9100; lowvig:1.9100; betus:1.8700,2-1,3.0,No,
Montpellier vs AS Monaco,2025-01-17 13:00:00,Under 3.25,1.91,1.89,3.8018109824848e-05,5.0,0.0087183980465642,0.0084884087854738,1.930483432757275e-05,5.0,0.0062006179744055,0.0045472548090348,betonlineag,5.0,0.02,0.0219,5.83,Ligue 1,Goles (Over/Under),2025-01-17,betonlineag:1.9100; lowvig:1.9100; pinnacle:1.8900; betus:1.8900; bovada:1.8500,2-1,3.0,Sí,
AC Ajaccio vs Caen,2025-01-17 14:00:00,Over 2.5,2.48,2.338,4.507734679148179e-05,10.0,0.0093127792184053,0.0085169452799888,9.460695961036828e-05,10.0,0.0136049341757527,0.0120717699118674,matchbook,10.0,0.142,0.0748,5.68,Ligue 2,Goles (Over/Under),2025-01-17,matchbook:2.4800; williamhill:2.4000; betrivers:2.3800; unibet:2.3800; unibet_eu:2.3800; onexbet:2.3300; playup:2.2800; betsson:2.2500; nordicbet:2.2500; tipico_de:2.2500,2-1,3.0,Sí,
