Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Snapshot_Date,Todas_Las_Cuotas,Score,Total_Goles,Acerto,Bookmaker
Stal Mielec vs Jagiellonia Białystok,2025-02-07 12:00:00,Under 2.75,2.01,1.966,3.575950220945422e-05,5.0,0.0084541202197228,0.0074753366091489,9.73480512218054e-05,5.0,0.0139434804731169,0.0118171790164766,pinnacle,5.0,0.044,0.0524,4.4,Ekstraklasa,Goles (Over/Under),2025-02-07,pinnacle:2.0100; lowvig:2.0000; betonlineag:2.0000; bovada:1.9500; betus:1.8700,2-1,3.0,No,
Samsunspor vs Hatayspor,2025-02-07 12:00:00,Under 2.5,2.4,2.2457,1.8623943509863843e-05,7.0,0.0060261419210567,0.0058850643800785,0.0001182548564523,7.0,0.0152672756445368,0.0128588976445409,matchbook,7.0,0.1543,0.0787,3.78,Süper Lig,Goles (Over/Under),2025-02-07,matchbook:2.4000; onexbet:2.2900; nordicbet:2.2600; betsson:2.2600; betrivers:2.1700; unibet_eu:2.1700; unibet:2.1700,2-0,2.0,Sí,
Samsunspor vs Hatayspor,2025-02-07 12:00:00,Over 2.5,1.7,1.6386,1.8623943509863843e-05,7.0,0.0060261419210566,0.0058850643800785,9.056206792304244e-05,7.0,0.0131587313819933,0.0117722204550246,onexbet,7.0,0.0614,0.036,4.91,Süper Lig,Goles (Over/Under),2025-02-07,onexbet:1.7000; matchbook:1.6900; betrivers:1.6200; unibet_eu:1.6200; unibet:1.6200; nordicbet:1.6100; betsson:1.6100,2-0,2.0,No,
Samsunspor vs Hatayspor,2025-02-07 12:00:00,Over 2.75,1.86,1.8525,2.2356360607985896e-06,4.0,0.0021129376004325,0.0018298576385859,7.966456205211193e-07,4.0,0.0012583920426975,0.0010897994768962,pinnacle,4.0,0.0075,0.0043,4.27,Süper Lig,Goles (Over/Under),2025-02-07,pinnacle:1.8600; bovada:1.8500; lowvig:1.8500; betonlineag:1.8500,2-0,2.0,No,
Samsunspor vs Hatayspor,2025-02-07 12:00:00,Under 2.75,2.03,1.9925,2.2356360607985896e-06,4.0,0.0021129376004325,0.0018298576385859,1.450803873659392e-05,4.0,0.0053865340833484,0.0046648753545305,pinnacle,4.0,0.0375,0.0217,3.32,Süper Lig,Goles (Over/Under),2025-02-07,pinnacle:2.0300; bovada:1.9800; lowvig:1.9800; betonlineag:1.9800,2-0,2.0,Sí,
Stal Mielec vs Jagiellonia Białystok,2025-02-07 12:00:00,Over 2.75,1.87,1.854,3.575950220945422e-05,5.0,0.0084541202197228,0.0074753366091489,1.6504672602024464e-05,5.0,0.0057262844283526,0.0056105899886035,pinnacle,5.0,0.016,0.0196,6.95,Ekstraklasa,Goles (Over/Under),2025-02-07,pinnacle:1.8700; bovada:1.8700; betus:1.8700; lowvig:1.8300; betonlineag:1.8300,2-1,3.0,Sí,
Stal Mielec vs Jagiellonia Białystok,2025-02-07 12:00:00,Under 2.5,2.36,2.1544,2.570464639486913e-05,9.0,0.0071039413204893,0.0057327154806054,0.0001199540284055,9.0,0.0154049905287622,0.0099662740541787,matchbook,9.0,0.2056,0.0765,4.1,Ekstraklasa,Goles (Over/Under),2025-02-07,matchbook:2.3600; onexbet:2.1700; tipico_de:2.1500; playup:2.1500; betsson:2.1300; nordicbet:2.1300; betrivers:2.1000; unibet:2.1000; unibet_eu:2.1000,2-1,3.0,No,
Stal Mielec vs Jagiellonia Białystok,2025-02-07 12:00:00,Over 2.5,1.71,1.6633,2.570464639486913e-05,9.0,0.0071039413204893,0.0057327154806054,3.319665074163825e-05,9.0,0.0079788734657985,0.0053402803217608,matchbook,9.0,0.0467,0.0221,6.1,Ekstraklasa,Goles (Over/Under),2025-02-07,matchbook:1.7100; betrivers:1.6700; unibet:1.6700; unibet_eu:1.6700; onexbet:1.6600; betsson:1.6600; nordicbet:1.6600; playup:1.6500; tipico_de:1.6200,2-1,3.0,Sí,
SC Preußen Münster vs Hamburger SV,2025-02-07 12:30:00,Over 2.5,1.68,1.6467,3.4651745969945806e-06,9.0,0.0026077610753793,0.0025182036168152,1.560322643470983e-05,9.0,0.0054606034417444,0.0041067014482147,onexbet,9.0,0.0333,0.0149,6.04,Bundesliga 2,Goles (Over/Under),2025-02-07,onexbet:1.6800; betsson:1.6500; nordicbet:1.6500; tipico_de:1.6500; williamhill:1.6500; playup:1.6500; unibet_eu:1.6300; betrivers:1.6300; unibet:1.6300,1-2,3.0,Sí,
SC Preußen Münster vs Hamburger SV,2025-02-07 12:30:00,Under 2.5,2.2,2.1733,3.4651745969945806e-06,9.0,0.0026077610753793,0.0025182036168152,5.97054738880956e-06,9.0,0.0034440598908679,0.0028087165493331,tipico_de,9.0,0.0267,0.0163,6.8,Bundesliga 2,Goles (Over/Under),2025-02-07,tipico_de:2.2000; playup:2.2000; onexbet:2.1800; unibet_eu:2.1700; betrivers:2.1700; unibet:2.1700; betsson:2.1600; nordicbet:2.1600; williamhill:2.1500,1-2,3.0,No,
Greuther Fürth vs Jahn Regensburg,2025-02-07 12:30:00,Over 2.5,1.97,1.92,3.2621091307976186e-05,15.0,0.0080758831723671,0.0066346340378338,2.642204670112628e-05,15.0,0.0072627302561123,0.0058057737283843,pinnacle,15.0,0.05,0.0268,6.63,Bundesliga 2,Goles (Over/Under),2025-02-07,pinnacle:1.9700; matchbook:1.9700; coolbet:1.9300; playup:1.9300; bovada:1.9300; betrivers:1.9300; unibet_eu:1.9300; unibet:1.9300; onexbet:1.9200; williamhill:1.9100; betonlineag:1.9000; lowvig:1.9000; betsson:1.8900; nordicbet:1.8900; tipico_de:1.8700,2-1,3.0,Sí,
SC Preußen Münster vs Hamburger SV,2025-02-07 12:30:00,Under 2.75,2.01,1.9525,3.546714863531821e-05,4.0,0.0084207063362143,0.0084201977353728,6.56409408390943e-05,4.0,0.0114537482449063,0.0111393689966792,pinnacle,4.0,0.0575,0.0438,3.81,Bundesliga 2,Goles (Over/Under),2025-02-07,pinnacle:2.0100; bovada:1.9800; betonlineag:1.9100; lowvig:1.9100,1-2,3.0,No,
SC Preußen Münster vs Hamburger SV,2025-02-07 12:30:00,Over 2.75,1.91,1.8875,3.546714863531821e-05,4.0,0.0084207063362143,0.0084201977353728,2.4810012914366084e-05,4.0,0.0070296984751555,0.0063337538273485,betonlineag,4.0,0.0225,0.0249,4.71,Bundesliga 2,Goles (Over/Under),2025-02-07,betonlineag:1.9100; lowvig:1.9100; pinnacle:1.8800; bovada:1.8500,1-2,3.0,Sí,
Greuther Fürth vs Jahn Regensburg,2025-02-07 12:30:00,Under 2.5,2.02,1.8687,3.2621091307976186e-05,15.0,0.008075883172367,0.0066346340378338,0.0001455092798934,15.0,0.0170179725273446,0.0139948658993797,matchbook,15.0,0.1513,0.0605,2.98,Bundesliga 2,Goles (Over/Under),2025-02-07,matchbook:2.0200; pinnacle:1.9200; betonlineag:1.9200; lowvig:1.9200; tipico_de:1.9000; bovada:1.8900; onexbet:1.8800; betsson:1.8500; nordicbet:1.8500; coolbet:1.8500; williamhill:1.8300; playup:1.8300; betrivers:1.7900; unibet_eu:1.7900; unibet:1.7900,2-1,3.0,No,
SV Sandhausen vs Arminia Bielefeld,2025-02-07 13:00:00,Under 3.0,1.85,1.812,1.5202069011440274e-06,5.0,0.0017416005632566,0.0013697344195647,4.62557776233938e-05,5.0,0.0095626405029192,0.0090748065485118,pinnacle,5.0,0.038,0.0312,5.6,3. Liga,Goles (Over/Under),2025-02-07,pinnacle:1.8500; betonlineag:1.8300; lowvig:1.8300; bovada:1.7800; coolbet:1.7700,1-0,1.0,Sí,
SV Sandhausen vs Arminia Bielefeld,2025-02-07 13:00:00,Over 2.5,1.61,1.6,3.017610929759389e-05,6.0,0.007669911237669,0.006323332188741,8.2607627129002e-06,6.0,0.0039312034399688,0.0026289409544775,betsson,6.0,0.01,0.01,9.28,3. Liga,Goles (Over/Under),2025-02-07,betsson:1.6100; nordicbet:1.6100; tipico_de:1.6000; unibet_eu:1.6000; unibet:1.6000; playup:1.5800,1-0,1.0,No,
Nantes vs Brest,2025-02-07 13:00:00,Under 2.25,1.93,1.914,1.1482388358506862e-05,5.0,0.0047920272374778,0.0037504716281238,8.411106281889005e-06,5.0,0.0040969862032054,0.0034906884593562,pinnacle,5.0,0.016,0.015,5.29,Ligue 1,Goles (Over/Under),2025-02-07,pinnacle:1.9300; betus:1.9300; lowvig:1.9100; betonlineag:1.9100; bovada:1.8900,0-2,2.0,Sí,
Nantes vs Brest,2025-02-07 13:00:00,Over 2.25,1.97,1.918,1.1482388358506862e-05,5.0,0.0047920272374778,0.0037504716281238,3.892039498129696e-05,5.0,0.0088140389496128,0.0069210215681796,pinnacle,5.0,0.052,0.0325,3.67,Ligue 1,Goles (Over/Under),2025-02-07,pinnacle:1.9700; bovada:1.9300; lowvig:1.9100; betonlineag:1.9100; betus:1.8700,0-2,2.0,No,
