strategy,bets,hits,misses,hit_rate,profit_total,roi,avg_odds,avg_bdi,over_share
BDI weekend top8 cuota mayor,120,50,70,0.4166666666666667,-7.62,-0.0635,2.478416666666667,0.0005351738053977841,0.6
BDI weekend top9 cuota mayor,135,57,78,0.4222222222222222,-7.240000000000001,-0.05362962962962964,2.450296296296296,0.00048550913662999347,0.5851851851851851
