top_n,segment,bets,hits,misses,hit_rate,profit_total,roi,avg_odds,avg_bdi,weeks
8,selected,22,11,11,0.5,3.0700000000000007,0.13954545454545458,2.2754545454545454,0.0001593964466549909,12
8,rest_same_weeks,201,72,129,0.3582089552238806,-38.09,-0.18950248756218907,2.2734328358208957,3.29689377095542e-05,12
8,all_same_weeks,223,83,140,0.3721973094170404,-35.019999999999996,-0.1570403587443946,2.273632286995516,4.544160675349862e-05,12
9,selected,25,13,12,0.52,4.57,0.18280000000000002,2.2763999999999998,0.00015095405191441183,12
9,rest_same_weeks,198,70,128,0.35353535353535354,-39.589999999999996,-0.19994949494949493,2.273282828282828,3.211932832409039e-05,12
9,all_same_weeks,223,83,140,0.3721973094170404,-35.019999999999996,-0.1570403587443946,2.273632286995516,4.544160675349862e-05,12
