rule,n,hit_rate,roi,hit_lift,roi_lift
confianza_calibrada <= 51.1500 AND edge_pct >= 2.3121 AND Mercado == Under 2.5,44,0.5681818181818182,0.1393181818181818,0.02050455656812633,0.20715901311402535
p_win_calibrada <= 0.5115 AND edge_pct >= 2.3121 AND Mercado == Under 2.5,44,0.5681818181818182,0.1393181818181818,0.02050455656812633,0.20715901311402535
diferencia_cuota_promedio >= 0.0416 AND num_casas <= 2.0000 AND source_group == historico_maestro,45,0.5333333333333333,0.13822222222222225,-0.014343928280358575,0.20606305351806578
mejor_cuota <= 1.5100 AND volatilidad_pct >= 1.8700 AND num_casas >= 4.0000,37,0.8648648648648649,0.13805135135135133,0.317187603251173,0.20589218264719486
mejor_cuota <= 1.5100 AND volatilidad_pct >= 1.8700 AND edge_pct >= 2.3121,41,0.8536585365853658,0.1360463414634146,0.30598127497167393,0.20388717275925813
bdi_jsd <= 0.0000 AND edge_pct <= 0.8547 AND source_group == analisis_mercados,31,0.5483870967741935,0.13483870967741934,0.000709835160501604,0.20267954097326288
volatilidad_pct >= 1.8700 AND num_casas <= 2.0000 AND market_family == totals,95,0.5684210526315789,0.13210526315789473,0.020743791017887037,0.19994609445373826
volatilidad_pct >= 1.8700 AND num_casas <= 2.0000 AND Tipo_Mercado == Goles (Over/Under),95,0.5684210526315789,0.13210526315789473,0.020743791017887037,0.19994609445373826
volatilidad_pct >= 1.8700 AND Mejor_Casa == betsson,76,0.5,0.13118421052631582,-0.0476772616136919,0.19902504182215935
diferencia_cuota_promedio >= 0.0416 AND num_casas <= 2.0000 AND confianza_calibrada <= 51.1500,44,0.5227272727272727,0.12750000000000003,-0.024949988886419194,0.19534083129584356
diferencia_cuota_promedio >= 0.0416 AND num_casas <= 2.0000 AND p_win_calibrada <= 0.5115,44,0.5227272727272727,0.12750000000000003,-0.024949988886419194,0.19534083129584356
diferencia_cuota_promedio >= 0.0416 AND market_family == totals AND Mejor_Casa == betsson,37,0.5135135135135135,0.12675675675675677,-0.034163748100178415,0.1945975880526003
diferencia_cuota_promedio >= 0.0416 AND Tipo_Mercado == Goles (Over/Under) AND Mejor_Casa == betsson,37,0.5135135135135135,0.12675675675675677,-0.034163748100178415,0.1945975880526003
volatilidad_pct >= 1.8700 AND num_casas <= 2.0000 AND confianza_calibrada <= 51.1500,67,0.5373134328358209,0.12567164179104479,-0.01036382877787101,0.19351247308688832
volatilidad_pct >= 1.8700 AND num_casas <= 2.0000 AND p_win_calibrada <= 0.5115,67,0.5373134328358209,0.12567164179104479,-0.01036382877787101,0.19351247308688832
score_final >= 0.4409 AND volatilidad_pct >= 1.8700 AND Mercado == Under 2.5,71,0.5774647887323944,0.124225352112676,0.029787527118702473,0.19206618340851955
diferencia_cuota_promedio >= 0.0416 AND confianza_calibrada <= 51.1500 AND Mercado == Under 2.5,54,0.5555555555555556,0.12296296296296294,0.007878293941863679,0.19080379425880648
diferencia_cuota_promedio >= 0.0416 AND p_win_calibrada <= 0.5115 AND Mercado == Under 2.5,54,0.5555555555555556,0.12296296296296294,0.007878293941863679,0.19080379425880648
mejor_cuota >= 2.0200 AND volatilidad_pct >= 1.8700 AND Mercado == Over 2.5,39,0.5128205128205128,0.12256410256410255,-0.034856748793179126,0.19040493385994608
score_final >= 0.4409 AND mejor_cuota <= 1.5100 AND volatilidad_pct >= 1.8700,33,0.8484848484848485,0.1201181818181818,0.3008075868711566,0.18795901311402535
diferencia_cuota_promedio >= 0.0416 AND num_casas <= 2.0000 AND market_family == totals,53,0.5283018867924528,0.12000000000000002,-0.019375374821239078,0.18784083129584356
diferencia_cuota_promedio >= 0.0416 AND num_casas <= 2.0000 AND Tipo_Mercado == Goles (Over/Under),53,0.5283018867924528,0.12000000000000002,-0.019375374821239078,0.18784083129584356
edge_pct >= 2.3121 AND Mercado == Under 2.5 AND Mejor_Casa == pinnacle,66,0.5757575757575758,0.12,0.0280803141438839,0.18784083129584353
diferencia_cuota_promedio >= 0.0416 AND num_casas >= 4.0000 AND source_group == historico_maestro,126,0.5238095238095238,0.11884682539682538,-0.023867737804168065,0.1866876566926689
volatilidad_pct >= 1.8700 AND Mercado == Under 2.5 AND Mejor_Casa == pinnacle,76,0.5789473684210527,0.11868421052631578,0.031270106807360754,0.18652504182215932
diferencia_cuota_promedio >= 0.0416 AND num_casas >= 4.0000 AND Mejor_Casa == pinnacle,108,0.5833333333333334,0.11639907407407407,0.03565607171964147,0.1842399053699176
margen_casa_pct <= 3.5600 AND Mercado == 1X AND Mejor_Casa == pinnacle,37,0.7297297297297297,0.11513513513513512,0.1820524681160378,0.18297596643097866
mejor_cuota <= 1.5100 AND margen_casa_pct <= 3.5600 AND edge_pct <= 0.8547,31,0.8709677419354839,0.11483870967741934,0.323290480321792,0.1826795409732629
Mercado == Under 2.5 AND source_group == filtro2,39,0.5897435897435898,0.11410256410256413,0.042066328129897856,0.18194339539840765
market_family == totals AND Mercado == Under 2.5 AND source_group == filtro2,39,0.5897435897435898,0.11410256410256413,0.042066328129897856,0.18194339539840765
Mercado == Under 2.5 AND Tipo_Mercado == Goles (Over/Under) AND source_group == filtro2,39,0.5897435897435898,0.11410256410256413,0.042066328129897856,0.18194339539840765
confianza_calibrada >= 60.0100 AND Mercado == X2 AND Mejor_Casa == marathonbet,31,0.8387096774193549,0.11387096774193546,0.29103241580566297,0.181711799037779
p_win_calibrada >= 0.6001 AND Mercado == X2 AND Mejor_Casa == marathonbet,31,0.8387096774193549,0.11387096774193546,0.29103241580566297,0.181711799037779
num_casas >= 4.0000 AND edge_pct >= 2.3121 AND Mercado == X2,121,0.5702479338842975,0.11371239669421487,0.022570672270605607,0.1815532279900584
volatilidad_pct >= 1.8700 AND num_casas <= 2.0000,99,0.5656565656565656,0.11363636363636363,0.017979304042873734,0.18147719493220715
edge_pct <= 0.8547 AND source_group == analisis_mercados,33,0.5454545454545454,0.11272727272727275,-0.0022227161591464872,0.1805681040231163
edge_pct <= 0.8547 AND market_family == totals AND source_group == analisis_mercados,33,0.5454545454545454,0.11272727272727275,-0.0022227161591464872,0.1805681040231163
edge_pct <= 0.8547 AND Tipo_Mercado == Goles (Over/Under) AND source_group == analisis_mercados,33,0.5454545454545454,0.11272727272727275,-0.0022227161591464872,0.1805681040231163
volatilidad_pct >= 1.8700 AND Liga == Super League AND Mejor_Casa == pinnacle,33,0.5757575757575758,0.1127272727272727,0.0280803141438839,0.18056810402311624
mejor_cuota >= 2.0200 AND confianza_calibrada <= 51.1500 AND Mercado == Over 2.5,55,0.509090909090909,0.11181818181818179,-0.03858635252278286,0.17965901311402532
mejor_cuota >= 2.0200 AND p_win_calibrada <= 0.5115 AND Mercado == Over 2.5,55,0.509090909090909,0.11181818181818179,-0.03858635252278286,0.17965901311402532
