bucket,bets,profit,roi,hit_rate,avg_odds,avg_bdi
bottom8,40,4.140000000000001,0.10350000000000001,0.5,2.2337499999999997,3.385746956649037e-05
top8,40,6.09,0.15225,0.525,2.1985,0.00011372431353348398
