rank_desc,bets,hits,hit_rate,profit_total,roi,avg_odds,avg_bdi,avg_margin,misses
1,15,6,0.4,-1.62,-0.10800000000000001,3.96,0.003358924708091573,6.386666666666667,9
2,15,7,0.4666666666666667,0.6000000000000001,0.04000000000000001,2.3006666666666664,0.00020134111420084,7.624,8
3,15,6,0.4,-1.8000000000000003,-0.12000000000000002,2.283333333333333,0.00015757580190209122,7.292142857142857,9
4,15,6,0.4,-1.8399999999999999,-0.12266666666666666,2.272,0.00013514856648583936,7.403333333333333,9
5,15,6,0.4,-1.6600000000000006,-0.1106666666666667,2.258666666666667,0.000123941617806628,7.106,9
6,15,7,0.4666666666666667,0.8000000000000003,0.05333333333333335,2.2366666666666664,0.00010863942201184236,7.2459999999999996,8
7,15,6,0.4,-0.5499999999999994,-0.036666666666666625,2.27,0.00010132923447092283,6.348666666666667,9
8,15,6,0.4,-1.5499999999999998,-0.10333333333333332,2.246,9.448997821253624e-05,6.947333333333333,9
9,15,7,0.4666666666666667,0.3799999999999999,0.025333333333333326,2.2253333333333334,8.819178648766786e-05,6.655,8
10,15,2,0.13333333333333333,-10.55,-0.7033333333333334,2.3426666666666667,8.300623112436162e-05,7.062,13
11,15,5,0.3333333333333333,-3.66,-0.24400000000000002,2.17,7.954681953923467e-05,6.117333333333334,10
12,15,6,0.4,-1.6399999999999997,-0.10933333333333331,2.2053333333333334,7.622421089771461e-05,6.791333333333333,9
13,15,4,0.26666666666666666,-6.43,-0.42866666666666664,2.2513333333333336,7.29600735163717e-05,7.058666666666666,11
14,15,5,0.3333333333333333,-4.2700000000000005,-0.2846666666666667,2.219333333333333,6.908151724352438e-05,7.347333333333334,10
15,15,4,0.26666666666666666,-6.0,-0.4,2.1886666666666668,6.672550878795373e-05,6.3373333333333335,11
16,15,9,0.6,6.53,0.43533333333333335,2.3,6.376334555202633e-05,7.107333333333333,6
17,15,9,0.6,5.53,0.3686666666666667,2.2546666666666666,6.229450619119929e-05,6.146,6
18,15,5,0.3333333333333333,-4.49,-0.29933333333333334,2.177333333333333,5.942593288440846e-05,6.554666666666666,10
19,15,2,0.13333333333333333,-10.61,-0.7073333333333333,2.246,5.788849289572828e-05,6.3693333333333335,13
20,15,6,0.4,-1.9300000000000002,-0.12866666666666668,2.2573333333333334,5.642913781725273e-05,6.801333333333333,9
21,15,6,0.4,-1.6900000000000004,-0.11266666666666669,2.195333333333333,5.47970795905391e-05,6.253333333333333,9
22,15,10,0.6666666666666666,7.380000000000001,0.49200000000000005,2.238,5.224269633578953e-05,6.854,5
23,15,5,0.3333333333333333,-4.1000000000000005,-0.2733333333333334,2.1993333333333336,5.126426012780678e-05,6.268,10
24,15,8,0.5333333333333333,1.81,0.12066666666666667,2.1413333333333333,4.8997308514760714e-05,6.642666666666667,7
25,15,5,0.3333333333333333,-3.66,-0.24400000000000002,2.274,4.7432387239111134e-05,6.433333333333334,10
26,15,8,0.5333333333333333,2.9299999999999997,0.1953333333333333,2.1886666666666668,4.570633635664066e-05,6.455333333333333,7
27,15,7,0.4666666666666667,0.8999999999999999,0.05999999999999999,2.2306666666666666,4.47815073084238e-05,6.717333333333333,8
28,15,6,0.4,-1.3300000000000003,-0.08866666666666669,2.2226666666666666,4.3532840671625e-05,5.588,9
