rank_bucket,Mercado,bets,hits,hit_rate,profit_total,roi,avg_odds,avg_bdi,avg_margin,misses
1-3,Over 2.5,29,11,0.3793103448275862,-4.65,-0.1603448275862069,3.196206896551724,0.0018073991857459229,7.057586206896552,18
1-3,Under 2.5,16,8,0.5,1.8299999999999996,0.11437499999999998,2.216875,0.0002095654985178625,7.172,8
4-8,Over 2.5,43,20,0.46511627906976744,3.6500000000000004,0.08488372093023257,2.3032558139534887,0.00011297710452473289,7.022093023255814,23
4-8,Under 2.5,32,11,0.34375,-8.45,-0.2640625,2.1940625000000002,0.00011235052469540679,6.994375,21
9-20,Over 2.5,109,33,0.30275229357798167,-33.09,-0.30357798165137617,2.2744036697247707,7.23577155194326e-05,6.658715596330275,76
9-20,Under 2.5,71,31,0.43661971830985913,-4.050000000000001,-0.05704225352112677,2.1783098591549295,6.543764017526058e-05,6.753714285714286,40
21+,Over 2.5,730,308,0.42191780821917807,-54.06,-0.07405479452054795,2.2052739726027397,2.3692510470095752e-05,6.186013698630137,422
21+,Under 2.5,603,284,0.4709784411276949,17.299999999999997,0.028689883913764504,2.187976782752902,2.018809460766207e-05,6.478086522462562,319
