model,train_rows,test_rows,accuracy,roc_auc,brier,log_loss
random_forest,1636,409,0.6014669926650367,0.6285389765662363,0.24070073756374577,0.6743717146831261
logistic,1636,409,0.49144254278728605,0.47409134385461504,0.2828212088442136,0.846217397512294
