rule,train_n,valid_n,test_n,train_hit,valid_hit,test_hit,train_roi,valid_roi,test_roi,oos_n,oos_hit,oos_roi,hit_ci_low,hit_ci_high,roi_ci_low,roi_ci_high,oos_days,positive_days,non_negative_days
Mercado == Under 3.5,37,14,15,0.6216216216216216,0.6428571428571429,0.8,0.06567567567567567,0.07214285714285709,0.43799999999999994,29,0.7241379310344828,0.26137931034482753,0.5428252365556403,0.8530141866149725,-0.0341810344827586,0.5307068965517242,6,4,4
margen_casa_pct <= 3.8900 AND Mercado == Under 2.5,53,24,39,0.5283018867924528,0.5416666666666666,0.5897435897435898,0.029433962264150963,0.035000000000000024,0.1294871794871795,63,0.5714285714285714,0.0934920634920635,0.44861395082594024,0.6860327362671276,-0.13175396825396826,0.32161507936507955,6,4,4
margen_casa_pct <= 3.8900 AND Mercado == Under 2.5 AND Mejor_Casa == pinnacle,45,23,32,0.5333333333333333,0.5217391304347826,0.625,0.034222222222222216,0.006521739130434807,0.205625,55,0.5818181818181818,0.12236363636363637,0.4503286833116465,0.7026243295228107,-0.13220454545454546,0.36747272727272745,5,3,3
score_final >= 0.3618 AND margen_casa_pct <= 3.8900 AND Mercado == Under 2.5,46,23,39,0.5217391304347826,0.5217391304347826,0.5897435897435898,0.005869565217391309,0.006521739130434807,0.1294871794871795,62,0.5645161290322581,0.0838709677419355,0.4409276740746584,0.6805760560898577,-0.14421370967741934,0.3083991935483872,5,3,3
