prob_bin,n,hit_rate,roi,prob_min,prob_max,model
"(-0.000999999849, 0.339]",82,0.573170731707317,-0.001190243902439026,1.512095379800959e-10,0.3386649871136443,logistic
"(0.339, 0.419]",82,0.43902439024390244,-0.1441390243902439,0.3398595511840887,0.41941801950887675,logistic
"(0.419, 0.462]",81,0.5185185185185185,-0.028901234567901238,0.41948966208838673,0.4615022742221123,logistic
"(0.462, 0.514]",82,0.5,-0.09641463414634147,0.4620097898647491,0.5140080727687125,logistic
"(0.514, 0.805]",82,0.47560975609756095,-0.15033048780487807,0.5145004961836694,0.8051276443427767,logistic
"(0.307, 0.405]",82,0.35365853658536583,-0.24048780487804877,0.30777594746931847,0.40461296814122844,random_forest
"(0.405, 0.435]",82,0.4268292682926829,-0.0970048780487805,0.4053466276792188,0.43513294648073575,random_forest
"(0.435, 0.485]",81,0.4691358024691358,-0.08842592592592594,0.4351379450572571,0.4827289235440435,random_forest
"(0.485, 0.527]",82,0.5853658536585366,-0.0008609756097560948,0.48602238976646606,0.52700133558551,random_forest
"(0.527, 0.61]",82,0.6707317073170732,0.005078048780487798,0.5270714725231106,0.6095601109207,random_forest
