top_n,selection,bets,hits,hit_rate,profit_total,roi,avg_odds,avg_bdi,avg_margin,misses
8,resto,1513,656,0.43357567746199605,-73.9,-0.0488433575677462,2.202095175148711,2.7760751576769185e-05,6.362701986754967,857
8,top8,120,50,0.4166666666666667,-7.619999999999999,-0.06349999999999999,2.478416666666667,0.0005351738053977842,7.04218487394958,70
9,resto,1498,649,0.43324432576769023,-74.28,-0.04958611481975968,2.201862483311081,2.7155634404764195e-05,6.359966577540107,849
9,top9,135,57,0.4222222222222222,-7.24,-0.05362962962962963,2.4502962962962966,0.00048550913662999347,7.001428571428572,78
