top_n,split,weeks_list,segment,bets,hits,misses,hit_rate,profit_total,roi,avg_odds,avg_bdi,weeks,profitable_weeks
8,train,"2025-W01,2025-W02,2025-W03,2025-W04,2025-W05,2025-W06",train,10,5,5,0.5,1.33,0.133,2.27,0.00016764109887130795,6,5
8,valid,"2025-W07,2025-W09,2025-W10",valid,8,4,4,0.5,1.13,0.14125,2.27375,0.000141161502701125,3,1
8,test,"2025-W11,2025-W13,2025-W51",test,4,2,2,0.5,0.6099999999999999,0.15249999999999997,2.2925,0.00017525470402192993,3,1
9,train,"2025-W01,2025-W02,2025-W03,2025-W04,2025-W05,2025-W06",train,12,6,6,0.5,1.63,0.13583333333333333,2.279166666666667,0.00015589324696159968,6,5
9,valid,"2025-W07,2025-W09,2025-W10",valid,8,4,4,0.5,1.13,0.14125,2.27375,0.000141161502701125,3,1
9,test,"2025-W11,2025-W13,2025-W51",test,5,3,2,0.6,1.81,0.362,2.274,0.00015476806254241987,3,2
