Mercado,n,hit_rate,roi
Under 3.5,66,0.6666666666666666,0.15166666666666667
Under 2.5,414,0.5072463768115942,-0.02818840579710146
X2,482,0.5663900414937759,-0.05473962655601659
Over 2.5,406,0.49014778325123154,-0.07600985221674876
1X,483,0.6521739130434783,-0.08946169772256729
Over 3.5,66,0.3333333333333333,-0.29803030303030303
