segment,bets,hits,misses,hit_rate,profit_total,roi,avg_odds,avg_bdi,weeks,roi_ci95_lo,roi_ci95_hi
top8_over25_2p2_2p4,22,11,11,0.5,3.0700000000000007,0.13954545454545458,2.2754545454545454,0.0001593964466549909,12,-0.285,0.6468181818181817
top9_over25_2p2_2p4,25,13,12,0.52,4.57,0.18280000000000002,2.2763999999999998,0.00015095405191441183,12,-0.2712,0.6404
