Mejor_Casa,n,hit_rate,roi
codere_it,294,0.5510204081632653,-0.04374693877551021
betsson,409,0.5256723716381418,-0.0630317848410758
pinnacle,972,0.5524691358024691,-0.07164413580246914
marathonbet,150,0.6066666666666667,-0.081
coolbet,25,0.44,-0.15560000000000002
