strategy,source,best_bets,best_hits,best_profit,best_roi,best_avg_odds,pin_bets,pin_hits,pin_profit,pin_roi,pin_avg_odds,pin_coverage_vs_best
USER_sun_u35,user,116,83,20.659999999999968,0.1781034482758618,1.712413793103448,17,16,13.420000000000002,0.7894117647058825,1.8970588235294117,0.14655172413793102
USER_portfolio_sat_u25m375__sun_u35,user,182,125,36.21999999999997,0.19901098901098885,1.7969780219780218,62,43,20.870000000000005,0.3366129032258065,1.9337096774193552,0.34065934065934067
USER_sat_u25_margin375,user,66,42,15.560000000000002,0.2357575757575758,1.9456060606060606,45,27,7.450000000000003,0.16555555555555562,1.9475555555555555,0.6818181818181818
INT_favorites_odds_le_1_80,internet,2917,1787,-121.8720000000003,-0.04177991086732955,1.585102708261913,590,384,-40.60919999999999,-0.06882915254237286,1.4656327118644066,0.20226259856016454
INT_low_vig_margin_le_3_50,internet,756,390,-49.13830000000007,-0.06499775132275142,1.913564814814815,554,279,-50.95979999999997,-0.09198519855595663,1.8673427797833937,0.7328042328042328
INT_value_edge_ge_5pct,internet,328,109,-81.22,-0.2476219512195122,2.3020814024390246,78,29,-12.189999999999998,-0.15628205128205125,2.293717948717948,0.23780487804878048
INT_value_edge_ge_2pct,internet,442,160,-92.39999999999998,-0.20904977375565606,2.2278794117647056,152,60,-24.870000000000005,-0.1636184210526316,2.1374342105263158,0.3438914027149321
INT_longshots_odds_ge_2_40,internet,765,299,28.90560000000005,0.03778509803921575,2.8106351633986923,58,15,-16.4593,-0.2837810344827586,2.803675862068966,0.07581699346405228
