top_n,week_id,bets,hits,hit_rate,profit_total,roi,avg_odds,avg_bdi,avg_margin,misses
8,2025-W01,8,6,0.75,4.96,0.62,2.2025,0.00010079404177013563,7.3975,2
8,2025-W02,8,1,0.125,-5.88,-0.735,2.2625,0.0001279358157503411,7.6675,7
8,2025-W03,8,2,0.25,-3.6,-0.45,3.9675,0.003089485940557425,6.68375,6
8,2025-W04,8,4,0.5,1.5800000000000005,0.19750000000000006,2.3075,0.00015974312274772334,6.51,4
8,2025-W05,8,3,0.375,-1.5299999999999998,-0.19124999999999998,3.67125,0.0031141857424072873,6.72625,5
8,2025-W06,8,5,0.625,4.5600000000000005,0.5700000000000001,2.545,0.0001487568266617125,7.69,3
8,2025-W07,8,4,0.5,2.02,0.2525,2.33375,0.0001348764282229125,7.07,4
8,2025-W08,8,2,0.25,-3.54,-0.4425,2.2875,0.0001384071721965177,6.71875,6
8,2025-W09,8,4,0.5,1.13,0.14125,2.28125,0.0001284190110005375,7.32125,4
8,2025-W10,8,2,0.25,-3.9000000000000004,-0.48750000000000004,2.3125,0.0001720951155147125,6.9525,6
8,2025-W11,8,4,0.5,0.4400000000000004,0.05500000000000005,2.295,0.000138662692779475,7.064285714285715,4
8,2025-W12,8,2,0.25,-3.13,-0.39125,2.2375,8.679397560004774e-05,7.11,6
8,2025-W13,8,2,0.25,-3.9,-0.4875,2.2375,0.0001256514960831739,7.28125,6
8,2025-W51,8,6,0.75,5.16,0.645,2.20375,0.0002385,6.78375,2
8,2025-W52,8,3,0.375,-1.9900000000000002,-0.24875000000000003,2.03125,0.0001232996996747606,6.65875,5
9,2025-W01,9,6,0.6666666666666666,3.96,0.44,2.2133333333333334,9.728560539102609e-05,7.3975,3
9,2025-W02,9,1,0.1111111111111111,-6.88,-0.7644444444444445,2.2411111111111115,0.00012134430101899812,7.607777777777778,8
9,2025-W03,9,2,0.2222222222222222,-4.6,-0.5111111111111111,3.755555555555555,0.0027566083851909076,6.6466666666666665,7
9,2025-W04,9,5,0.5555555555555556,2.8800000000000003,0.32000000000000006,2.3066666666666666,0.0001510109977811782,6.768888888888889,4
9,2025-W05,9,3,0.3333333333333333,-2.53,-0.2811111111111111,3.5633333333333335,0.002779277894413478,6.698888888888889,6
9,2025-W06,9,5,0.5555555555555556,3.56,0.39555555555555555,2.5233333333333334,0.00014480095445233333,7.714444444444445,4
9,2025-W07,9,5,0.5555555555555556,2.99,0.33222222222222225,2.2933333333333334,0.0001317112614838222,6.986666666666667,4
9,2025-W08,9,3,0.3333333333333333,-1.69,-0.18777777777777777,2.35,0.00013303500731051148,6.696666666666666,6
9,2025-W09,9,4,0.4444444444444444,0.1299999999999999,0.014444444444444433,2.2633333333333336,0.00012613962266635556,7.097777777777778,5
9,2025-W10,9,3,0.3333333333333333,-2.9300000000000006,-0.3255555555555556,2.2744444444444443,0.000167079477336,6.882222222222222,6
9,2025-W11,9,4,0.4444444444444444,-0.5599999999999996,-0.06222222222222218,2.2733333333333334,0.00013408011128054748,7.16375,5
9,2025-W12,9,3,0.3333333333333333,-2.07,-0.22999999999999998,2.217777777777778,8.212873650175205e-05,6.987777777777778,6
9,2025-W13,9,3,0.3333333333333333,-2.6999999999999997,-0.3,2.2333333333333334,0.00011978149614330787,7.145555555555556,6
9,2025-W51,9,6,0.6666666666666666,4.16,0.46222222222222226,2.214444444444444,0.00022255555555555557,6.694444444444445,3
9,2025-W52,9,4,0.4444444444444444,-0.9600000000000004,-0.10666666666666672,2.031111111111111,0.00011579764292412867,6.594444444444445,5
