feature,n,hit_mean,miss_mean,mean_diff,cohens_d,mannwhitney_p
cuota_promedio_mercado,2045,1.671941964285714,1.885056216216216,-0.21311425193050204,-0.5157429599582739,9.413969725811618e-35
mejor_cuota,2045,1.702022767857143,1.922316972972973,-0.2202942051158301,-0.5123646108594505,1.2948003752169524e-34
confianza_calibrada,1621,56.29822491730982,53.22613445378151,3.072090463528305,0.45692649570340327,4.594900054771564e-22
p_win_calibrada,1621,0.5629823393161842,0.5322622026997181,0.03072013661646611,0.4569195214008063,4.595119336735011e-22
diferencia_cuota_promedio,2045,0.03008080357142857,0.03726075675675676,-0.00717995318532819,-0.20760204672302732,3.93251114434144e-05
num_casas,2045,5.03125,4.711351351351351,0.3198986486486488,0.04997205556268908,0.005096545015447271
bdi_n_bookmakers,344,15.701149425287356,12.635294117647058,3.065855307640298,0.2645039242451606,0.04749935178975293
volatilidad_pct,2045,1.3641160714285714,1.4724324324324325,-0.1083163610038611,-0.12126745976742342,0.062019355992760684
confianza,1621,39.81991179713341,40.95775910364146,-1.1378473065080499,-0.07196766770582771,0.1591204538056743
edge_pct,2045,1.7406870558491643,1.8886977556558102,-0.14801069980664594,-0.09865333619605807,0.18785887231546217
bdi_jsd,344,0.00014644451911633474,9.579815632203705e-05,5.0646362794297685e-05,0.2813790539359115,0.20647003576246148
bdi_std_p,344,0.010266602607750983,0.009518879748652882,0.000747722859098101,0.1234326611091369,0.30292921866375366
bdi_mad_p,344,0.00866700773941856,0.00810849674172817,0.0005585109976903903,0.10728504639985596,0.3160924166640713
margen_casa_pct,2045,4.9147678571428575,4.969805405405405,-0.05503754826254781,-0.03263236423246705,0.560718803387255
bdi_n_bookmakers_fair,276,9.381679389312977,8.751724137931035,0.6299552513819417,0.1057348950056019,0.5633977587970829
score_minus_margin,2045,-4.380342410714286,-4.465652,0.08530958928571408,0.024398994238584642,0.5916059240006739
score_final,2045,0.5344254464285715,0.5041534054054054,0.030272041023166052,0.011541331273815179,0.6458747121502308
bdi_jsd_fair,276,4.254409626777153e-05,4.1356492862921714e-05,1.1876034048498158e-06,0.01725939513413172,0.7163820880007514
bdi_std_p_fair,276,0.0058791088895245504,0.005738982940428245,0.0001401259490963055,0.028717421463849955,0.729462242329006
bdi_mad_p_fair,276,0.005203789875684948,0.005081584436379767,0.000122205439305181,0.02657851798833305,0.7608920157560504
