rule,conditions,train_n,valid_n,test_n,train_hit,valid_hit,test_hit,train_roi,valid_roi,test_roi,oos_n,oos_hit,oos_roi,mask_signature
Mercado == Under 3.5,1,37,14,15,0.6216216216216216,0.6428571428571429,0.8,0.06567567567567567,0.07214285714285709,0.43799999999999994,29,0.7241379310344828,0.26137931034482753,01ce39d8e1277bc8afc446a93ce37cad
margen_casa_pct <= 3.8900 AND Mercado == Under 2.5,2,53,24,39,0.5283018867924528,0.5416666666666666,0.5897435897435898,0.029433962264150963,0.035000000000000024,0.1294871794871795,63,0.5714285714285714,0.0934920634920635,9caea0ab6cb8897efa7b4d9694d1ba57
margen_casa_pct <= 3.8900 AND Mercado == Under 2.5 AND Mejor_Casa == pinnacle,3,45,23,32,0.5333333333333333,0.5217391304347826,0.625,0.034222222222222216,0.006521739130434807,0.205625,55,0.5818181818181818,0.12236363636363637,6df50f36f0b243156b13b4ee4f4c25aa
score_final >= 0.3618 AND margen_casa_pct <= 3.8900 AND Mercado == Under 2.5,3,46,23,39,0.5217391304347826,0.5217391304347826,0.5897435897435898,0.005869565217391309,0.006521739130434807,0.1294871794871795,62,0.5645161290322581,0.0838709677419355,aacd504ec474f5842447d2b720e0ecd6
