top_n,Mercado,bets,hits,hit_rate,profit_total,roi,avg_odds,avg_bdi,avg_margin,misses
8,Over 2.5,72,31,0.4305555555555556,-0.9999999999999996,-0.013888888888888883,2.6629166666666664,0.0007954526650166011,7.036388888888889,41
8,Under 2.5,48,19,0.3958333333333333,-6.62,-0.13791666666666666,2.2016666666666667,0.0001447555159695587,7.051063829787234,29
9,Over 2.5,79,35,0.4430379746835443,0.4400000000000004,0.005569620253164562,2.6237974683544305,0.0007337553000613284,7.0240506329113925,44
9,Under 2.5,56,22,0.39285714285714285,-7.68,-0.13714285714285715,2.2055357142857144,0.00013530472750364588,6.968333333333334,34
