bdi_decile,bets,mean_bdi,roi,hit_rate,avg_odds
"(-0.000998, 8.02e-06]",12,5.667092247779946e-06,-0.28333333333333327,0.3333333333333333,2.283333333333333
"(8.02e-06, 1.44e-05]",11,1.2250512445670126e-05,0.03818181818181818,0.45454545454545453,2.192727272727273
"(1.44e-05, 2.02e-05]",11,1.6870067384396155e-05,0.16545454545454547,0.5454545454545454,2.1554545454545457
"(2.02e-05, 2.61e-05]",11,2.3815157389710336e-05,0.38909090909090904,0.6363636363636364,2.200909090909091
"(2.61e-05, 3.76e-05]",11,3.0707655328017555e-05,-0.1709090909090909,0.36363636363636365,2.233636363636364
"(3.76e-05, 4.74e-05]",11,4.154393972557807e-05,0.2009090909090909,0.5454545454545454,2.1936363636363634
"(4.74e-05, 6.86e-05]",11,5.888679170899858e-05,-0.2645454545454546,0.36363636363636365,2.2254545454545456
"(6.86e-05, 8.44e-05]",11,7.613510239308306e-05,-0.4218181818181818,0.2727272727272727,2.1727272727272724
"(8.44e-05, 0.000113]",11,9.306628151944983e-05,0.02272727272727275,0.45454545454545453,2.2209090909090907
"(0.000113, 0.00042]",12,0.000226046410695275,0.24499999999999997,0.5833333333333334,2.2075
