Rango_Cuota,N,Profit,ROI,WinRate,Cuota_Media
1.00-1.50,17,7.36,43.294117647058826,100.0,1.4329411764705882
1.50-1.80,151,-5.150000000000001,-3.410596026490067,57.615894039735096,1.687615894039735
1.80-2.00,298,-24.340000000000003,-8.16778523489933,48.32214765100671,1.903959731543624
2.00-2.20,174,-9.06,-5.206896551724138,45.40229885057471,2.0829310344827587
2.20-2.50,84,-13.23,-15.75,35.714285714285715,2.3570238095238096
2.50-3.00,24,-13.399999999999999,-55.83333333333332,16.666666666666668,2.68125
3.00+,2,-2.0,-100.0,0.0,3.7
