Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,_source_file,_loaded_at,Resultado,Resultado_Cumplido,Confianza,Marcador,Estado_Partido,Fuente_Web,Actualizado_Web_UTC,Estrategia,Prioridad
Middlesbrough vs Coventry City,2025-11-25 14:45:00,Championship,Doble Chance,X2,1.48,pinnacle,4,0.6366,0.03,1.46,3.33,1.45,pinnacle:1.48; codere_it:1.45; betsson:1.45; marathonbet:1.42,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,61.05,,,,,,
Middlesbrough vs Coventry City,2025-11-25 14:45:00,Championship,Doble Chance,1X,1.54,pinnacle,4,0.6366,0.03,1.24,3.33,1.51,pinnacle:1.54; betsson:1.51; codere_it:1.5; marathonbet:1.49,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,33.17,,,,,,
Swansea City vs Derby County,2025-11-25 14:45:00,Championship,Doble Chance,X2,1.72,pinnacle,4,0.5727,0.035,1.48,3.44,1.685,pinnacle:1.72; betsson:1.69; codere_it:1.68; marathonbet:1.65,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,58.85,,,,,,
Southampton vs Leicester City,2025-11-25 15:00:00,Championship,Doble Chance,X2,1.85,pinnacle,4,0.5698,0.065,2.58,3.51,1.785,pinnacle:1.85; codere_it:1.79; betsson:1.78; marathonbet:1.72,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,55.77,,,,,,
Southampton vs Leicester City,2025-11-25 15:00:00,Championship,Doble Chance,1X,1.3,pinnacle,4,0.5698,0.0125,0.64,3.51,1.2875,pinnacle:1.3; betsson:1.29; marathonbet:1.28; codere_it:1.28,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,38.42,,,,,,
Peterborough United vs Stevenage,2025-11-25 14:45:00,League 1,Doble Chance,X2,1.57,pinnacle,4,0.5692,0.04,1.91,3.83,1.53,pinnacle:1.57; codere_it:1.54; marathonbet:1.52; betsson:1.49,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,56.63,,,,,,
Peterborough United vs Stevenage,2025-11-25 14:45:00,League 1,Doble Chance,1X,1.41,pinnacle,4,0.5692,0.03,1.36,3.83,1.38,pinnacle:1.41; codere_it:1.38; betsson:1.37; marathonbet:1.36,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,29.65,,,,,,
Hull City vs Ipswich Town,2025-11-25 14:45:00,Championship,Doble Chance,X2,1.23,pinnacle,4,0.5636,0.015,1.23,3.46,1.215,pinnacle:1.23; codere_it:1.22; betsson:1.22; marathonbet:1.19,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,59.92,,,,,,
Hull City vs Ipswich Town,2025-11-25 14:45:00,Championship,Doble Chance,1X,2.06,pinnacle,4,0.5636,0.06,1.73,3.46,2.0,pinnacle:2.06; marathonbet:1.98; codere_it:1.98; betsson:1.98,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,28.47,,,,,,
Luton vs Huddersfield Town,2025-11-25 14:45:00,League 1,Doble Chance,X2,1.69,pinnacle,4,0.5635,0.055,1.96,3.94,1.635,pinnacle:1.69; codere_it:1.62; betsson:1.62; marathonbet:1.61,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,56.18,,,,,,
Luton vs Huddersfield Town,2025-11-25 14:45:00,League 1,Doble Chance,1X,1.37,pinnacle,4,0.5635,0.0225,1.1,3.94,1.3475,pinnacle:1.37; codere_it:1.35; betsson:1.34; marathonbet:1.33,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,31.07,,,,,,
Watford vs Preston North End,2025-11-25 14:45:00,Championship,Doble Chance,X2,1.96,pinnacle,4,0.5621,0.0575,2.45,3.54,1.9025,pinnacle:1.96; codere_it:1.91; betsson:1.91; marathonbet:1.83,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,55.69,,,,,,
Watford vs Preston North End,2025-11-25 14:45:00,Championship,Doble Chance,1X,1.23,pinnacle,4,0.5621,0.0125,0.68,3.54,1.2175,pinnacle:1.23; betsson:1.22; marathonbet:1.21; codere_it:1.21,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,37.22,,,,,,
Grêmio vs Palmeiras,2025-11-25 19:30:00,Brasileirão,Doble Chance,X2,1.66,pinnacle,4,0.5576,0.0525,1.94,3.82,1.6075,pinnacle:1.66; codere_it:1.6; betsson:1.59; marathonbet:1.58,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,56.22,,,,,,
Grêmio vs Palmeiras,2025-11-25 19:30:00,Brasileirão,Doble Chance,1X,1.35,pinnacle,4,0.5576,0.015,0.84,3.82,1.335,pinnacle:1.35; codere_it:1.34; betsson:1.33; marathonbet:1.32,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,33.87,,,,,,
Norwich City vs Oxford United,2025-11-25 14:45:00,Championship,Doble Chance,X2,1.97,pinnacle,4,0.5417,0.07,2.71,3.6,1.9,pinnacle:1.97; betsson:1.92; codere_it:1.88; marathonbet:1.83,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,54.6,,,,,,
Norwich City vs Oxford United,2025-11-25 14:45:00,Championship,Doble Chance,1X,1.26,pinnacle,4,0.5417,0.0125,0.66,3.6,1.2475,pinnacle:1.26; betsson:1.25; marathonbet:1.24; codere_it:1.24,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,36.96,,,,,,
Luton vs Huddersfield Town,2025-11-25 14:45:00,League 1,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,0.5344,0.0467,1.8,3.63,1.8833,pinnacle:1.93; codere_it:1.87; betsson:1.85,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,43.3,,,,,,
Luton vs Huddersfield Town,2025-11-25 14:45:00,League 1,Goles (Over/Under),Over 2.5,1.93,pinnacle,3,0.5344,0.0233,1.08,3.63,1.9067,pinnacle:1.93; codere_it:1.91; betsson:1.88,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,60.8,,,,,,
