Partido,Fecha_Hora_Colombia,Liga,filas,tipo_mercados,mercados,Query,Marcador_Final,Fuente_URL
Sangju Sangmu FC vs Daejeon Citizen,2025-11-30 02:30:00,K League 1,2,Doble Chance,"1X,X2",Sangju Sangmu FC vs Daejeon Citizen 2025-11-30 K League 1 final score,,
SC Verl vs VfL Osnabrück,2025-11-30 10:30:00,3. Liga,2,Doble Chance,"1X,X2",SC Verl vs VfL Osnabrück 2025-11-30 3. Liga final score,,
Reggiana vs Frosinone,2025-11-29 09:00:00,Serie B,2,Doble Chance,"1X,X2",Reggiana vs Frosinone 2025-11-29 Serie B final score,,
Rheindorf Altach vs RB Salzburg,2025-11-30 08:30:00,Austrian Bundesliga,2,Goles (Over/Under),"Over 2.5,Under 2.5",Rheindorf Altach vs RB Salzburg 2025-11-30 Austrian Bundesliga final score,,
Ried vs Wolfsberger AC,2025-11-29 11:00:00,Austrian Bundesliga,2,Goles (Over/Under),"Over 2.5,Under 2.5",Ried vs Wolfsberger AC 2025-11-29 Austrian Bundesliga final score,,
Real Betis vs FC Utrecht,2025-11-27 15:00:00,Europa League,2,Goles (Over/Under),"Over 2.5,Under 2.5",Real Betis vs FC Utrecht 2025-11-27 Europa League final score,,
Çaykur Rizespor vs Kayserispor,2025-11-29 06:30:00,Super League,2,Doble Chance,"1X,X2",Çaykur Rizespor vs Kayserispor 2025-11-29 Super League final score,,
Yokohama FC vs Kyoto Purple Sanga,2025-11-30 00:00:00,J League,2,Doble Chance,"1X,X2",Yokohama FC vs Kyoto Purple Sanga 2025-11-30 J League final score,,
Corinthians vs Botafogo,2025-11-30 14:00:00,Brasileirão,1,Doble Chance,X2,Corinthians vs Botafogo 2025-11-30 Brasileirão final score,,
Dundee FC vs St Mirren,2025-11-29 10:00:00,Premiership,1,Doble Chance,1X,Dundee FC vs St Mirren 2025-11-29 Premiership final score,,
Cultural Leonesa vs Granada CF,2025-11-29 10:15:00,La Liga 2,1,Doble Chance,X2,Cultural Leonesa vs Granada CF 2025-11-29 La Liga 2 final score,,
Bayer Leverkusen vs Borussia Dortmund,2025-11-29 12:30:00,Bundesliga,1,Doble Chance,1X,Bayer Leverkusen vs Borussia Dortmund 2025-11-29 Bundesliga final score,,
Austria Wien vs WSG Tirol,2025-11-29 11:00:00,Austrian Bundesliga,1,Goles (Over/Under),Over 2.5,Austria Wien vs WSG Tirol 2025-11-29 Austrian Bundesliga final score,,
Colchester United vs Cheltenham Town,2025-11-29 10:00:00,League 2,1,Goles (Over/Under),Under 2.5,Colchester United vs Cheltenham Town 2025-11-29 League 2 final score,,
