Partido,Estado,Score_Final,Diferencia_Cuota_Promedio,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Sport Recife vs Vitoria,🔴 EN VIVO,0.0,0.0,Yes,1.78,pinnacle,1,,3.8,1.78,pinnacle:1.78
Sport Recife vs Vitoria,🔴 EN VIVO,0.0,0.0,No,2.1,pinnacle,1,,3.8,2.1,pinnacle:2.1
Cruzeiro vs Corinthians,⏰ Próximo,0.0,0.0,Yes,2.02,pinnacle,1,,3.85,2.02,pinnacle:2.02
Cruzeiro vs Corinthians,⏰ Próximo,0.0,0.0,No,1.84,pinnacle,1,,3.85,1.84,pinnacle:1.84
