Partido,Fecha_Hora_Colombia,Estado,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
FSV Mainz 05 vs Borussia Monchengladbach,2025-12-05 14:30:00,⏰ Próximo,Goles (Over/Under),Under 2.75,2.0,pinnacle,1,0.2437,0.0,,4.35,2.0,pinnacle:2.0
Rio Ave FC vs Santa Clara,2025-11-30 10:30:00,⏰ Próximo,Goles (Over/Under),Over 2.0,1.83,pinnacle,1,0.2409,0.0,,4.4,1.83,pinnacle:1.83
Rio Ave FC vs Santa Clara,2025-11-30 10:30:00,⏰ Próximo,Goles (Over/Under),Under 2.0,2.01,pinnacle,1,0.2409,0.0,,4.4,2.01,pinnacle:2.01
Panathinaikos FC vs SK Sturm Graz,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.92,codere_it,3,0.2385,0.0333,1.52,3.9,1.8867,codere_it:1.92; pinnacle:1.89; betsson:1.85
1. FC Köln vs FC St. Pauli,2025-12-06 09:30:00,⏰ Próximo,Goles (Over/Under),Over 2.75,1.96,pinnacle,1,0.2375,0.0,,4.21,1.96,pinnacle:1.96
1. FC Köln vs FC St. Pauli,2025-12-06 09:30:00,⏰ Próximo,Goles (Over/Under),Under 2.75,1.88,pinnacle,1,0.2375,0.0,,4.21,1.88,pinnacle:1.88
Torino vs AC Milan,2025-12-08 14:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,2.03,pinnacle,2,0.2373,0.005,0.25,4.51,2.025,pinnacle:2.03; betsson:2.02
Torino vs AC Milan,2025-12-08 14:45:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.81,pinnacle,2,0.2373,0.03,1.69,4.51,1.78,pinnacle:1.81; betsson:1.75
Athletic Bilbao vs Real Madrid,2025-12-03 13:00:00,⏰ Próximo,Goles (Over/Under),Over 2.75,1.97,pinnacle,1,0.2367,0.0,,4.52,1.97,pinnacle:1.97
Athletic Bilbao vs Real Madrid,2025-12-03 13:00:00,⏰ Próximo,Goles (Over/Under),Under 2.75,1.86,pinnacle,1,0.2367,0.0,,4.52,1.86,pinnacle:1.86
