Partido,Fecha_Hora_Colombia,Estado,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Ceará vs Cruzeiro,2025-11-29 19:00:00,⏰ Próximo,Goles (Over/Under),Under 1.5,2.55,codere_it,1,0.1259,0.0,,5.88,2.55,codere_it:2.55
Liverpool vs Sunderland,2025-12-03 15:15:00,⏰ Próximo,Goles (Over/Under),Over 3.0,1.87,pinnacle,1,0.125,0.0,,4.24,1.87,pinnacle:1.87
Liverpool vs Sunderland,2025-12-03 15:15:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.97,pinnacle,1,0.125,0.0,,4.24,1.97,pinnacle:1.97
Real Betis vs FC Utrecht,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.75,1.81,pinnacle,1,0.1242,0.0,,4.51,1.81,pinnacle:1.81
Real Betis vs FC Utrecht,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.75,2.03,pinnacle,1,0.1242,0.0,,4.51,2.03,pinnacle:2.03
PAOK vs SK Brann,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Over 3.0,2.0,pinnacle,1,0.1195,0.0,,4.35,2.0,pinnacle:2.0
PAOK vs SK Brann,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.84,pinnacle,1,0.1195,0.0,,4.35,1.84,pinnacle:1.84
Burnley vs Crystal Palace,2025-12-03 14:30:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.99,pinnacle,2,0.1183,0.02,1.02,4.31,1.97,pinnacle:1.99; betsson:1.95
Santos vs Sport Recife,2025-11-28 19:30:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.93,codere_it,2,0.1175,0.025,1.31,5.87,1.905,codere_it:1.93; betsson:1.88
Vitoria vs Mirassol,2025-11-29 14:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.63,codere_it,2,0.1174,0.025,1.56,5.79,1.605,codere_it:1.63; betsson:1.58
Borussia Monchengladbach vs RB Leipzig,2025-11-28 14:30:00,⏰ Próximo,Goles (Over/Under),Over 3.5,2.14,codere_it,2,0.1137,0.03,1.42,3.87,2.11,codere_it:2.14; betsson:2.08
Borussia Monchengladbach vs RB Leipzig,2025-11-28 14:30:00,⏰ Próximo,Goles (Over/Under),Under 3.5,1.75,codere_it,2,0.1137,0.015,0.86,3.87,1.735,codere_it:1.75; betsson:1.72
Lanus vs CA Tigre BA,2025-11-26 19:30:00,⏰ Próximo,Goles (Over/Under),Over 1.75,1.77,pinnacle,1,0.1129,0.0,,4.34,1.77,pinnacle:1.77
Lanus vs CA Tigre BA,2025-11-26 19:30:00,⏰ Próximo,Goles (Over/Under),Under 1.75,2.09,pinnacle,1,0.1129,0.0,,4.34,2.09,pinnacle:2.09
PFC Ludogorets Razgrad vs Celta Vigo,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.84,pinnacle,3,0.1057,0.0067,0.51,4.35,1.8333,pinnacle:1.84; codere_it:1.84; betsson:1.82
Newcastle United vs Tottenham Hotspur,2025-12-02 15:15:00,⏰ Próximo,Goles (Over/Under),Over 3.0,2.03,pinnacle,1,0.0998,0.0,,4.21,2.03,pinnacle:2.03
Newcastle United vs Tottenham Hotspur,2025-12-02 15:15:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.82,pinnacle,1,0.0998,0.0,,4.21,1.82,pinnacle:1.82
Red Star Belgrade vs FCSB,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.75,1.9,pinnacle,1,0.0989,0.0,,4.45,1.9,pinnacle:1.9
Red Star Belgrade vs FCSB,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.75,1.93,pinnacle,1,0.0989,0.0,,4.45,1.93,pinnacle:1.93
KRC Genk vs FC Basel,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Over 3.0,1.98,pinnacle,1,0.0987,0.0,,4.56,1.98,pinnacle:1.98
KRC Genk vs FC Basel,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.85,pinnacle,1,0.0987,0.0,,4.56,1.85,pinnacle:1.85
Rangers FC vs SC Braga,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.88,pinnacle,3,0.0917,0.02,1.52,4.47,1.86,pinnacle:1.88; codere_it:1.88; betsson:1.82
AS Roma vs FC Midtjylland,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Over 3.0,2.04,pinnacle,1,0.089,0.0,,4.27,2.04,pinnacle:2.04
AS Roma vs FC Midtjylland,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.81,pinnacle,1,0.089,0.0,,4.27,1.81,pinnacle:1.81
Fulham vs Manchester City,2025-12-02 14:30:00,⏰ Próximo,Goles (Over/Under),Over 2.75,1.87,pinnacle,1,0.0873,0.0,,4.24,1.87,pinnacle:1.87
Fulham vs Manchester City,2025-12-02 14:30:00,⏰ Próximo,Goles (Over/Under),Under 2.75,1.97,pinnacle,1,0.0873,0.0,,4.24,1.97,pinnacle:1.97
Sassuolo vs Pisa,2025-11-24 14:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,2.3,codere_it,2,0.0858,0.01,0.44,4.08,2.29,codere_it:2.3; betsson:2.28
Sassuolo vs Pisa,2025-11-24 14:45:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.65,codere_it,2,0.0858,0.025,1.54,4.08,1.625,codere_it:1.65; betsson:1.6
Panathinaikos FC vs SK Sturm Graz,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.94,pinnacle,3,0.083,0.01,0.42,4.46,1.93,pinnacle:1.94; codere_it:1.93; betsson:1.92
Slavia Praha vs Athletic Bilbao,2025-11-25 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.84,codere_it,3,0.0805,0.0233,1.44,3.85,1.8167,codere_it:1.84; pinnacle:1.83; betsson:1.78
Corinthians vs Botafogo,2025-11-30 14:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,2.29,codere_it,2,0.0794,0.005,0.22,6.17,2.285,codere_it:2.29; betsson:2.28
Corinthians vs Botafogo,2025-11-30 14:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.6,codere_it,2,0.0794,0.01,0.63,6.17,1.59,codere_it:1.6; betsson:1.58
Torino vs Como,2025-11-24 12:30:00,⏰ Próximo,Goles (Over/Under),Over 2.5,2.34,codere_it,2,0.076,0.03,1.3,4.08,2.31,codere_it:2.34; betsson:2.28
Torino vs Como,2025-11-24 12:30:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.63,codere_it,2,0.076,0.015,0.93,4.08,1.615,codere_it:1.63; betsson:1.6
Fortaleza vs Atletico Mineiro,2025-11-30 16:30:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.65,codere_it,2,0.0594,0.015,0.92,6.06,1.635,codere_it:1.65; betsson:1.62
Napoli vs Qarabağ FK,2025-11-25 15:00:00,⏰ Próximo,Goles (Over/Under),Under 3.5,1.6,codere_it,2,0.0576,0.025,1.59,3.99,1.575,codere_it:1.6; betsson:1.55
Nottingham Forest vs Malmo FF,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Over 3.0,1.98,pinnacle,1,0.0536,0.0,,4.85,1.98,pinnacle:1.98
Nottingham Forest vs Malmo FF,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.84,pinnacle,1,0.0536,0.0,,4.85,1.84,pinnacle:1.84
Ajax vs Benfica,2025-11-25 12:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.74,codere_it,2,0.0528,0.01,0.58,3.98,1.73,codere_it:1.74; betsson:1.72
Ajax vs Benfica,2025-11-25 12:45:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.15,codere_it,2,0.0528,0.025,1.18,3.98,2.125,codere_it:2.15; betsson:2.1
Manchester United vs West Ham United,2025-12-04 15:00:00,⏰ Próximo,Goles (Over/Under),Over 3.25,2.03,pinnacle,1,0.051,0.0,,4.51,2.03,pinnacle:2.03
Manchester United vs West Ham United,2025-12-04 15:00:00,⏰ Próximo,Goles (Over/Under),Under 3.25,1.81,pinnacle,1,0.051,0.0,,4.51,1.81,pinnacle:1.81
Brighton and Hove Albion vs Aston Villa,2025-12-03 14:30:00,⏰ Próximo,Goles (Over/Under),Over 2.75,1.98,pinnacle,1,0.0439,0.0,,4.56,1.98,pinnacle:1.98
Brighton and Hove Albion vs Aston Villa,2025-12-03 14:30:00,⏰ Próximo,Goles (Over/Under),Under 2.75,1.85,pinnacle,1,0.0439,0.0,,4.56,1.85,pinnacle:1.85
Chelsea vs Barcelona,2025-11-25 15:00:00,⏰ Próximo,Goles (Over/Under),Over 3.5,2.05,codere_it,3,0.0372,0.0267,1.53,4.03,2.0233,codere_it:2.05; pinnacle:2.04; betsson:1.98
Pafos FC vs AS Monaco,2025-11-26 12:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.62,codere_it,2,0.0317,0.01,0.62,4.1,1.61,codere_it:1.62; betsson:1.6
Pafos FC vs AS Monaco,2025-11-26 12:45:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.36,codere_it,2,0.0317,0.02,0.85,4.1,2.34,codere_it:2.36; betsson:2.32
Sporting Lisbon vs Club Brugge,2025-11-26 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.59,codere_it,1,0.0296,0.0,,4.05,1.59,codere_it:1.59
Sporting Lisbon vs Club Brugge,2025-11-26 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.43,codere_it,1,0.0296,0.0,,4.05,2.43,codere_it:2.43
Manchester United vs Everton,2025-11-24 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.76,codere_it,2,0.0276,0.005,0.28,3.99,1.755,codere_it:1.76; betsson:1.75
Manchester United vs Everton,2025-11-24 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.12,codere_it,2,0.0276,0.02,0.95,3.99,2.1,codere_it:2.12; betsson:2.08
Arsenal vs Bayern Munich,2025-11-26 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.77,codere_it,2,0.0257,0.01,0.57,3.89,1.76,codere_it:1.77; betsson:1.75
Arsenal vs Bayern Munich,2025-11-26 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.11,codere_it,2,0.0257,0.015,0.72,3.89,2.095,codere_it:2.11; betsson:2.08
Aston Villa vs Young Boys,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Under 3.5,1.83,pinnacle,3,0.0194,0.0133,0.69,4.64,1.8167,pinnacle:1.83; betsson:1.82; codere_it:1.8
Olympiakos Piraeus vs Real Madrid,2025-11-26 15:00:00,⏰ Próximo,Goles (Over/Under),Under 3.5,1.66,codere_it,2,0.0179,0.02,1.22,3.91,1.64,codere_it:1.66; betsson:1.62
Paris Saint Germain vs Tottenham Hotspur,2025-11-26 15:00:00,⏰ Próximo,Goles (Over/Under),Over 3.5,2.35,codere_it,2,0.0179,0.05,2.17,3.9,2.3,codere_it:2.35; betsson:2.25
Manchester City vs Leeds United,2025-11-29 10:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.55,betsson,1,0.0155,0.0,,4.52,1.55,betsson:1.55
Manchester City vs Leeds United,2025-11-29 10:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.5,betsson,1,0.0155,0.0,,4.52,2.5,betsson:2.5
Leeds United vs Chelsea,2025-12-03 15:15:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.87,pinnacle,2,0.0067,0.01,0.54,4.5,1.86,pinnacle:1.87; betsson:1.85
Arsenal vs Brentford,2025-12-03 14:30:00,⏰ Próximo,Goles (Over/Under),Over 2.75,1.85,pinnacle,1,0.0,0.0,,4.56,1.85,pinnacle:1.85
Arsenal vs Brentford,2025-12-03 14:30:00,⏰ Próximo,Goles (Over/Under),Under 2.75,1.98,pinnacle,1,0.0,0.0,,4.56,1.98,pinnacle:1.98
Borussia Dortmund vs Villarreal,2025-11-25 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.74,codere_it,2,0.0,0.01,0.58,4.2,1.73,codere_it:1.74; betsson:1.72
Borussia Dortmund vs Villarreal,2025-11-25 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.14,codere_it,2,0.0,0.01,0.47,4.2,2.13,codere_it:2.14; betsson:2.12
Heerenveen vs PSV Eindhoven,2025-12-06 10:30:00,⏰ Próximo,Goles (Over/Under),Over 3.5,1.68,betsson,1,0.0,0.0,,6.47,1.68,betsson:1.68
Heerenveen vs PSV Eindhoven,2025-12-06 10:30:00,⏰ Próximo,Goles (Over/Under),Under 3.5,2.13,betsson,1,0.0,0.0,,6.47,2.13,betsson:2.13
Fortuna Sittard vs Ajax,2025-12-06 12:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.52,betsson,1,0.0,0.0,,6.28,1.52,betsson:1.52
Fortuna Sittard vs Ajax,2025-12-06 12:45:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.47,betsson,1,0.0,0.0,,6.28,2.47,betsson:2.47
Heracles Almelo vs SC Telstar,2025-12-06 14:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.58,betsson,1,0.0,0.0,,6.39,1.58,betsson:1.58
Heracles Almelo vs SC Telstar,2025-12-06 14:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.32,betsson,1,0.0,0.0,,6.39,2.32,betsson:2.32
Feyenoord vs FC Zwolle,2025-12-06 15:00:00,⏰ Próximo,Goles (Over/Under),Over 3.5,1.69,betsson,1,0.0,0.0,,6.56,1.69,betsson:1.69
Feyenoord vs FC Zwolle,2025-12-06 15:00:00,⏰ Próximo,Goles (Over/Under),Under 3.5,2.11,betsson,1,0.0,0.0,,6.56,2.11,betsson:2.11
FC Utrecht vs FC Twente Enschede,2025-12-07 06:15:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.68,betsson,1,0.0,0.0,,6.47,1.68,betsson:1.68
FC Utrecht vs FC Twente Enschede,2025-12-07 06:15:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.13,betsson,1,0.0,0.0,,6.47,2.13,betsson:2.13
AZ Alkmaar vs Go Ahead Eagles,2025-12-07 08:30:00,⏰ Próximo,Goles (Over/Under),Over 3.5,2.02,betsson,1,0.0,0.0,,6.32,2.02,betsson:2.02
AZ Alkmaar vs Go Ahead Eagles,2025-12-07 08:30:00,⏰ Próximo,Goles (Over/Under),Under 3.5,1.76,betsson,1,0.0,0.0,,6.32,1.76,betsson:1.76
FC Volendam vs NEC Nijmegen,2025-12-07 08:30:00,⏰ Próximo,Goles (Over/Under),Over 3.5,2.32,betsson,1,0.0,0.0,,6.39,2.32,betsson:2.32
FC Volendam vs NEC Nijmegen,2025-12-07 08:30:00,⏰ Próximo,Goles (Over/Under),Under 3.5,1.58,betsson,1,0.0,0.0,,6.39,1.58,betsson:1.58
Manchester United vs Everton,2025-11-24 15:00:00,⏰ Próximo,Ambos Marcan,Yes,1.74,pinnacle,1,0.0,0.0,,3.77,1.74,pinnacle:1.74
Manchester United vs Everton,2025-11-24 15:00:00,⏰ Próximo,Ambos Marcan,No,2.16,pinnacle,1,0.0,0.0,,3.77,2.16,pinnacle:2.16
Sunderland vs Bournemouth,2025-11-29 10:00:00,⏰ Próximo,Ambos Marcan,Yes,1.74,pinnacle,1,0.0,0.0,,3.77,1.74,pinnacle:1.74
Sunderland vs Bournemouth,2025-11-29 10:00:00,⏰ Próximo,Ambos Marcan,No,2.16,pinnacle,1,0.0,0.0,,3.77,2.16,pinnacle:2.16
Brentford vs Burnley,2025-11-29 10:00:00,⏰ Próximo,Ambos Marcan,Yes,1.97,pinnacle,1,0.0,0.0,,3.95,1.97,pinnacle:1.97
Brentford vs Burnley,2025-11-29 10:00:00,⏰ Próximo,Ambos Marcan,No,1.88,pinnacle,1,0.0,0.0,,3.95,1.88,pinnacle:1.88
Manchester City vs Leeds United,2025-11-29 10:00:00,⏰ Próximo,Ambos Marcan,Yes,2.06,pinnacle,1,0.0,0.0,,4.41,2.06,pinnacle:2.06
Manchester City vs Leeds United,2025-11-29 10:00:00,⏰ Próximo,Ambos Marcan,No,1.79,pinnacle,1,0.0,0.0,,4.41,1.79,pinnacle:1.79
Tottenham Hotspur vs Fulham,2025-11-29 15:00:00,⏰ Próximo,Ambos Marcan,Yes,1.71,pinnacle,1,0.0,0.0,,3.93,1.71,pinnacle:1.71
Tottenham Hotspur vs Fulham,2025-11-29 15:00:00,⏰ Próximo,Ambos Marcan,No,2.2,pinnacle,1,0.0,0.0,,3.93,2.2,pinnacle:2.2
Crystal Palace vs Manchester United,2025-11-30 07:00:00,⏰ Próximo,Ambos Marcan,Yes,1.61,pinnacle,1,0.0,0.0,,4.48,1.61,pinnacle:1.61
Crystal Palace vs Manchester United,2025-11-30 07:00:00,⏰ Próximo,Ambos Marcan,No,2.36,pinnacle,1,0.0,0.0,,4.48,2.36,pinnacle:2.36
Aston Villa vs Wolverhampton Wanderers,2025-11-30 09:05:00,⏰ Próximo,Ambos Marcan,Yes,1.96,pinnacle,1,0.0,0.0,,4.21,1.96,pinnacle:1.96
Aston Villa vs Wolverhampton Wanderers,2025-11-30 09:05:00,⏰ Próximo,Ambos Marcan,No,1.88,pinnacle,1,0.0,0.0,,4.21,1.88,pinnacle:1.88
Nottingham Forest vs Brighton and Hove Albion,2025-11-30 09:05:00,⏰ Próximo,Ambos Marcan,Yes,1.68,pinnacle,1,0.0,0.0,,4.57,1.68,pinnacle:1.68
Nottingham Forest vs Brighton and Hove Albion,2025-11-30 09:05:00,⏰ Próximo,Ambos Marcan,No,2.22,pinnacle,1,0.0,0.0,,4.57,2.22,pinnacle:2.22
West Ham United vs Liverpool,2025-11-30 09:05:00,⏰ Próximo,Ambos Marcan,Yes,1.6,pinnacle,1,0.0,0.0,,4.34,1.6,pinnacle:1.6
West Ham United vs Liverpool,2025-11-30 09:05:00,⏰ Próximo,Ambos Marcan,No,2.39,pinnacle,1,0.0,0.0,,4.34,2.39,pinnacle:2.39
Chelsea vs Arsenal,2025-11-30 11:30:00,⏰ Próximo,Ambos Marcan,Yes,1.74,pinnacle,1,0.0,0.0,,4.42,1.74,pinnacle:1.74
Chelsea vs Arsenal,2025-11-30 11:30:00,⏰ Próximo,Ambos Marcan,No,2.13,pinnacle,1,0.0,0.0,,4.42,2.13,pinnacle:2.13
Espanyol vs Sevilla,2025-11-24 15:00:00,⏰ Próximo,Ambos Marcan,Yes,1.93,pinnacle,1,0.0,0.0,,3.9,1.93,pinnacle:1.93
Espanyol vs Sevilla,2025-11-24 15:00:00,⏰ Próximo,Ambos Marcan,No,1.92,pinnacle,1,0.0,0.0,,3.9,1.92,pinnacle:1.92
Mallorca vs CA Osasuna,2025-11-29 08:00:00,⏰ Próximo,Ambos Marcan,Yes,2.08,pinnacle,1,0.0,0.0,,3.94,2.08,pinnacle:2.08
Mallorca vs CA Osasuna,2025-11-29 08:00:00,⏰ Próximo,Ambos Marcan,No,1.79,pinnacle,1,0.0,0.0,,3.94,1.79,pinnacle:1.79
Barcelona vs Alavés,2025-11-29 10:15:00,⏰ Próximo,Ambos Marcan,Yes,1.88,pinnacle,1,0.0,0.0,,4.47,1.88,pinnacle:1.88
Barcelona vs Alavés,2025-11-29 10:15:00,⏰ Próximo,Ambos Marcan,No,1.95,pinnacle,1,0.0,0.0,,4.47,1.95,pinnacle:1.95
Levante vs Athletic Bilbao,2025-11-29 12:30:00,⏰ Próximo,Ambos Marcan,Yes,1.92,pinnacle,1,0.0,0.0,,3.9,1.92,pinnacle:1.92
Levante vs Athletic Bilbao,2025-11-29 12:30:00,⏰ Próximo,Ambos Marcan,No,1.93,pinnacle,1,0.0,0.0,,3.9,1.93,pinnacle:1.93
Atlético Madrid vs Oviedo,2025-11-29 15:00:00,⏰ Próximo,Ambos Marcan,Yes,2.62,pinnacle,1,0.0,0.0,,4.39,2.62,pinnacle:2.62
Atlético Madrid vs Oviedo,2025-11-29 15:00:00,⏰ Próximo,Ambos Marcan,No,1.51,pinnacle,1,0.0,0.0,,4.39,1.51,pinnacle:1.51
Real Sociedad vs Villarreal,2025-11-30 08:00:00,⏰ Próximo,Ambos Marcan,Yes,1.67,pinnacle,1,0.0,0.0,,4.32,1.67,pinnacle:1.67
Real Sociedad vs Villarreal,2025-11-30 08:00:00,⏰ Próximo,Ambos Marcan,No,2.25,pinnacle,1,0.0,0.0,,4.32,2.25,pinnacle:2.25
Sevilla vs Real Betis,2025-11-30 10:15:00,⏰ Próximo,Ambos Marcan,Yes,1.76,pinnacle,1,0.0,0.0,,4.21,1.76,pinnacle:1.76
Sevilla vs Real Betis,2025-11-30 10:15:00,⏰ Próximo,Ambos Marcan,No,2.11,pinnacle,1,0.0,0.0,,4.21,2.11,pinnacle:2.11
Girona vs Real Madrid,2025-11-30 15:00:00,⏰ Próximo,Ambos Marcan,Yes,1.6,pinnacle,1,0.0,0.0,,4.52,1.6,pinnacle:1.6
Girona vs Real Madrid,2025-11-30 15:00:00,⏰ Próximo,Ambos Marcan,No,2.38,pinnacle,1,0.0,0.0,,4.52,2.38,pinnacle:2.38
Borussia Monchengladbach vs RB Leipzig,2025-11-28 14:30:00,⏰ Próximo,Ambos Marcan,Yes,1.41,pinnacle,1,0.0,0.0,,4.03,1.41,pinnacle:1.41
Borussia Monchengladbach vs RB Leipzig,2025-11-28 14:30:00,⏰ Próximo,Ambos Marcan,No,3.02,pinnacle,1,0.0,0.0,,4.03,3.02,pinnacle:3.02
Union Berlin vs 1. FC Heidenheim,2025-11-29 09:30:00,⏰ Próximo,Ambos Marcan,Yes,1.9,pinnacle,1,0.0,0.0,,3.91,1.9,pinnacle:1.9
Union Berlin vs 1. FC Heidenheim,2025-11-29 09:30:00,⏰ Próximo,Ambos Marcan,No,1.95,pinnacle,1,0.0,0.0,,3.91,1.95,pinnacle:1.95
Werder Bremen vs 1. FC Köln,2025-11-29 09:30:00,⏰ Próximo,Ambos Marcan,Yes,1.51,pinnacle,1,0.0,0.0,,3.68,1.51,pinnacle:1.51
Werder Bremen vs 1. FC Köln,2025-11-29 09:30:00,⏰ Próximo,Ambos Marcan,No,2.67,pinnacle,1,0.0,0.0,,3.68,2.67,pinnacle:2.67
TSG Hoffenheim vs Augsburg,2025-11-29 09:30:00,⏰ Próximo,Ambos Marcan,Yes,1.64,pinnacle,1,0.0,0.0,,3.89,1.64,pinnacle:1.64
TSG Hoffenheim vs Augsburg,2025-11-29 09:30:00,⏰ Próximo,Ambos Marcan,No,2.33,pinnacle,1,0.0,0.0,,3.89,2.33,pinnacle:2.33
Bayern Munich vs FC St. Pauli,2025-11-29 09:30:00,⏰ Próximo,Ambos Marcan,Yes,2.09,pinnacle,1,0.0,0.0,,4.34,2.09,pinnacle:2.09
Bayern Munich vs FC St. Pauli,2025-11-29 09:30:00,⏰ Próximo,Ambos Marcan,No,1.77,pinnacle,1,0.0,0.0,,4.34,1.77,pinnacle:1.77
Bayer Leverkusen vs Borussia Dortmund,2025-11-29 12:30:00,⏰ Próximo,Ambos Marcan,Yes,1.49,pinnacle,1,0.0,0.0,,3.74,1.49,pinnacle:1.49
Bayer Leverkusen vs Borussia Dortmund,2025-11-29 12:30:00,⏰ Próximo,Ambos Marcan,No,2.73,pinnacle,1,0.0,0.0,,3.74,2.73,pinnacle:2.73
Eintracht Frankfurt vs VfL Wolfsburg,2025-11-30 11:30:00,⏰ Próximo,Ambos Marcan,Yes,1.51,pinnacle,1,0.0,0.0,,4.1,1.51,pinnacle:1.51
Eintracht Frankfurt vs VfL Wolfsburg,2025-11-30 11:30:00,⏰ Próximo,Ambos Marcan,No,2.64,pinnacle,1,0.0,0.0,,4.1,2.64,pinnacle:2.64
SC Freiburg vs FSV Mainz 05,2025-11-30 13:30:00,⏰ Próximo,Ambos Marcan,Yes,1.81,pinnacle,1,0.0,0.0,,4.27,1.81,pinnacle:1.81
SC Freiburg vs FSV Mainz 05,2025-11-30 13:30:00,⏰ Próximo,Ambos Marcan,No,2.04,pinnacle,1,0.0,0.0,,4.27,2.04,pinnacle:2.04
Torino vs Como,2025-11-24 12:30:00,⏰ Próximo,Ambos Marcan,Yes,1.97,pinnacle,1,0.0,0.0,,3.95,1.97,pinnacle:1.97
Torino vs Como,2025-11-24 12:30:00,⏰ Próximo,Ambos Marcan,No,1.88,pinnacle,1,0.0,0.0,,3.95,1.88,pinnacle:1.88
Sassuolo vs Pisa,2025-11-24 14:45:00,⏰ Próximo,Ambos Marcan,Yes,2.0,pinnacle,1,0.0,0.0,,4.05,2.0,pinnacle:2.0
Sassuolo vs Pisa,2025-11-24 14:45:00,⏰ Próximo,Ambos Marcan,No,1.85,pinnacle,1,0.0,0.0,,4.05,1.85,pinnacle:1.85
Parma vs Udinese,2025-11-29 09:00:00,⏰ Próximo,Ambos Marcan,Yes,1.93,pinnacle,1,0.0,0.0,,3.63,1.93,pinnacle:1.93
Parma vs Udinese,2025-11-29 09:00:00,⏰ Próximo,Ambos Marcan,No,1.93,pinnacle,1,0.0,0.0,,3.63,1.93,pinnacle:1.93
Juventus vs Cagliari,2025-11-29 12:00:00,⏰ Próximo,Ambos Marcan,Yes,2.42,pinnacle,1,0.0,0.0,,3.82,2.42,pinnacle:2.42
Juventus vs Cagliari,2025-11-29 12:00:00,⏰ Próximo,Ambos Marcan,No,1.6,pinnacle,1,0.0,0.0,,3.82,1.6,pinnacle:1.6
AC Milan vs Lazio,2025-11-29 14:45:00,⏰ Próximo,Ambos Marcan,Yes,1.98,pinnacle,1,0.0,0.0,,3.7,1.98,pinnacle:1.98
AC Milan vs Lazio,2025-11-29 14:45:00,⏰ Próximo,Ambos Marcan,No,1.88,pinnacle,1,0.0,0.0,,3.7,1.88,pinnacle:1.88
Lecce vs Torino,2025-11-30 06:30:00,⏰ Próximo,Ambos Marcan,Yes,2.12,pinnacle,1,0.0,0.0,,4.31,2.12,pinnacle:2.12
Lecce vs Torino,2025-11-30 06:30:00,⏰ Próximo,Ambos Marcan,No,1.75,pinnacle,1,0.0,0.0,,4.31,1.75,pinnacle:1.75
Atalanta BC vs Fiorentina,2025-11-30 12:00:00,⏰ Próximo,Ambos Marcan,Yes,1.81,pinnacle,1,0.0,0.0,,4.51,1.81,pinnacle:1.81
Atalanta BC vs Fiorentina,2025-11-30 12:00:00,⏰ Próximo,Ambos Marcan,No,2.03,pinnacle,1,0.0,0.0,,4.51,2.03,pinnacle:2.03
Metz vs Rennes,2025-11-28 14:45:00,⏰ Próximo,Ambos Marcan,Yes,1.64,pinnacle,1,0.0,0.0,,3.89,1.64,pinnacle:1.64
Metz vs Rennes,2025-11-28 14:45:00,⏰ Próximo,Ambos Marcan,No,2.33,pinnacle,1,0.0,0.0,,3.89,2.33,pinnacle:2.33
AS Monaco vs Paris Saint Germain,2025-11-29 11:00:00,⏰ Próximo,Ambos Marcan,Yes,1.53,pinnacle,1,0.0,0.0,,3.82,1.53,pinnacle:1.53
AS Monaco vs Paris Saint Germain,2025-11-29 11:00:00,⏰ Próximo,Ambos Marcan,No,2.6,pinnacle,1,0.0,0.0,,3.82,2.6,pinnacle:2.6
Marseille vs Toulouse,2025-11-29 15:05:00,⏰ Próximo,Ambos Marcan,Yes,1.93,pinnacle,1,0.0,0.0,,3.63,1.93,pinnacle:1.93
